0:0:31|0:0:37|黑沉沉的夜仿佛浓墨涂抹在天际，连星星的一丝微光也不曾看见。
0:10:8|0:10:17|[宋天荫]看见空中的婴儿不顾一切地纵身一跃，稳稳地将他抱在怀里，下一秒他便重重地撞在墙上。
0:10:17|0:10:20|缓过神来的[宋天荫]看着怀中的婴儿长舒一口气。
0:10:20|0:10:26|另一边倒在地上的[霍小岚]用法绳苦苦坚持着，[霍小岚]看着快被咬断的法绳灵活挣脱了束缚。
0:10:26|0:10:34|可刚站起来便被一肚皮重重顶在头上，晕头转向的[霍小岚]面对重妖的包围，只能强撑着不让自己倒下。
0:10:35|0:10:43|这时只要一同上前牢牢控制住她，老大跳到空中猛地砸向[霍小岚]，突然空中的老大被一根法绳拽走。
0:10:43|0:10:48|还没等众人反应过来时，其他6只妖怪也被接连拽走，放在城墙上。
0:10:48|0:10:51|当[霍小岚]顺着绳子向天上看去时。
0:10:51|0:10:55|一位身着道服，绒毛身尾的男子从头顶飞过，稳稳落在高台上。
0:10:55|0:11:5|[霍小岚]和[宋天荫]四目相对后，男子的身份也猜的十有八九了，才反应过来的百姓们看着这般身手的降妖天师如同看见英雄一般激动地鼓着掌。
0:11:5|0:11:14|同为天师的[霍小岚]，则略带不服气地看着他，男子回头朝[霍小岚]微笑招了招手。
0:11:42|0:11:54|[霍小岚]摇摇头，[宋天荫]看到男子的腰牌后便问道：男子没着急回答，而是走上前摘下[宋天荫]身上的树叶反问道：
0:12:6|0:12:14|说罢[云青]便潇洒离去，走在人群中的[云青]，被百姓们不断比大拇指称赞，[霍小岚]走在街上思索着说道：
0:12:27|0:12:43|二人刚走没几步，便听到远处的雷声，[霍小岚]看着乌云说道：这时[霍小岚]发现[宋天荫]用布做成的胡巴模一样的玩偶。
0:13:1|0:13:7|与此同时被瀑布冲晕的小胡巴顺着水流飘荡在湖面上。
0:13:7|0:13:12|胡巴醒来后走上岸边，像小狗一般将身上水甩干。
0:13:12|0:13:20|它站在一棵枯树干上，睁着大眼睛看着陌生的树林，一时间有些不知所措，随后它漫无目地的在林间行走。
0:13:20|0:13:27|当走到[蒲公英]面前才变得开朗起来，它毫不客气地一口将[蒲公英]吃在嘴里，可没嚼两下便吐了出来。
0:13:30|0:13:35|胡巴顺着飞舞的[蒲公英]看向天上的[云青]，[云青]的形状神似手牵着手的一家三口。
0:13:36|0:13:44|看着这片[云青]，胡巴也回忆起与[霍小岚]二人的快乐时光，这时一声吼叫打断了胡巴的思念。
0:13:44|0:13:53|胡巴听到后急忙躲到树后，没等它喘口气，只见一个穿着妖怪服装的小孩出现在身后。
0:13:53|0:14:1|胡巴回头看着缝合十分丑陋的服饰大笑起来。
0:14:8|0:14:16|这时小伙伴们都赶了过来，他们呆呆地看着胡巴，其中一人凑近说道：
0:14:24|0:14:43|一群孩子就这样在树林间追赶胡巴，他们正处在清水镇旁的山林间。这时，叫喊声打破了金水镇原本的宁静和祥和。
0:14:43|0:14:57|谁知孩子们追着胡巴到了城镇闹市去，其中一个小孩摔了一跤，引得藏在龙狮头套里的胡巴笑出了声。
0:14:57|0:15:3|顺着笑声大家齐刷刷地看向胡巴，见情况不对，胡巴跳出狮子头转身就跑。
0:15:3|0:15:10|穿过大街小巷，胡巴躲到一辆马车后面。
0:15:10|0:15:14|刚要回头看追兵时，一只妖怪的大手将它抓了过去。
0:15:27|0:15:34|此时在车内会隐身的妖怪[笨笨]，抱着[小胡巴]缓缓现身。
0:15:35|0:15:44|可还没等到[笨笨]笑出来，又听到动静的小孩再次打开车门，好在[笨笨]的反应够快，在车门打开的一瞬间又隐身起来。
0:15:45|0:15:50|随后大家齐聚车门，再次确认后说道：
0:15:57|0:16:9|在看到孩子们走远后[笨笨]才缓缓现身。体型高大圆润的[笨笨]将[胡巴]放在座位上摸着它的头，还扮鬼脸逗[胡巴]开心。
0:16:9|0:16:17|[胡巴]开心地拽了下[笨笨]的头，[笨笨]虽然很疼，但并没有生气，揉了揉脑袋问[胡巴]从哪来。
0:16:18|0:16:24|[胡巴]从座位上跳了下去，走到木门旁停留片刻，随后用牙齿在木板上咬出刚才看到的云朵的形状。
0:16:26|0:16:35|[笨笨]看到[屠四谷]后恍然大悟，马车旁的院墙里传来一阵嘈杂声。
0:16:35|0:16:38|顺着声音进入院子，原来是清水镇的赌场。
0:16:44|0:16:50|赌场内部分为3层，大小赌桌数10张，装饰奢华，其中在2楼比大小的一张赌桌上。
0:16:50|0:16:58|身穿一套黄金铠甲的[屠四谷]将几百两银子压到了大。
0:17:20|0:17:27|[屠四谷]顺着声音看，向楼梯口身材曼妙穿着性感的美女，美女缓缓下楼，走到[屠四谷]对面，一番眼神交流后说道，
0:17:48|0:18:3|[屠四谷]将所有银元宝都推到桌子中间。随后拿起三个色子放到美女面前，向色盅吹气后，将色子依次扔进去，摇晃了数下重重扣在桌子上。
0:18:5|0:18:11|而这时藏在色盅内的小妖怪迅速将色子点数都拨到6。
0:18:12|0:18:20|[屠四谷]看美女不服，便将色盅从桌上划到美女手边，美女稳稳接住色盅后，不慌不忙地将右臂袖子脱去。
0:18:20|0:18:26|随后拿起色盅，熟练地将桌子上的色子抄起，接着以极快的手速摇了起来。
0:18:26|0:18:29|简单的一个停顿，便使色盅内的小妖怪头晕目眩。
0:18:30|0:18:40|当众人期待着点数时，只见美女将色盅朝空中一扔，两臂交叉接住色盅，色盅由高到低滚到另一只手臂手肘时，她猛抬手肘，将色盅再次抛向空中。
0:18:40|0:18:50|在众人看得目瞪口呆之际，美女旋转一圈后，借助色盅，用力地扣在桌子上，她看了一眼[屠四谷]，便猛地揭开色盅。
0:18:50|0:18:56|听到一阵嘘声后，美女不可思议地看着桌上的三个一，就在这时色盅内的小妖怪吐了出来。
0:19:27|0:19:30|[屠四谷]见势不妙便朝楼下跑去。
0:19:30|0:19:39|可没跑两步便被打手拦住去路，众打手急忙上前抱住，不料[屠四谷]金蝉脱壳钻到桌底，趁着混乱，小妖怪们也悄悄溜走。
0:19:39|0:19:44|在桌下的[屠四谷]摘去假胡子趁乱钻出来，贼喊捉贼指着楼下喊道。
0:19:53|0:19:59|面对众人的追堵，急忙跑上三楼，路过赌桌时，将桌上的银子撒向身后众人。
0:19:59|0:20:7|在人仰马翻之际，[屠四谷]顺着柱子从三楼滑到一楼，在逃出重重包围，冲开赌场大门后大喊道：
0:20:12|0:20:26|只见笨笨从车底伸出两条腿，将车开到[屠四谷]面前，[屠四谷]上车后先系上安全带，而笨笨则是在车里不管不顾地朝前狂奔。当车跑到一座拱桥前时，[屠四谷]倒吸一口凉气，他们的木车系着斜坡一飞冲天。
0:20:34|0:20:41|当笨笨反应过来后，木车从数米高空重重摔下来，好在木车结实，并没有散架。
0:20:41|0:20:49|刚回过神来的[屠四谷]又急忙控制着车的方向来躲避障碍，一个漂移车子拐进小巷，纵使这样飞驰仍没有甩开身后打手。
0:20:49|0:21:6|[屠四谷]还在担心追兵时，前方又窜出一队人马，[屠四谷]见状紧急刹车拍了拍车厢大喊道笨笨听后急忙转身向一条隧道跑去了。
0:21:8|0:21:12|臭名昭著的[屠四谷]就连白发老人也希望他被抓住。
0:21:13|0:21:20|即将被追上时，车子驶出隧道，顺便拽下木帘，躲闪不及的打手摔倒在地。
0:21:21|0:21:23|听到命令，[笨笨]又转过来奔跑。
0:21:23|0:21:30|当[屠四谷]拐入一条小路时，他抬头巡视周围环境，按下了车上的开关。
0:21:30|0:21:38|随后一圈和墙壁一样的布帘迅速落下。
0:21:44|0:21:52|反应过来的打手冲出布帘继续追击，在即将撞上无比狭窄的小道时，[笨笨]深吸一口气，只见车子也仿佛吸气一般变得纤细。
0:21:52|0:21:57|通过狭窄小道，[屠四谷]又左拐右拐穿梭在街头。
0:21:57|0:22:4|就算这样也没有甩掉追击的打手，于是[屠四谷]穿过巷子故伎重施，又制造一个布帘。
0:22:4|0:22:13|打手们看到后，想都没想便冲出去，殊不知前面竟是一片池塘，刹不住的几人一头栽进去。
0:22:14|0:22:22|[屠四谷]回头看着落水的几人，十分悠闲地从镇里走到林间，到了傍晚小妖怪生气地说，
0:23:48|0:23:56|随后将它拽起一脚踢飞到树林间，[笨笨]看到后诅咒道：
0:24:5|0:24:11|边说边拿起[笨笨]刚做好的粥喝了一口。
0:24:43|0:24:48|[屠四谷]转身看着刚喝完粥的[霍小岚]，拽着它头发拎起来。
0:24:58|0:25:7|说罢一脚便将[霍小岚]也踢飞到林间，可他刚转过身，便被黑衣大汉一拳打晕。
0:25:10|0:25:25|第二天上午，[霍小岚]和[宋天荫]按计划来到天师堂，天师堂建于清水镇旁最高山的顶峰。傍山而建的天师堂建筑宏伟，仅凭气势就足以让众妖退避三舍。
0:25:26|0:25:33|[霍小岚]二人正赶上天师堂发粮响，二人穿过巨大正门，便被大殿气势磅礴的装修震撼到说不出话来。
0:25:33|0:25:40|映入眼帘的是由8只铜兽座镇的巨型吊灯，正门左右各放置一尊栩栩如生的巨型铜麒麟。
0:25:41|0:25:46|大殿内部被成百上千的大小灯具照得金碧辉煌，好不气派。
0:25:46|0:26:6|这时二人看到一只东躲西藏的妖怪，二人正疑惑，便听到二楼手持利器的天师大喊道，刺妖飞奔向正门，刚好被[霍小岚]二人挡住记录，情急之下刺妖露出身上的利刺吓退二人跑了出去。手持利器的三名天师也紧随其后，[霍小岚]不忍地说道，
0:26:16|0:26:22|[宋天荫]看着成堆的金银感叹道。
0:26:34|0:26:46|[霍小岚]嘲讽完[宋天荫]后便往楼上走去，[宋天荫]习以为常，没有在意，紧随其后踏上天师堂的楼梯，走到大门敞开却空无一人的捕妖庭时，二人停住脚步。
0:26:46|0:26:52|这里虽叫捕妖亭，实则更像是杂货间。二人看着形态各异的工具好奇地走进去。
0:26:52|0:27:0|走近发现屋内虽杂乱，但应有尽有，[宋天荫]忍不住好奇地摸了摸。
0:27:0|0:27:3|这时布帘后传来人声。
0:28:50|0:28:54|说完便去追生气离开的[宋天荫]，[霍小岚]追上后调皮地问道。
0:29:14|0:29:18|另一边在富丽堂皇的真金庄内，一身黑袍的钱庄庄主[朱老板]来到大厅。
0:29:18|0:29:25|待[朱老板]坐下，手下走到被绑的[屠四谷]面前，在碗里沾水后，紧紧砸向昏迷的[屠四谷]。
0:29:25|0:29:36|惊醒的[屠四谷]慌乱地看看四周，又将目光定格在堂上的老熟人[朱老板]。
0:29:52|0:29:55|说罢走到[屠四谷]面前霸气地问道。
0:29:56|0:30:1|随后又拿出[屠四谷]签的契约。
0:30:36|0:30:42|[朱老板]将[屠四谷]的椅子转到后面。
0:30:42|0:30:48|只见后面楼梯上缓缓走下8个身材高挑长相出众的美女，[朱老板]说。
0:30:50|0:30:57|[屠四谷]看着她们手上写着字的扇子，就知道这并不是选美，然后满脸惆怅地问[朱老板]。
0:31:3|0:31:7|[屠四谷]看着[朱老板]写着成亲二字的扇子，还是决定要选一下，于是[朱老板]打开[屠四谷]的手铐。
0:31:7|0:31:14|对面8位美女每人手拿1条丝带，丝带在[屠四谷]面前的花球纵横交错，难以分辨。
0:31:14|0:31:20|[屠四谷]耍小聪明，拿起一条丝带抖了抖，可一看8条丝带在一块颤动，[屠四谷]见状随便扯下一条。
0:31:30|0:31:41|当[屠四谷]再看向美女时，只见美女手持狼牙棒，无数根尖刺在他头皮上，划地痛不欲生。
0:32:2|0:32:9|随后[屠四谷]被脱了鞋,固定在椅子上，他正疑惑,美女却拿羽毛在他脚心挠起来，
0:32:28|0:32:35|这时手下走到[朱老板]身边说道。
0:32:40|0:32:50|听后[朱老板]拿着胡巴的画像来到领奖人面前。第一个冒领的人拿出一个人形萝卜放到[朱老板]面前。
0:32:50|0:33:0|第二个则是一只头上绑着草的小狗，第三个最夸张竟是大人抱着自己孩子前来冒充胡巴。
0:33:10|0:33:17|[朱老板]走近看着面色惨淡的[屠四谷]对美女们说道：
0:33:43|0:34:2|听后[屠四谷]对[朱老板]用力地点头。回到天师堂，[霍小岚]和[宋天荫]一阵打闹，无意中来到一间格外庄严的房间门外，牌匾上赫然写着无妖亭三个大字，二人仍充满好奇心的走进来，屋内阳光从八卦模样的窗户照射到桌子上，桌上摆放的是整齐的牌位。
0:34:2|0:34:6|见到众多牌位，二人不但没有回避，反而显得更有兴致。
0:34:6|0:34:9|[宋天荫]放下背包顺着台阶走到排位中间。
0:34:10|0:34:14|他一眼便看到自己父亲宋代天的牌位被摆在正中间。
0:34:14|0:34:24|于是[宋天荫]爬上桌子要拿起排位一看究竟，[霍小岚]喊道。
0:34:40|0:34:50|众人惊讶之余，[云青]带队赶来。
0:36:36|0:36:42|三人来到庭内的圆盘中间，[云青]见二人不明所以，便介绍道：
0:37:10|0:37:25|刺妖母亲被打了一棍后，自觉地趴在思念沙丘的圆盘之上。话音刚落，刺妖母亲随着圆盘缓缓下降，随后从正前方的龙头嘴里吐出大量砂砾。
0:37:26|0:37:33|纤细的沙砾在阳光照耀下，竟散发出略显刺眼的光芒，在细沙达到一定量后，龙嘴停止吐沙。
0:37:33|0:37:41|转而代替的是庞大沙池中部分细沙交缠着漂浮在空中，片刻空中的细沙幻化出小刺妖的模样。
0:37:41|0:37:49|这一幕令初次见到的[宋天荫]和[霍小岚]目瞪口呆，就连[霍小岚]妖精的小纸人都被吸引着探出头来。
0:37:49|0:37:52|这时幻化成的小刺妖在空中飞舞。
0:37:52|0:37:56|虽是沙砾组成，但肢体动作及神态被还原的栩栩如生，就连刺妖母亲都忍不住呼唤起来。
0:38:0|0:38:9|刺妖母亲温柔地看着儿子身影，眼泪在眼眶里不停打转，可这时细沙又变换成天师堂附近一座山峰的形状。
0:38:17|0:38:25|在[云青]答应[霍小岚]请求后，眨眼间众天师来到天书崖下，众天师兵分两队在林间寻找小刺妖。
0:38:25|0:38:29|[霍小岚]发现小四妖在树干上留下的抓痕后并没有声张。
0:38:29|0:38:41|[宋天荫]突然喊道，听到娘亲后小刺妖从树干后出现，[宋天荫]听到动静转身看着小刺妖。
0:38:41|0:38:58|还没等他的笑容多停留片刻，就被小刺妖扑倒在地，小刺妖问道：这时一名天师将飞镖扔向小刺妖。
0:38:58|0:39:4|小刺妖灵活地躲开后，便迅速逃到林间，附近的天师听到动静后纷纷支援过来。
0:39:4|0:39:9|小刺妖正四处逃窜，便被从侧方突然窜出的[宋天荫]一锤击倒在地。
0:39:9|0:39:16|一名[天师]将长斧砍向小刺妖时，被[宋天荫]持剑拦下。
0:39:23|0:39:30|这时[云青]从远处一跃而起，踩在二人肩上，一个利落的后空翻落在[宋天荫]身旁，[霍小岚]也匆匆赶来。
0:39:53|0:39:55|随后[霍小岚]带头蹲在小刺妖钻进的洞口。
0:39:56|0:40:3|通过狭窄的洞口看到小刺妖瑟瑟发抖，蜷缩着身体窝在角落，[霍小岚]温柔地说。
0:40:18|0:40:21|听完小刺妖的话，[宋天荫]满眼责怪地看向众[天师]。
0:40:21|0:40:30|这时[霍小岚]发现小刺妖的伤口。
0:40:32|0:40:41|[宋天荫]听后开心地又看向小刺妖，洞口的[霍小岚]突然难过地对它说道。
0:40:49|0:40:58|小刺妖听到这番话后，对母亲的思念难以抑制，在洞中抽泣起来，[霍小岚]温柔地看向小刺妖，恍惚间想起了胡巴。
0:41:8|0:41:14|虽然此时面对的是刺妖1，但此番言语更像是对胡巴的真情流露。
0:41:15|0:41:24|霍小岚回忆起和胡巴的喜怒哀乐，又想起当时与胡巴分开的场面，[霍小岚]站在一个母亲的角度对小刺妖说世界上
0:41:49|0:42:4|听到小刺妖答应后，[云青]露出欣慰的笑容，[宋天荫]看着难过的[霍小岚]轻轻地安慰着她。随后小刺妖主动出洞，跟随众人一起向天师堂走去。
0:42:4|0:42:10|另一边为了还债的[屠四谷]带着笨笨回到昨晚踢飞胡巴的树林里。
0:42:58|0:43:8|说罢[屠四谷]便继续朝前寻找被骂的笨笨不开心地朝另一边走去，不料刚一转身便和胡巴撞个正着，胡巴见到笨笨开心地张开手要抱抱。
0:43:10|0:43:16|刚要抱起胡巴的笨笨，听到[屠四谷]的声音后机智地隐身起来。
0:43:22|0:43:28|知道笨笨隐身能力的[屠四谷]在听到很小一声的笑声后，转身缓缓地向声音方向走去。
0:43:28|0:43:36|对笨笨了如指掌的[屠四谷]一脚踢向面前的石头。
0:43:50|0:43:58|说罢[屠四谷]和笨笨带着小胡巴走到车里，他们一人一个玉米吃得正香，笨笨的玉米突然掉在地上。
0:44:22|0:44:30|母亲穿过牢房的栏杆，拉着儿子的手安慰着它，随后伸手和小刺妖玩了起来。
0:44:58|0:45:7|说罢便转身去身后的架子上寻找钥匙，看到钥匙被锁在架子上，[霍小岚]便毫不客气的拿起一根铁棍砸了起来。
0:45:7|0:45:16|刺耳的敲击声吸引来门口巡逻的天师，天师刚要推门而入，便被屋内的[宋天荫]又推了回去。
0:45:16|0:45:24|天师见状后用尽全力将门打开，推开门的天师惊讶地看着从笼子里出来的刺妖母子，这时[霍小岚]当头一棒。
0:45:25|0:45:32|[宋天荫]蹑手蹑脚地从天师身上跳了过去，不知所措地看向[霍小岚]，[霍小岚]突然想到。
0:45:34|0:45:36|说罢便将天师伪装成醉酒的样子。
0:45:37|0:45:44|天师一脸茫然地看着手上的钥匙和酒瓶。
0:45:57|0:46:5|钱庄里众美女正在给[朱老板]梳妆打扮，训斥完美女后[朱老板]照着镜子自语道。
0:46:7|0:46:18|再次回到天师堂，放走小刺妖后，[霍小岚]在房间内洗澡，而[宋天荫]用念力吃力地控制着水瓢给[霍小岚]的浴缸里加水，只见水瓢摇摇晃晃地从屏风上方飞过。
0:46:18|0:46:23|随着[宋天荫]手势的变化水漂倾斜地将水倒在[霍小岚]身上。
0:46:23|0:46:30|[宋天荫]控制着水瓢又舀了一瓢水。
0:46:33|0:46:38|可这次不专心的[宋天荫]将水直接浇在[霍小岚]头上。
0:46:46|0:46:52|边说边十分心虚地坐在桌上吃起干果，另一边[笨笨]对[霍小岚]说。
0:47:11|0:47:15|这时在钱庄里的[屠四谷]等着[朱老板]。
0:47:16|0:47:21|片刻后只见[朱老板]穿着华贵，打扮精致，由8个美女前后护送出来。
0:47:22|0:47:31|这时[朱老板]把面前扇子拿开，露出格外精致的妆容。
0:48:4|0:48:10|就在这时[笨笨]扮着鬼脸吓[霍小岚]。
0:48:56|0:49:2|另一边[霍小岚]为了补偿[宋天荫]嘟着嘴等他过来，[宋天荫]也同样嘟着嘴越靠越近。
0:50:6|0:50:12|在房间里[霍小岚]又一次嘟起了嘴，被打了两次的[宋天荫]心有余悸地看着[霍小岚]不敢靠近。
0:50:13|0:50:19|可就当[宋天荫]一点点尝试靠近的时候，[笨笨]又吓起了[霍小岚]。
0:50:19|0:50:26|见[霍小岚]神情不对，[宋天荫]机智地向后躲闪，这时[笨笨]的大脸又出现在二人面前。
0:50:26|0:50:35|害怕的[霍小岚]将飞镖丢向前方，而[屠四谷]则是抬手准备向前打去。
0:50:35|0:50:42|但回过神来看着[朱老板]，又顺势扶着她的肩膀说道。
0:50:44|0:50:51|这时房间里[宋天荫]的裤腰带被飞镖划开，当着[霍小岚]的面裤子脱落在地。
0:51:4|0:51:12|走出大门的[屠四谷]找到正在大笑的笨笨。
0:51:29|0:51:38|随后[霍小岚]给他展示了一下。
0:51:38|0:51:44|知道真相的[屠四谷]一股邪念油然而生。
0:51:46|0:51:54|这时[朱老板]带着两个随从追出来，[屠四谷]看见后，急忙上前说。
0:52:8|0:52:17|没想到[屠四谷]抓住[朱老板]的手放在胸口深情地说。
0:52:19|0:52:26|两个随从拼命摇着头，可深陷其中的[朱老板]则满是爱意地点点头。
0:52:38|0:52:45|[屠四谷]盖上自己手印，刚要给[朱老板]时，又浪漫地掏出一把金粉。
0:52:45|0:52:51|他将金粉均匀的撒在大大的爱字上，又将浮粉吹掉后，一脸满意地递给[朱老板]。
0:52:51|0:52:58|[朱老板]接过誓约，满脸幸福地看着上面的字，随后[屠四谷]用手势示意随从将银子递给自己。
0:52:58|0:53:4|见手下不愿意，[屠四谷]用力将银子抢了过来，然后对[朱老板]说。
0:53:4|0:53:13|见[朱老板]开心地点头后，[屠四谷]坐上木车扬长而去，途中还不忘和[朱老板]招一招手。
0:53:13|0:53:23|看着[屠四谷]走远的背影，手下感叹道。
0:53:39|0:53:47|[朱老板]看后无奈地深吸一口气，问旁边的手下，一旁的手下拿出一张借款记录。
0:53:48|0:53:56|[朱老板]接过写满正字的记录单，叹了口气，说。
0:54:18|0:54:25|在赌场外的墙上，三个孩子满脸气愤地贴了一张公示单，只见上面东倒西歪的写着
0:54:59|0:55:16|[宋天荫]看着[小岚]没有说话，画面又来到赌场里。乔装打扮后的[屠四谷]带着隐身的笨笨和胡巴正在打麻将，坐在对面的三人毫不知道自己的牌已经被[屠四谷]尽收眼底。
0:55:36|0:55:40|就在这时一个高大肥胖的女人走了过来。
0:55:53|0:56:1|[小翠]并没有认出对面的[屠四谷]，她边啃玉米边摸牌，[屠四谷]嫌弃地看着将玉米粒啃得满脸都是的[小翠]。
0:56:2|0:56:9|可[胡巴]丝毫没有嫌弃，它看着香喷喷的玉米不停地舔嘴唇叫出了声。
0:56:19|0:56:27|[宋天荫]恍然大悟般地应付完后，将[霍小岚]扶上床，以为[霍小岚]生病的[宋天荫]把一块湿毛巾放在她脑门上。
0:56:30|0:56:36|半天没有胡牌的[屠四谷]咳嗽两声提醒着笨笨。
0:56:36|0:56:45|笨笨收到信号后将[胡巴]抱到另一边继续看牌，碰巧的是小翠酝酿许久后朝笨笨的方向打了一个喷嚏。
0:56:46|0:56:51|小翠嘴里的玉米粒伴随着喷嚏见了[胡巴]一脸。
0:56:51|0:56:58|随着[胡巴]的大叫，[屠四谷]急忙一躲，不小心将贴的假胡子扯掉了一半，[屠四谷]急忙圆谎说，
0:57:8|0:57:13|随着小翠站起身一把将[屠四谷]拽到面前，又将他的假鼻子拽下。
0:57:31|0:57:39|显形的笨笨抱着[胡巴]也从二楼跳下来，滚落到铜镜前的[胡巴]大叫一声。
0:57:47|0:57:54|[屠四谷]随即扯下下巴的胡子朝大门外跑去，冲出大门的[屠四谷]看到前面还有打手，便只能朝旁边的屋檐跑去。
