0:4:0|0:4:6|早已做好万全之策的[钟小年]紧紧地盯着[刘文世]，而[刘文世]故作镇定地说道，
0:8:33|0:8:38|身家数亿的[钟小年]平易近人，坐在豪车内还与工人熟络地打招呼。
0:8:38|0:8:46|随后豪车停在一座现代风格的别墅前，别墅坐落在小湖旁，新奇构造别具一格。
0:8:46|0:8:54|[钟小年]下车后洒脱地将车门关上，目光扫视着周围的一切，悠哉悠哉地走进别墅。
0:8:54|0:9:4|别墅内的装饰简洁而又凸显沉稳，[钟小年]和[魏思蒙]心不在焉地吃着早餐，听着显示屏里报道国内最新的财经新闻，
0:9:56|0:10:12|看着显示屏中的刘文世，[钟小年]轻蔑回应，而[魏思蒙]关掉显示屏看透一切地问道，[钟小年]并没有正面回答[魏思蒙]的问题，而是以长期的云吞店举例说道，
0:10:27|0:10:36|[钟小年]并不想做过多的解释，无奈地看向[魏思蒙]，而[魏思蒙]愤怒地拿起保温盒站起身向洗碗池走去。
0:10:36|0:10:43|[钟小年]不解地将手中早已抹好酱汁的面包摔向餐盘，站起身看着[魏思蒙]的背影并说道，
0:11:10|0:11:16|说完[钟小年]盛一勺云吞吸入口中，[魏思蒙]则是关掉水龙头，故作镇定地说道，
0:11:21|0:11:29|[钟小年]心中五味杂陈，目光紧随[魏思蒙]的身影。另一边豪华的竞拍室内，
0:11:30|0:11:37|[唐万元]得意地高举着手示意，而一旁的[钟小年]很是无奈地斜视他。
0:12:45|0:12:53|这时[唐万元]推门而入，打破了两人的暧昧，气氛瞬间极度尴尬。他看着装作若无其事的[庄艺]嘲讽地说道，
0:13:21|0:13:44|三人看着镜子里的分布图若有所思，[钟小年]面无表情地将口红还给[庄艺]，[庄艺]如梦初醒地冷笑回应，三人的焦点都落在[庄艺]身上，而[庄艺]则是扔下口红趾高气昂地转身离去。这时[唐万元]说道，
0:14:1|0:14:7|正在擦手的[钟小年]突然转身掐住[唐万元]的脖子，
0:14:14|0:14:27|[朱楠]困惑地将门关上，此时的[钟小年]也冷静地将手放下。转眼[钟小年]现身会场，一边下楼梯一边看着杯酒交谈的人们，这时服务生也递给他一杯香槟，令他快速融入其中。
0:14:27|0:14:42|远处[朱楠]也注意到了[钟小年]，而[唐万元]高举酒杯穿梭在人群中，[庄艺]则是用余光扫视着[钟小年]，可[钟小年]并没有走到她的身边，敬而远之地抬了抬手里的酒杯，简单的示意并喝下。
0:14:42|0:14:58|画面从酒会转向了城市中心车水马龙的路面上，[朱楠]开着车还时不时的向后张望坐在后排的[钟小年]，而[钟小年]手撑着头，趴在车窗上，看着车窗外的灯红酒绿，眉头紧锁，思绪万千。
0:14:58|0:15:12|不一会儿豪车到达别墅门口，[朱楠]搀扶着[钟小年]。这时[钟小年]说道，
0:15:27|0:15:38|目光呆滞地听着他的差遣，[朱楠]强忍着内心的不满，而[钟小年]拖着沉重的脚步走上楼梯。此时房门两旁的灯光
0:15:38|0:15:44|也变得暗淡，打开房门踉踉跄跄地走了进去，面向宽阔的客厅大声呼喊着，
0:16:4|0:16:15|面对空荡荡的卧室，[钟小年]沉默了，心烦意乱的他低下了头，垂头丧气的将西装外套脱下搭在胳膊上，心灰意冷的转身走出了卧室。
0:16:34|0:16:44|排列着眼镜和耳饰的墙面从中间打开，露出金属材质的保险箱。[钟小年]输入保险箱密码的同时，保险箱也在识别他的瞳孔。
0:16:44|0:16:48|伴随着机械的声音，保险箱被打开，里面放着重要的资料。
0:16:48|0:17:3|[钟小年]拿起放在上面的移动U盘和下面的电脑，然后将硬盘插进电脑内，电脑页面上显示出联合银行4个格外鲜明的文字，输入密码后，电脑页面上竟显示出20亿的巨额数字。
0:17:4|0:17:9|[钟小年]转动眼珠，在脑海中核实着数目，奢华的衣帽间与他融为一体。
0:17:9|0:17:16|随后他将电脑合上并放入保险柜中，关闭保险柜，墙面也恢复如初。
0:17:16|0:17:28|他转身走出衣帽间，边走边解着衣扣，坐到床边，拿起玻璃杯仰头猛灌，玻璃杯被重重搁置在床头柜。一头扎进柔软的床里，酒精麻痹着他的大脑，眩晕
0:17:28|0:17:37|在他意识里蔓延，潜意识使他摸了摸口袋，右手从裤兜中拿出了一枚戒指，双手捧着戒指努力地想要看清楚点。
0:17:37|0:17:47|戒指在灯光下闪着耀眼的光芒，可他因为酒精的麻痹，双眼视线变得模糊，使出仅剩的力气侧过身沉沉地睡去。
0:17:47|0:18:3|伴随着[钟小年]的熟睡，整座别墅也跟随他进入到了休息时间，灯光逐个熄灭，窗帘也随之缓缓地拉上，将卧室包裹在其中，平静的湖面上映射着别墅。
0:18:3|0:18:14|夜色将这一切笼罩在他的怀抱中，似乎整个大地都沉睡过去了。唯独这个因酒精麻痹熟睡的男人内心充满着孤独，渴望被安抚。
0:18:14|0:18:20|渴望被理解。原本可以拥入怀中的枕边人，如今也离他远去。
0:18:20|0:18:39|早上9:15的闹钟一如既往地叫醒熟睡中的[钟小年]，于是他翻过身子将闹钟关掉，就在手掌触碰到闹钟的那一刻，整座别墅的灯也随之被唤醒，[钟小年]精疲力尽地再次侧过身去，缓慢地睁开眼睛，想看看[魏思蒙]是否回来了。
0:18:39|0:18:48|他摸了摸被子没有一丝余温，扯着沙哑的嗓子再次呼喊，[钟小年]诧异地环顾四周，寻找着[魏思蒙]的身影，
0:19:41|0:20:0|见房门外没有回应，便低头拿起手机想拨打[魏思蒙]的电话，突然发现手机没有信号，着急的他高举着手机在房间的每个角落寻找着信号，此时回到卧室的他气急败坏地放下手机，越想越觉得不对劲，到底是怎么回事？
0:20:0|0:20:8|就在他想不通的时候想要打开窗帘透透气，但是在他按下按钮的那一刻，窗帘却没有如往常一样快速打开。
0:20:10|0:20:17|[钟小年]察觉到了一丝危险，转过身面前的景象使他瞳孔放大，不由自主地走向前去。
0:20:18|0:20:27|窗帘拉开的不是透明的玻璃，而是用短木条叠加覆盖形成的一堵墙，凌乱的墙面没有一丝喘息的空隙。
0:20:27|0:20:34|奢华的房间与这堵墙形成了严重的对比，此时的[钟小年]终于意识到事情的严重性。
0:20:34|0:20:44|急促的拍打声体现出了[钟小年]的恐惧，拳打脚踢地反复攻击着房门。这时悬挂在墙面的田字格显示器发出了财经新闻的声音，
0:21:14|0:21:26|听后，[钟小年]惊奇的目光落在手里那毫无信号的手机上，毫不犹豫地走进更衣室，拿出高尔夫球杆穷凶极恶地走到房门，恶狠狠地砸着门把手。
0:21:27|0:21:32|门把手在一次次敲击下散落在地，可房门丝毫没有动静。
0:21:32|0:21:39|于是[钟小年]又用身体奋力撞击，房门依旧没有打开。看着安装门把手的洞口，
0:21:39|0:21:46|于是他蹲下身子想通过洞口看看外面到底是什么，而外面竟是一望无际的黑暗。
0:21:46|0:21:56|这时播放着财经新闻的显示器发出滋滋声，随后每个显示屏呈现出不同的图标，有话筒、通讯录、信件和数据。
0:21:56|0:22:3|图标的下面都写着是否播放，[钟小年]拿起遥控器按下播放键，显示屏里传出他和不同人的对话，
0:22:52|0:23:4|4个显示器的画面都揭露着[钟小年]的种种罪行，他目不转睛地看着显示屏，好像所有人的言语都要将他淹没。
0:23:4|0:23:11|就在他恼羞成怒准备砸向显示屏时，画面切换成了他此刻在房间里的情形。
0:23:11|0:23:18|被监视的他顺着显示屏的画面寻找摄像头，最终他的目光落在了断臂希腊女神雕塑的脸上。
0:23:18|0:23:26|女神的左眼闪着蓝色的光，就在他全神贯注地注视着女神的左眼时，房间里又传出了别的声音。
0:23:26|0:23:49|于是[钟小年]沿着声音寻找了过去，就在真皮沙发的底下传出的声音格外明显，他趴在地上用高尔夫球杆直接将它从沙发底下勾了出来，一个传呼机的包装盒出现在眼前，[钟小年]打开包装盒，里面并列放着对讲机和充电器，他先是疑惑地拿起充电器看了看，随后直接拿起对讲机放在嘴边，
0:23:49|0:23:54|按着旁边的按钮说道，
0:24:35|0:24:44|神秘人话音刚落，客厅内的田字格显示屏中就出现了两项选择题，a宣布与妻子离婚，b曝光巨额逃税。
0:24:44|0:24:52|[钟小年]怒气冲冲地按着对讲机询问着，见没有回应，直接对摄像头说道，
0:24:58|0:25:2|对讲机信号中断，[钟小年]气愤地扭动着对讲机上的按钮，
0:25:2|0:25:11|他愤怒地把对讲机砸向座椅，座椅将对讲机弹落在地。怒发冲冠的他一屁股坐在座椅上，困惑地低下了头，
0:25:12|0:25:17|突然他想到了卧室的木板墙，或许能够从中发现惊喜。
0:25:17|0:25:26|他将高尔夫球杆叠在木板的缝隙中，竭尽全力地将木板往下拉扯，木板像是长在墙面上一样纹丝不动。
0:25:27|0:25:31|这时他又注意到了一旁的跑步机，他想借用跑步机的力量来将木板扯下。
0:25:31|0:25:43|随后找来强力带固定在跑步机的跑道上，插上电源，启动跑步机，先将强力带围绕跑道固定一圈，再把强力带的另一端绑上木条。一切准备就绪，
0:25:43|0:25:47|启动跑步机，强力带随着跑步机的运作变得绷直。
0:25:48|0:25:57|就在[钟小年]加大速度时，跑步机却被向后拉动。见状，他赶紧站上跑步机增加重力，可还是于事无补。
0:25:57|0:26:5|强大的拉力将跑步机和[钟小年]同时向后拉，[钟小年]立刻调整站立的姿势，增强跑步机和地面的摩擦。
0:26:6|0:26:13|突然跑步机停住了，[钟小年]便回头检查强力带和跑步机的情况，再次提升跑步机的速度。
0:26:13|0:26:19|[钟小年]双手紧握跑步机，余光看向身后。这时强力带突然收回，
0:26:19|0:26:27|被扯下的木条卡在跑步机的末端，扯碎的木条向[钟小年]飞来。他惊恐地回过头，可碎木条还是划破了他的额头，
0:26:27|0:26:36|疼痛感使[钟小年]忍不住伸手摸了摸伤口。下午[朱楠]给[魏思蒙]送洗漱用品，
0:26:53|0:27:2|[朱楠]诚恳地看着[魏思蒙]，希望能够得到满意的答复，而[魏思蒙]满不在乎地低下了头，这时电话打断两人尴尬的气氛。
0:27:3|0:27:8|[魏思蒙]如释重负地坐在旁边的椅子上，这时站在门口的[朱楠]说道，
0:27:10|0:27:14|随后心烦意乱的[朱楠]将门关上。而密室里洒落一地的碎木条，
0:27:14|0:27:22|[钟小年]将木条墙破开了一个洞。此时坐在床边调整手表时间的[钟小年]，仿佛听见了显示屏的声音，
0:27:22|0:27:25|于是他带着疑惑走出卧室。
0:27:26|0:27:32|就在他刚穿过走廊来到客厅的时候，显示屏里正在报道当天最新的财经新闻。
0:28:0|0:28:8|[钟小年]听着新闻报道觉得很荒唐，反而确定了自己的猜测。于是便拿起摔落在地的对讲机说道，
0:28:37|0:28:43|[钟小年]愤怒地站起身，可对方丝毫不理会，并将室内的所有灯光关闭。
0:28:45|0:28:54|黑暗的恐惧并没有将[钟小年]击退，他伸出双手摸索安装在墙壁上的灯光开关，反复的按压并没有任何效果。
0:28:54|0:29:3|突然头顶亮起了红色的光，[钟小年]诧异地抬起头。接着房顶的一角出现一个洞口，热气向室内涌入，
0:29:3|0:29:7|[钟小年]则是皱着眉头挥了挥迎面而来的热气。
0:29:8|0:29:15|另一边因财经新闻的爆料，大量记者等候在庄艺的公司门口，在保镖的保护下，庄艺出现了。
0:29:47|0:29:56|[朱楠]将手机里存储的视网膜照片给小贩看，而小贩的回答让他很满意，随后打电话给[唐万元]汇报，
0:29:58|0:30:23|身处停车场的[唐万元]对助手[朱楠]的话深信不疑，挂掉电话后径直走向自己的车，此时坐在酒店窗前的[魏思蒙]也接到了神秘人的来电，[魏思蒙]沉默不语，神秘人使用着变声器的声音并没有令[魏思蒙]感到恐惧，而是缓慢地抬起头仔细地听他说着。
0:30:23|0:30:34|随后密室内的温度竟达到了65摄氏度，汗流浃背的[钟小年]被炙烤的极度缺乏水分，他扭动浴缸放水装置的每一个按钮可并没有放出水。
0:30:35|0:30:48|于是他看向放在床头柜上的玻璃杯，他将玻璃杯举过头顶，仰头晃动着，杯底仅剩的水顺着杯沿落入口中。接着他坐在床边，脱着全身已湿透的衣服。
0:30:48|0:30:59|就在他将所有衣服脱下后，灯光突然熄灭。[钟小年]纳闷地抬起头，忽然卧室正上方的灯光亮起，只见灯光中心出现一个洞口，伴随的，
0:30:59|0:31:6|还有冷气的涌入。于是他伸出手试探温度，可迎面而来的冷气使他打了个哆嗦。
0:31:6|0:31:16|源源不断的冷气输入房间，此时的房间的温度低至3摄氏度，[钟小年]则是从卧室转移到客厅，远离散发冷气的洞口。
0:31:16|0:31:21|他无助地裹着毯子蜷缩在客厅的沙发上，额头的血在低温下凝固。
0:31:42|0:31:48|听见新闻里报道的是[魏思蒙]，身心疲惫的[钟小年]再次受到强烈的打击。
0:31:48|0:32:2|他缓缓地站起身走向显示屏，而显示屏中的[魏思蒙]被医护人员从救护车上抬下，他紧盯着显示屏反复确认，他强忍内心的悲痛，转身拿起对讲机问道，
0:32:11|0:32:25|得不到回应的[钟小年]身心疲惫，瞬间失去了支撑，瘫倒在地，双手愤怒锤击地面，趴在地上泣不成声，[魏思蒙]是他最后的底线。
0:32:25|0:32:33|而医院这边，[唐万元]手捧着鲜花穿过走廊，突然大量记者将[唐万元]团团围住，
0:32:41|0:32:48|[唐万元]在保安的护送下来到重症监护室，若无其事的他缓慢地走到[魏思蒙]的床前，
0:32:48|0:32:59|此时躺在病床上的[魏思蒙]突然猛吸一口气，皱着眉头，睁开眼睛。第三天早上9:30，睡在地板上的[钟小年]被对讲机的声音吵醒，
0:32:59|0:33:8|于是他走到对讲机旁，拿起对讲机说道，
0:33:8|0:33:17|a曝光操纵股价，b曝光[朱楠]是商业间谍。[钟小年]毫不犹豫地选择了利己的那一项。
0:33:18|0:33:25|[钟小年]惭愧地低下头，神秘人得到答案后立刻关闭了显示屏，房间再次恢复宁静。
0:33:25|0:33:31|这时[钟小年]发现对讲机还在接收信号，于是产生了一个大胆的想法。
0:33:31|0:33:39|他侧过头用余光看了看隐藏的摄像头，见没有任何动静，便将对讲机拿至胸前，悄悄扭动着按钮。
0:33:39|0:33:46|对讲机的频道是固定的，于是[钟小年]转身快步离开客厅，迅速进入卫生间，关上门。
0:33:46|0:33:58|接着确认对讲机上的螺丝，随后他打开镜子，拿出悬挂的剃须刀，熟练的拆卸手法迅速将剃须刀内的刀片取出。然后用刀片锋利的一角插
0:33:58|0:34:9|在螺丝口上用力旋转，再将一个个细小的螺丝取下后，抠开电池，缓慢地打开对讲机。为了防止电路板损坏，[钟小年]变得格外小心。
0:34:9|0:34:29|他仔细观察电路板的时候，发现电路板的中间有一根铜丝，于是他使用刀片将它拆下来，再重新组装对讲机，试探地问道，见没有人回应，他再次怀着希望调解频道，还是没有回应。烦躁的[钟小年]旋转按钮，他沮丧地擦了擦眼睛，可并不打算放弃。
0:34:29|0:34:38|[钟小年]依旧抱着希望，调解频道就在他用手指按动按钮的间隙，对讲机传出汽车手刹和关门的声音。
0:34:38|0:34:41|[钟小年]双手紧握对讲机，仔细地听着，
0:34:43|0:34:49|而这边视线模糊，但可以确定是在野外。镜头的晃动让人觉得眩晕，
0:34:49|0:35:0|突然画面停止，呈现的却是一辆卡车。再次随着镜头的移动，画面中出现一名男子，他对着镜头收拾仪表，接着站在画面的中心
0:35:57|0:36:3|[田雨]觉得自己在被人玩弄，转身离开，而[钟小年]愤怒地将对讲机摔在洗漱台上。
0:36:4|0:36:10|垂头丧气的他在一旁的篮子里发现吹风机，他拿起吹风机再次触发灵感。
0:36:10|0:36:15|接着到更衣室拿下外套，取出衣架，用力将衣架掰直。
0:36:15|0:36:25|随后走到客厅，将摄像头用毯子盖住，端出凳子，他把掰直的衣架插入吹风机内，插上热源，捂住吹风机的后面的风口，
0:36:25|0:36:32|使电热元件迅速加热。待金属条变得赤红，[钟小年]将其插入房门内的缝隙，
0:36:32|0:36:35|随着金属条的深入缝隙被穿透。
0:36:35|0:36:45|另一边，[朱楠]站在别墅外迎接[唐万元]。随着黑色轿车的到来，气势汹汹的[唐万元]走下了车，他接过[朱楠]递出的别墅钥匙，
0:36:45|0:36:52|随后进入别墅。[唐万元]扫视别墅内的一切，[朱楠]则是跟在身后默默关上房门，
0:36:52|0:37:3|接着二人转身走向二楼的房间。就在[唐万元]即将开门的时候，密室里的[钟小年]已经在房门上烙出一个正方形，随后他站起身用尽全力踹了过去，
0:37:3|0:37:8|房门被踹开一个大洞，他就顺着洞口钻到外面。
0:37:8|0:37:19|而房门外的世界一片漆黑，[钟小年]手扶着墙壁向前走，就在他还想继续往前走的时候，竟一脚踩空。他低头看了一眼，随后抬头看向四周，
0:37:19|0:37:28|发现房间的周围都是一眼望不到头的石壁，黑漆漆的一片只有房门洞口传出微微光亮。
0:37:28|0:37:44|[钟小年]站在门口的台阶下都看不清全貌，房间在石壁的包裹下显得微乎其微，但是构造一目了然，矩形上方插了很多柱形管道，左边还有一条像极了拱桥，横在石壁和房间的中间。
0:37:44|0:37:55|而这边站在二楼房间内的[唐万元]，他一边向前走，一边手插着腰环顾四周，[朱楠]则是关上门观察着[唐万元]的一举一动。
0:37:55|0:38:7|随后[唐万元]径直走进更衣室，拿出复制[钟小年]视网膜的样本，将其戴进眼睛里打开暗格。他在输入密码的同时，保险箱扫描视网膜，
0:38:7|0:38:17|清脆的声音让[唐万元]激动万分。但是在保险箱全部打开后，空荡荡的保险箱使他目瞪口呆，他反复确认保险箱的每一层。
0:38:17|0:38:29|失望透顶的他强压着愤怒转身走出更衣室，而此时的[朱楠]走进卧室环顾四周，接着他打开床内侧的柜子，拿出[钟小年]的护照和身份证。
0:38:29|0:38:38|他翻看过后将其拿在手中，转身走出卧室。在进入走廊后碰见了从更衣室出来的[唐万元]，
0:38:38|0:38:50|于是他将手中[钟小年]的护照和身份证交给了[唐万元]。而[唐万元]只是简单看了看，随后两人面面相觑，就在[唐万元]双手叉腰，若有所思的时候，
0:38:50|0:38:57|装在口袋里的手机响了，
0:40:5|0:40:12|得知真相的[唐万元]火冒三丈，将[朱楠]逼到沙发旁突然发力，反手把[朱楠]按在沙发上，
0:40:12|0:40:18|单手用力掐着[朱楠]的脖子。而无法反抗的[朱楠]余光看见了摆在沙发旁的锥形摆件，
0:40:18|0:40:24|他伸出手努力地够着，最后竭尽全力拿到摆件，顺着[唐万元]的方向砸了过去。
0:40:24|0:40:30|而[唐万元]被击中额头，受到强烈撞击的他瘫倒在沙发上。
0:40:30|0:40:34|[朱楠]从沙发上爬起身，用手捏着
0:40:34|0:40:44|被[唐万元]掐过的地方，嘴巴大口地吸气，随后踉跄转身离去。此时的[唐万元]缓过神，用手捂着受伤的额头站起身，
0:40:44|0:40:49|在周围寻找[朱楠]的身影，在听到关门声后立刻追了出去。
0:40:49|0:41:9|另一边的[钟小年]克服内心的恐惧，拿出手机打开手电筒，沿着房间的墙壁观察周围，他忽然抬起头发现锈迹斑斑的管道，他伸出手机使用手电筒仔细地打量，而在高速公路上，[唐万元]和[朱楠]开着车在你追我赶，两人一路畅行无阻。
0:41:9|0:41:24|而车子进入弯道时，[朱楠]借助后视镜观察[唐万元]的车，随后猛踩油门，[唐万元]则借助弯道驶向外侧打算超车，[朱楠]也察觉到了他超车的意图，立刻调整方向盘开到他的前面。
0:41:24|0:41:30|[朱楠]反复压着[唐万元]的车，而[唐万元]并没有打算放弃，继续找各种机会超车。
0:41:30|0:41:40|在进入下一个弯道时，[唐万元]打算改变策略，使用弯道内侧超车，就在他旋转方向盘的时候，前面出现一辆逆行的车，他不得不放弃超车。
0:41:41|0:41:47|他恼羞成怒将油门踩到底，撞向[朱楠]车后面。车内的[朱楠]被撞得向前弹去，
0:41:47|0:41:55|而来不及反应的[朱楠]抬头镜看着[唐万元]与他平行，[朱楠]惊恐地看着[唐万元]投来犀利的眼神。
0:41:56|0:42:7|[朱楠]将目光收回看向车前，而[唐万元]在收回目光后立刻转动方向盘，把[朱楠]的车挤在道路的边缘，幸亏边缘有围墙才没把车子掉下去。
0:42:7|0:42:21|可就在转弯时突然出现一辆货车逆向前进，两人惊恐地转动方向盘躲避卡车，而[朱楠]在躲避卡车的同时撞上了道路外侧的围墙，直接连人带车地翻了出去。
0:42:21|0:42:30|车子在翻滚的过程中将油箱压破，汽油顺着车筐流到地面。此时车内的[朱楠]满脸是血，身体
0:42:30|0:42:37|则被压在车内。毫发无损的[唐万元]叼着香烟，手里玩弄着打火机，向[朱楠]的位置走来。
0:42:37|0:42:48|挣扎的[朱楠]注意到了车子向外流出的汽油，而[唐万元]就站在汽油的末端，惊恐的[朱楠]立刻将[钟小年]的密钥扔在[唐万元]的脚下。
0:42:48|0:42:56|看见[唐万元]蹲下身子捡起密钥后，虚弱无力的[朱楠]祈求地说道，
0:43:28|0:43:37|而身处封闭环境内的[钟小年]，在刚爬进房门时就注意到了显示屏上[朱楠]满脸是血的画面，正当他疑惑时，
0:43:47|0:43:53|显示屏的题目分别是a沉默b账户密码，
0:44:21|0:44:34|[唐万元]得知密码后露出诡异的笑容，在恢复平静后站起身转身离去。就在所有人放下戒备的那一刻，[唐万元]则是猛吸一口手中的香烟，将其扔向身后。
0:44:35|0:44:46|那带有火星的香烟正好扔进了末端的汽油，火星瞬间使汽油燃烧起来，火苗顺着汽油流动的方向一路燃烧，最终燃爆[朱楠]的汽车。
0:44:46|0:44:53|冷酷无情的[唐万元]还将[钟小年]的护照用打火机点燃，扔向[朱楠]车爆炸的地方。
0:44:53|0:45:5|在密室的[钟小年]通过显示屏看见[唐万元]引爆[朱楠]汽车的全过程，此时的显示屏随着爆炸没有了画面，而[钟小年]则是目瞪口呆地瘫坐在沙发上。
0:45:6|0:45:12|他的脑海里还在浮现[唐万元]杀害[朱楠]的全过程，眼前的一幕幕使[钟小年]难以置信，
0:45:12|0:45:20|他将这一切罪过都怪罪到神秘人的身上。于是他扯在盖在希腊女神身上的毯子，
0:45:26|0:45:33|愤怒的[钟小年]将断臂希腊女神推倒在地，就在接触地面的那一刻，希腊女神破碎成无数个碎片，
0:45:33|0:45:40|可头部却完好无损。随后[钟小年]拿起希腊女神的头部扔向客厅旁边的单向玻璃，
0:45:41|0:45:48|随着希腊女神眼睛里的摄像头被破碎，监控室中心位置的屏幕便出现电视雪花。
0:45:48|0:45:55|监控室的中心位置坐着一名男子正欣赏着这一切，模糊不清的脸似乎露出了满意的笑容。
0:45:56|0:46:4|而密室内发泄完的[钟小年]逐渐冷静下来，低头看着满地的碎片，可就在这时，灯光忽然从暖光变成了冷光。
0:46:4|0:46:10|医院里庄艺搅拌鸡汤的同时，对病床上的[魏思蒙]说道，
0:46:36|0:46:45|此时[钟小年]使用高尔夫球杆将卧室上方洞口的隔板拆了下来，然后踩上跑步机爬到书架的顶端，伸出双手探索洞口。
0:46:46|0:46:55|另一边躺在医院病床上的[魏思蒙]虽然很虚弱，但是并没有把庄艺放在眼里，反而拿出手机视频对庄艺说道，
0:47:34|0:47:43|毫不知情的[钟小年]正在顺着卧室上方的管道向上爬，管道内连绵起伏，空间狭小，他只能匍匐前进，慢慢接近光源。
0:47:43|0:47:52|看着不怎么长的通风管道爬起来却格外费劲，最后一节的斜坡面幅度比较大，[钟小年]手撑着墙面在前进。
0:47:52|0:48:10|而坐在病床上的[魏思蒙]毫不犹豫地喝下庄艺带给她的鸡汤，很显然她并不害怕庄艺会对她下手，反而喝完鸡汤后，强压内心的不舍，眼含泪水对庄艺说道，
0:48:11|0:48:18|说完[魏思蒙]抬起头直视着庄艺，而庄艺听到[魏思蒙]的话后满是钦佩。画面突然来到空旷的大山，
0:48:27|0:48:40|[钟小年]双手紧抓着通风口的铁框不断地拍打，一只蝴蝶随着风在空中飞舞，不但没有受到[钟小年]敲击声的影响，而且还飞向[钟小年]所在的铁框。
0:48:40|0:48:47|此时的[钟小年]受宠若惊，将抓在铁矿上的手挪了挪，小蝴蝶缓慢地落在铁矿上，
0:48:48|0:48:58|他看着小蝴蝶自由自在的飞翔，内心十分渴望重获自由。相反，富丽堂皇的腾远基金内，[唐万元]迫不及待地走进办公室，
0:48:58|0:49:12|将密钥插进电脑里，他紧皱眉头盯着电脑屏幕正在扫描的密钥，随后电脑屏幕中出现扫描失败，他得而复失的坐倒在凳子里，随后打电话问神秘人，
0:49:23|0:49:33|[唐万元]威胁神秘人，可神秘人并不买账。他放下手机后将所有的怨气都发向电脑，用键盘狂砸向显示器。
0:49:33|0:49:44|而神秘人这边将真正的密钥插进电脑里，输入密码，点击确定。显示屏呈现的余额却只有5元，他反复点击回车键，始终显示的是5元。
0:49:45|0:49:48|就在神秘人电脑旁杂乱的手机中传出声音，
0:50:19|0:50:36|[田雨]这句话刺痛了[钟小年]的内心，他没有保护好自己的妻子，还让她受到伤害。如今住进医院里，自己也没能亲自照顾，而且在这密室里得不到任何外面的消息，[钟小年]欲哭无泪，紧紧地抓着对讲机。
0:50:38|0:50:54|坐在床边盖着毯子的[钟小年]背影显得无比凄凉，原本整洁的房间变得凌乱不堪，房门被拆出个大洞，吹风机被扔在一边，断臂希腊女神的碎片到处都是，卫生间的玻璃也被打碎，卧室里更是狼狈不堪。
0:50:54|0:51:1|随处可见的木条碎片，书架和跑步机被强行紧挨在一起，书籍被散落在书架的两旁。
