0:1:9|0:1:13|一条宽阔的小巷上，阳光洒在街道上显得特别明亮。
0:4:37|0:4:41|午后，[李世民]和岳父一起来到祭祀的广场。
0:4:41|0:4:45|神坛上，巫师将血滴入酒中，一饮而尽。
0:4:45|0:4:52|随后，他举起静德铸造的铁鞭，高抬过头顶，将口中的血水喷洒至铁鞭上。
0:4:52|0:4:58|巫师十指和中指轻拂铁鞭，缓缓滑下后，将铁鞭高举向天空，念着口诀。
0:5:6|0:5:14|巫师大跳着走，转身面对人们，看着巫师双手举过的铁鞭，百姓们纷纷下跪磕头。
0:5:14|0:5:21|御池靖德和岳父跪在最前面，众人一边磕头跪拜，一边念叨着咒语。
0:5:21|0:5:25|村外，万马奔腾，众人并未意识到危险逼近。
0:5:25|0:5:30|仪式里程，靖德将铁鞭放进天王殿，岳父虔诚地说。
0:5:40|0:5:45|话音刚落，奔腾的军马扬起尘烟，给村子蒙上层灰。
0:5:45|0:5:50|千军万马打破了村庄的宁静，士兵手持刀枪闯入。
0:6:9|0:6:24|懵懂的聋哑男孩听不见闯入士兵嚣张的话语，他还在持续抽打着旋转的陀螺，士兵直冲孩子奔去，等到孩子和他的母亲注意到时，兵马距他只有一米远，孩子愣在原地。
0:6:24|0:6:31|说时迟那时快，[尉迟恭]从马下穿过，抓住马绳，将两个士兵从马背上摔下。
0:6:31|0:6:36|陀螺停下了，倒在一边，士兵挥着长矛，要刺瞎孩子的双眼。
0:6:36|0:6:40|[苏玉梅]死死抓住长矛，牵制住了士兵的动作。
0:6:41|0:6:44|力量悬殊，士兵的手都快脱臼。
0:6:44|0:6:53|另一人刺向[苏玉梅]，[苏玉梅]左臂一挡，长矛便断成两根飞上天。
0:6:53|0:6:56|随即，[苏玉梅]将士兵猛拽下马。
0:6:56|0:7:2|士兵看着天上长矛掉落，狠狠刺进自己的胸膛，失去了呼吸。
0:7:2|0:7:4|母亲赶紧带着孩子道谢离开。
0:7:9|0:7:19|士兵慌乱而逃，村民提醒[苏玉梅]。
0:7:19|0:7:24|人群中，[苏玉梅]的妻子抱着墙堡中的儿子，震惊地瞪大双眼。
0:7:24|0:7:27|城外，士兵快马加鞭向将领汇报。
0:7:32|0:7:44|将军停下了吕胡勋的手，眼神凶狠地看向来抱的士兵，随即登上马，一挥手号令士兵。
0:7:44|0:7:51|将军带着重将许杀进村子，气势汹汹，要找御池靖德报仇雪恨。
0:7:51|0:7:53|岳父在家里紧张夺步，嘱咐靖德道。
0:8:11|0:8:18|靖德依依不舍地看着一鸭血雨无辜的孩子，可骑马飞驰前来报仇的军队没有半分犹豫。
0:8:26|0:8:29|士兵分头行动，岳父紧张地关上家门。
0:8:49|0:8:54|妻子拿起一旁的剪刀，揪下一缕自己的绣发，手起刀落。
0:8:54|0:8:58|妻子泪湿双眼跑到靖德面前，将一缕头发交给他。
0:9:3|0:9:22|妻子痛心地将靖德从后门推出去，靖德还来不及与妻子道别，刚跑进院子就看到搜查的士兵，于是他赶紧躲在房檐后，带两个士兵放松警惕，骑马离开后，他才继续逃跑，预知靖德开始了自己的逃亡之路。
0:9:22|0:9:36|他飞奔出城门，城外青山叠帐，靖德在城外随处奔逃，士兵在城内搜寻靖德一家，就在崇山峻岭间，靖德恍惚听见了自己孩子的哭声。
0:9:36|0:9:41|而另一边，靖德的家中，将军用刀抵着御池靖德岳父的胸口。
0:10:22|0:10:41|小道上，[尉迟恭]转身飞奔回村，而另一边的家中，[苏玉梅]一把夺过孩子。
0:10:41|0:10:42|[尉迟恭]大步跑进城门。
0:10:58|0:11:7|家中的妻子苦苦哀求[李世民]无果，痛哭流涕倒在地上，而街道外的[尉迟恭]，转瞬间就跑到了天王殿。
0:11:16|0:11:25|说完，[尉迟恭]跑出天王殿，他看着街上一片狼藉。
0:11:25|0:11:31|他跑进铁匠铺，却看到了躺在地上一动不动的岳父。
0:11:31|0:11:33|[尉迟恭]大力摇晃岳父的身体。
0:11:38|0:11:46|[尉迟恭]来到街道上，百姓们都逃窜离开，只剩他一个人独自面对千军万马带来的战祸。
0:11:46|0:11:49|将军率重将士骑马向前，得意地笑着。
0:11:49|0:11:55|挑眉看向杀气腾腾的御职[尉迟恭]，两个步兵率先挥剑攻击[尉迟恭]。
0:11:55|0:12:10|[尉迟恭]单手挥铁鞭，就将两步兵击倒在地上，一骑兵骑着马挥来大刀，[尉迟恭]眼疾手快，用铁鞭抵挡，随即攻击马侧，马儿受惊向一旁侧身，[尉迟恭]调整对战姿势。
0:12:10|0:12:18|将军的长矛刺向[尉迟恭]，[尉迟恭]直接将将军拽下马背，将军重重地跌落至地面，长矛挥向[尉迟恭]。
0:12:18|0:12:28|[尉迟恭]双手竖持铁鞭抵抗时，注意到侧后方熊熊燃烧的火堆，旋转铁鞭挑起炭火，火星溅在将军脸上。
0:12:28|0:12:37|将军无脸之际，对着[尉迟恭]发射暗器准备逃跑，暗器插进[尉迟恭]的左胳膊，其他士兵持长矛蜂拥而上。
0:12:37|0:12:43|[尉迟恭]一人抓住四根长矛，士兵们动弹不得。
0:13:18|0:13:35|好不容易挣脱士兵们围攻的[尉迟恭]，一蹶一拐地追着妻子，被抓走的妻子哭喊着。
0:13:35|0:13:42|[尉迟恭]红着眼，痛苦地望向妻子，从噩梦中惊醒，猛地坐起身，大口呼吸平复自己的心情。
0:13:52|0:14:6|士兵告退后，[尉迟恭]在房间内缓缓抬手，揉了揉膝盖，又抓住自己的脖子，那种窒息的痛感是如此真实，仿佛自己刚刚并非做梦，而是真实记忆的重现。
0:14:6|0:14:16|冷静片刻后，[尉迟恭]从衣内掏出一个精心包装的手帕，小心翼翼地打开，里面装着的是妻子剪断的一缕绣发。
0:14:17|0:14:24|秀发被细绳绑好，配上玉坠装饰，看得出[尉迟恭]十分宝贝妻子留下的东西。
0:14:33|0:14:39|竟得还在回忆里，窗外却有一鬼鬼祟祟的蒙面人将屋内全景尽收眼底。
0:14:39|0:14:44|一日，朝阳初升，日色还笼罩着夜幕的余韵。
0:14:44|0:14:49|一个官人打扮的神秘男子放飞信鸽，将昨晚看到的情报送往别处。
0:14:50|0:14:57|介州城门上，[尉迟恭]带领士兵俯瞰众生，体察民情，从城门上远眺。
0:14:57|0:15:0|跟随[尉迟恭]的士兵，担忧地对[尉迟恭]说道。
0:15:2|0:15:26|竟得顺着士兵引导的方向看去，只见街道上一片混乱，战火纷飞，沉烟四起，街上人迹罕至，民不聊生，男人们腿脚有伤，行动不便，妇女带着孩童奔跑，一男子从梁冈里翻石为果，将空缸摔碎，竟得肉没说。
0:15:42|0:15:51|士兵[李世民]的抱拳告退，复杂的情绪涌上心头，[李世民]转头看着远处，借州城牌匾清晰可见。
0:16:19|0:16:34|[李世民]没有答话，牵马的手紧了一点，骑在马背上，呆在原地，微蹙眉头看着前方，思考着，片刻之间，炮火不断攻向介州，从远处投射火器，攻打介州城门。
0:16:34|0:16:38|原来，唐军将士大军压境，外马千军入侵介州城。
0:16:39|0:16:43|唐军分工明确，装备齐全，扛着无数武器。
0:16:43|0:16:48|一群士兵推着兵车朝城门狠狠撞去，要推开城门。
0:16:48|0:16:53|唐军挥舞着军旗，胜券在握的样子，阵必高呼，势在必得。
0:16:54|0:17:12|车门上，[尉迟恭]指挥军队朝城楼下的唐军射箭，唐军士兵搭着长梯往城墙上爬，守城的士兵一边摇晃梯子一边坠下重物，不少唐军士兵被重重砸下，唐军增加了撞开城墙的力度，[尉迟恭]则号召士兵严加防守。
0:17:15|0:17:34|唐军投掷武器，趁着[尉迟恭]军队不备，不少唐军冲上了城楼，两军兵戎相见，守城门上的士兵仍然在摇晃梯子，抛中石头抵抗上城楼的唐军，[尉迟恭]见此情景，屈膝拉弓，朝着城下骑马的[李世民]射去，利剑穿过唐军旗帜。
0:17:34|0:17:47|直射中内人的胸膛，可内人竟没有挣扎，直接倒地，[尉迟恭]感到古怪，却不明所以，而真正的[李世民]，站在城外远山下，将战火尽收眼底。
0:17:52|0:17:57|在[尉迟恭]的带领下，将士们将唐军上墙的最后一块爬梯推倒。
0:17:57|0:18:2|唐军仓皇逃窜，远山下观战的[李世民]策马离开。
0:18:2|0:18:7|[尉迟恭]率领的将士们在城墙上欢呼庆祝，守城成功。
0:18:7|0:18:10|攻城失败的唐军一波接着一波逃离城门。
0:18:10|0:18:16|[尉迟恭]在城门上眺望远方，[李世民]在郊外用石子分析借州地形。
0:18:16|0:18:20|借州城墙高六丈，三面环山。
0:18:36|0:18:59|[李世民]发现奥秘，眉目舒展，露出一丝喜悦的神情，但随后又被深切的幽思取代，撑着木杆前走几步站定，风吹过[李世民]的头盔，更坚定了他的决心，他走到武将[程咬金]休息的树边，发现[程咬金]睡得正憨，无奈摇头道。
0:19:11|0:19:20|[李世民]立即飞奔上马。
0:19:20|0:19:27|[程咬金]迎战靖德，靖德将[程咬金]摔在地上，[程咬金]手被划伤，而靖德已朝[李世民]追去。
0:19:32|0:19:38|[御池敬德]奋起直追，[李世民]在前，[程咬金]骑马跟在二人后面。
0:19:38|0:19:44|清醒紧急，三人距离相隔不远，策马奔驰的三人与大漠长河一道，
0:19:44|0:19:46|构成一条延伸至天边的直线。
0:19:46|0:19:58|经过长河时，[李世民]与[御池敬德]的马轻松趟水过河，而[程咬金]体格较大，过河时因重心不稳，从马背上摔了下来，掉进水中。
0:19:58|0:20:4|[程咬金]狼狈的样子，为紧张刺激的追逐，增添了几分威胁幽默的氛围。
0:20:18|0:20:22|等[程咬金]起身追马，坡上早已被唐军占据。
0:20:22|0:20:30|小坡上，秦书保朝[御池靖德]射箭。
0:20:30|0:20:37|靖德眼疾手快抓住了侧后方的利剑，[李世民]已经策马跑远，靖德下马迎战秦书保。
0:20:41|0:20:58|秦叔保把弓箭甩给身后的士兵接住，自己下马扯出背后的双边攻击靖德，靖德用铁鞭防御，秦叔保步步紧逼攻击靖德，靖德向后翻转躲避，二人实力相当，几番对决下来胜负难分。
0:20:59|0:21:3|好远的[李世民]号召前来支援的一小批人马。
0:21:3|0:21:10|秦书保双边夹住靖德的铁鞭，两位骁勇善战的将军互相打量着彼此。
0:21:10|0:21:19|就在二人僵持不下之际，[李世民]率兵出现。
0:21:19|0:21:24|二人撤武器分开。
0:21:24|0:21:28|[李世民]下马，走到靖德和秦书保对面说。
0:22:8|0:22:17|不远处，一个体型粗犷的神秘男子躲在大树旁边默默注视一切，敬德敬佩地抱拳告退[李世民]。
0:22:17|0:22:23|但众人都丝毫未察觉到，一旁躲在树林中鬼鬼祟祟的神秘男子。
0:22:23|0:22:29|望着玉池敬德策马远去，[李世民]信誓旦旦地对秦叔宝说。
0:22:36|0:22:50|御池靖德返回军营后，与军师喝庆功酒，军师笑得合不拢嘴，二人举杯痛饮，军师放下酒杯，问靖德。
0:23:8|0:23:23|靖德起身，走到军师身后的军事图前站定，找到地图上的滨州，忧心忡忡地转向军师，反问道。
0:23:23|0:23:35|尉迟靖德半信半疑地看着地图上的滨州，军师贼眉鼠眼笑嘻嘻地看向靖德，靖德边走边说。
0:24:19|0:24:29|军师吓坏了，惊恐地反应半天，靖德看到军师的愣反应，忍不住笑出声来，军师连忙应和靖德。
0:24:59|0:25:4|说吧，用手中的箭矢恐吓军师，军师连连后退。
0:25:4|0:25:10|下一秒，靖德射出手中绿箭，箭矢从军师的左脸飞过，吓得军师闭上双眼。
0:25:10|0:25:16|靖德离开营帐，军师这才小心地睁眼，箭矢直直地插入在滨州城的图标上。
0:25:16|0:25:19|傍晚，军师和手下密谋。
0:25:35|0:25:46|这个手下正是之前在树林偷窥的男子，军师走后，男人盯着靖德房间监视，隔日，程咬金拉弓瞄准天上的飞鸽。
0:25:52|0:26:2|一击击中，程咬金跑到猎物落地之处捡起信鸽，意外发现他脚上捆着的信纸，解下信纸，将情报交给[李世民]。
0:26:24|0:26:30|军营里，[李世民]露出势在必得的自信微笑，退回王座上下令。
0:26:47|0:26:53|晋王军师携隋从在城门上注视着唐军大军撤退，对隋从说道。
0:27:33|0:27:38|军师眯着眼睛，阴着脸转身离开，二人离开城门。
0:27:38|0:27:49|入夜后，[苏玉梅]在房中休息，院子里的缠绵声增添了[苏玉梅]的忧愁与焦虑，[苏玉梅]推开房门转换心情，低头叹息。
0:27:49|0:28:0|天空中，明月高悬，半个月亮都被笼罩在黑暗里，月亮半明半暗，如同[苏玉梅]的心境，[苏玉梅]思念着妻儿，担忧着他们的安危。
0:28:1|0:28:13|抬头看着月亮，[尉迟恭]早已失红了眼眶，在半月的光影里，他好像看到了妻儿。
0:28:13|0:28:20|[苏玉梅]在想，她的妻儿也许被敌人关在了牢里，等待着自己全去解救。
0:28:30|0:28:35|想到这里，朦胧的半月又增添了[苏玉梅]几分愁绪。
0:28:35|0:28:52|他赤红着眼，缓缓低头，内心责备自己，看向手中细绳绑好的一缕绣发，拨弄着绳上系着的玉坠和铃铛，内心的柔软被敲响，安放了对妻儿的思念，可卷尸地推门闯入，打破了[尉迟恭]内心难得的瓶颈。
0:29:7|0:29:12|[苏玉梅]担忧地骑马，孤身一人连夜离开介州城，前往并州。
0:29:12|0:29:15|黑夜为树林增添了诡异的气氛。
0:29:15|0:29:19|[尉迟恭]驾马来到郊外，发现林中的一个马车倒在地上。
0:29:28|0:29:32|男人手持铁链，一下勒住了御持[尉迟恭]的脖子。
0:29:32|0:29:36|[尉迟恭]的声音引起马车旁打盹的士兵的注意。
0:29:36|0:29:39|士兵赶来，从后方勒住[尉迟恭]的脖子。
0:29:39|0:29:42|[尉迟恭]甩开二人，倒在地上。
0:29:42|0:29:46|可冒出更多士兵，跌落憾视地将其压在身下。
0:29:46|0:29:53|众士兵一起拖着勒住[尉迟恭]脖子的铁链往后拽，几人合力将[尉迟恭]五花大绑在树上。
0:29:54|0:30:0|靖德无法挣脱，死死抓住累在脖子上的铁链以防窒息。
0:30:3|0:30:6|军师阴森地笑着走过来。
0:30:43|0:30:46|竟得使出全力，试图挣脱铁链。
0:30:46|0:30:48|一个士兵挥刀走来，术后射出利剑。
0:30:51|0:30:56|原来，半路杀出个[程咬金]，将回刀士兵一箭射死。
0:30:56|0:31:0|[程咬金]带来一批人马，吓坏了[尉迟恭]一行人。
0:31:0|0:31:17|[尉迟恭]四下张网，自己的手下皆被打倒，唐军士兵骁勇战战，寻找着[尉迟恭]的踪迹。
0:31:17|0:31:19|马车里的[尉迟恭]被[程咬金]发现。
0:31:22|0:31:40|[程咬金]打倒两个党路兵，禁止走向马车。
0:31:40|0:31:46|正托铁链晋德走来，他扔下铁链扼住[尉迟恭]的咽喉，将[尉迟恭]按在树上。
0:31:55|0:32:5|[尉迟恭]被剑刺身亡。
0:32:5|0:32:7|竟得托起倒下的[尉迟恭]。
0:32:13|0:32:20|可军师已然身亡，重重摔倒在地上，[尉迟恭]绝望又悲泣地缓慢走阵，[程咬金]喊道。
0:32:29|0:32:35|[尉迟恭]迟疑，神色痛苦，问[程咬金]，[程咬金]笑着走过来。
0:32:56|0:32:57|[李世民]率马前来，行色匆忙。
0:32:57|0:32:59|御池敬德不解地抬头，美好气地说道。
0:33:40|0:33:44|竟得低头，转身要走。
0:33:44|0:33:47|[李世民]侧身下马，跟上竟得。
0:33:47|0:33:53|[李世民]走到玉驰竟得身旁，竟得侧身问。
0:34:4|0:34:7|小王是深感不安。
0:34:23|0:34:28|[李世民]料想过这个问题，自信地走到[尉迟恭]背后，回答道。
0:34:28|0:34:33|[尉迟恭]恭敬地跪拜[李世民]。
0:35:2|0:35:11|二人万分担忧，[尉迟恭]忧心忡忡地看向介州，第二天就率唐军出征，解救介州城。
0:35:13|0:35:16|成为[李世民]的左膀右臂。
0:35:23|0:35:32|凡敬德率军所到之处，战无不胜，大唐军队所向披靡，扫平各路障碍，敬德为[李世民]征战沙场，大杀四方，战功赫赫。
0:35:49|0:35:57|大唐宫殿外气势恢宏，更有重军守卫，一切欣欣向荣，万物生机勃勃。
0:35:57|0:36:0|禁中城内，百姓安居乐业，商贸运输繁荣。
0:36:8|0:36:17|城内集市上，小贩们吆喝着，到处都是糖商在卖新奇玩意儿，女子们打扮俏丽，生活幸福。
0:36:17|0:36:27|城外郊区树林里，[李世民]与玉池敬德率军策马翻腾，狩猎游玩，一行人寻找猎物，停下马，士兵提醒[李世民]。
0:36:32|0:36:36|一行人策马追去，熊鸡正在树下寻觅食物。
0:36:36|0:36:38|[李世民]一行人近声。
0:36:38|0:36:44|[李世民]与[尉迟恭]缓缓摆出射箭姿势，生怕惊扰熊鸡。
0:36:44|0:36:47|[李世民]瞄准后，眼疾手快射出利箭。
0:36:47|0:36:50|箭使刺穿熊鸡的身体，众人道喜。
0:37:42|0:37:45|[李世民]应允，靖德驾马离去。
0:37:45|0:37:49|看着靖德远去的背影，[李世民]重重叹气。
0:37:49|0:37:59|不久，靖德便牵着马来到了河边，高树矮草，西风瘦马，清水晴空，一人一马，缓缓在河边行走。
0:37:59|0:38:2|不远处，[李世民]一行在林间飞驰，寻觅猎物。
0:38:6|0:38:14|见到眼前的猎物，[李世民]倍感兴奋，抽出背后的箭矢，拉弓瞄准不远处正在吃草的野兔。
0:38:14|0:38:22|和林坚激烈的追逐不同，河边仿若置身世外桃源，老马低头饮水，竟得在马旁待战许久。
0:38:22|0:38:26|而林坚仍然在紧张地进行狩猎。
0:38:28|0:38:29|突然放缓速度。
0:38:30|0:38:41|[李世民]抬手示意大家下，仔细观察了兔子前进的轨迹，带兔子走远后，带兵直追，而静德带着老马仍在河边。
0:38:41|0:38:47|老马喝饱水抬起身子，看到静德缓缓捧起一手水，用鼻尖蹭了蹭静德的侧脸。
0:38:47|0:38:53|静德思念妻儿至深，面前的水波都荡漾着妻儿的面庞。
0:38:53|0:38:57|马儿贴着静德，仿佛在安慰他，静德伸手抚摸马儿。
0:38:59|0:39:4|[李世民]一行人逐兔进入树林深处，却被大雾阻挡视线。
0:39:15|0:39:21|雾气缭绕，阴风阵阵，拨乱树叶的斜风使得山林变得诡异万分。
0:39:21|0:39:24|士兵皆握住剑柄，提心吊胆。
0:39:24|0:39:31|[李世民]一行人只听得脚步声与马蹄声随阴风传入耳中，却看不清来者。
0:39:31|0:39:39|一群塞外打扮的壮汉站在树丛后，弓箭藏在树旁，箭在弦上，蓄势待发。
0:39:49|0:39:57|两军对抗，[李世民]策马逃离，奈何敌军手持弓箭，唐军的刀剑无法与之匹敌。
0:39:57|0:40:5|敌军士兵拉弓射中[李世民]的后背，士兵搀扶他骑马逃跑。
0:40:8|0:40:24|大雾四起，敌军策马狂追，声势浩荡，引得不远处靖德的注意，靖德及时赶到营救[李世民]，横刀立马拦住敌军去向，敌方一士兵率先挥刀朝靖德砍下，靖德拦住大刀，又飞踢向另一士兵，士兵倒地。
0:40:25|0:40:30|进德乘胜追击，将两士兵从马上脱下，重重地甩在地上。
0:40:30|0:40:36|有一身材娇小的士兵骑马快刀出击，进德轻松抢过大刀。
0:40:36|0:40:44|士兵从马上飞旋落地，一袭长发引人注目，原来是一位美丽女子，美女不可一世地盯着进德。
0:40:44|0:40:50|进德将夺来的刀插入地面，吓得敌军倒地不敢起，一堂军士兵快马来报。
0:40:58|0:41:2|[李世民]待在原地，可敌方大军已然来犯。
0:41:21|0:41:41|突厥士兵进入边境烧杀掠抢，无恶不作，村庄里战火纷飞，鸣不良声，大唐士兵与突厥士兵两军交战，英勇的唐军将士为国献身，惊奇烈烈，战鼓雷鸣，狼虎之师，封兵所指，所向披靡，功无不克，战无不胜，背水于战，
0:41:41|0:41:50|置之死地而后生，前线的大唐战士们在刀光剑影中穿行，惊心动魄，驰骋疆场，踏平突厥军队，
0:42:12|0:42:15|屠夫挥刀之际，曾对战进德的突厥美女说道，
0:42:34|0:42:38|突厥公主不服输地跪地，[尉迟恭]挥刀之际竟得出现。
0:42:40|0:42:53|竟得快马加鞭策马而来，齐下山丘将汉雪宝马停好后，生气地瞪着准备屠杀战俘的士兵，看了一眼突厥公主叫停[屠夫]。
0:42:55|0:42:57|带头士兵得意地说。
0:43:24|0:43:34|齐王赶到，叫住对峙的二人，二人向齐王跪拜道。
0:43:34|0:43:40|齐王全副武装，英姿飒爽地驾马绕二人一圈，打量着[苏玉梅]。
0:43:40|0:43:45|良久才面试[苏玉梅]，语气不悦，开口说道。
0:43:59|0:44:3|可如今这些战俘都已经放下了刀枪。
0:44:21|0:44:23|齐王不懈地看着晋德。
0:44:23|0:44:31|随即，突厥公主被横吊在树上，身下放置了五根长索，如若不慎跌落，性命不保。
0:44:31|0:44:32|齐王说道。
0:44:43|0:44:47|突厥公主瞪着阴险的[李世民]，[尉迟恭]抱拳说道。
0:44:51|0:45:11|[李世民]话音刚落，站在[尉迟恭]身边的士兵便持兽攻击他，[尉迟恭]先是用双手接住两侧士兵手中长朔，双脚一踢，二人倒地，随后用夺来的双朔抵抗他人攻击，挥起的双朔扬起黄沙，其他小卒根本不是[尉迟恭]的对手，皆倒地不起。
0:45:12|0:45:16|一炷香即将烧尽，[李世民]无可奈何，亲自下马。
0:45:16|0:45:22|心急之下，冲[尉迟恭]猛刺，[李世民]刺向[尉迟恭]的朔，被[尉迟恭]一把抓住。
0:45:22|0:45:26|[尉迟恭]赤手空拳，震得持武器的[李世民]大气不敢出。
0:45:26|0:45:33|最终，[李世民]手中长朔，随燃尽的香一道跌落，[尉迟恭]踹松绳索，救下公主。
0:45:37|0:45:45|士兵们围住秦王保护他，被救下的公主用充满敬佩与仰慕的眼神看向靖德。
0:45:45|0:45:52|秦王眼里燃着怒火，瞪着[尉迟恭]，可怖的眼神里满是恨意，酝酿着报仇血恨。
0:45:52|0:46:1|入夜，众人都回到大唐军营，[尉迟恭]的营帐里，公主正在木桶里泡澡，缓缓将水淋在自己身上。
0:46:1|0:46:4|就在这时，[尉迟恭]刚好回到军营。
0:46:19|0:46:28|公主扶着木桶缓缓起身，水滴顺着[公主]身上滑下，还未擦拭便披上柔软的绸缎睡袍。
0:46:28|0:46:35|此后，[公主]侧身，双脚轻轻踏出木桶，一步步走下台阶，饶有兴致地对竟得说。
0:46:54|0:47:5|竟得紧张地正脱开[公主]抱着自己的双手，飞快地跑出帐篷，独留[公主]失落地守在原地，望着竟得远去的背影伸伤。
0:47:5|0:47:10|临帐外，太子骑马回营，齐王迎接。
0:47:56|0:48:2|[李世民]拦住，太子饶有兴趣地打量靖德，靖德道。
0:48:19|0:48:32|说吧，靖德拔出齐王腰侧别的剑，五剑过后，解开上衣，露出背上长长的伤疤，[李世民]惊得说不出话来，而靖德身前和手臂上仍有深浅不一的伤疤。
0:48:32|0:48:36|见太子冷亨，[李世民]开口说道。
0:48:43|0:48:48|[李世民]与士兵们接连下跪替靖德求饶，太子与其王倍感冒犯，最终下旨。
0:49:4|0:49:7|夕阳西下，[李世民]山间送别靖德。
0:49:36|0:49:47|御池敬德郑重的朝[李世民]重重跪下，他落地的膝盖带起一地沙尘，随后敬德恭敬的朝[李世民]叩首行跪拜礼。
0:49:47|0:49:52|李承，[李世民]难以抑制，动容地握住敬德双手，将他扶起。
0:49:52|0:49:57|君臣二人依依不舍地看着彼此，眼中早已饱含泪水。
0:49:57|0:50:4|敬德的眼中满是感激，感激战乱中的不杀之恩，感激君主慧眼识诸的恩德。
0:50:5|0:50:9|[李世民]的眼中则充满了愧疚，更多的是不舍。
0:50:9|0:50:17|愧于没有让将军享受应有的待遇，不舍于自己培养的栋梁，即将离开自己，浪迹天涯。
0:50:17|0:50:24|就连一向大大咧咧的程咬金，也看不下去如此悲伤的场景，转身低头要走。
0:50:24|0:50:29|靖德见状，默默牵起黑马，转身离开。
0:50:29|0:50:32|靖德牵着陪自己征战多年的汗血宝马回到了家乡。
0:50:54|0:51:0|这是他铸造兵器的见证之处，也是他征战沙场的开端之地。
0:51:37|0:51:41|天王爷眼神囧瘦，仿佛洞察人间世事。
0:51:58|0:52:3|随后起身，恭敬地将铁鞭摆在[尉迟恭]贡品架上。
0:52:3|0:52:9|离开天王殿，往家中走的路上，靖德看尽人间辛酸，沙土漫天的街道。
0:52:9|0:52:12|两肩挑担的老人，倒进生活的悲凉。
0:52:13|0:52:19|静德回到破败的铁匠铺，无情的尘封，好似能将铺子吹倒散架。
0:52:19|0:52:26|他看着歪斜的牌匾与沉烟堆积的地面，铁匠铺已然一地残骸，了无生机。
0:52:26|0:52:34|静德眼里饱含泪水，可一眨眼，眼前仿佛还是妻子做好了饭菜，冲自己甜蜜微笑的样子。
0:52:34|0:52:39|眼中的妻子正招呼着家人吃饭，静德正要迎上去。
0:52:39|0:52:45|再一看，眼前人却已消失不见，铁匠铺又变回了现在破败不堪的样子。
0:52:45|0:52:49|他伸手想抓住妻子，却摸也摸不着，怎么也抓不住。
0:52:49|0:52:55|静德低头看，地上全是摔碎的碗盆，一地狼藉，不忍直视。
0:52:55|0:53:3|在混乱的干草堆叠下，他捡起一块熟悉的碎片，仔细端详，正是当年妻子给自己盛饭的大碗。
0:53:4|0:53:13|回忆瞬间涌上心头，当年热气腾腾成饭的碗，现如今已破碎不堪，成为一地冰冷的碎片。
0:53:13|0:53:21|[尉迟恭]努力压制住悲伤，拿起碎片缓缓走进屋子，可推开屋门，迎接[尉迟恭]的只有无情的灰尘。
0:53:22|0:53:26|屋内布满了灰尘，就像笼罩了一层阴影。
0:53:26|0:53:30|[尉迟恭]缓缓走着，突然脚下被什么东西绊住了。
0:53:30|0:53:34|在茅草下，[尉迟恭]看到了被埋藏的剪刀。
0:53:34|0:53:42|他弯下腰拨开稻草，小心翼翼地捡起掉落在地上的剪刀，轻轻拨开附在剪刀上的灰尘。
0:53:57|0:54:3|想到这里，[尉迟恭]的泪水再也止不住，抱着满是回忆的剪刀崩溃大哭。
0:54:3|0:54:10|堂堂七尺男儿，大战不败的[尉迟恭]将军，如今却在回忆中崩溃破防。
0:54:18|0:54:24|时间并没有淡化[尉迟恭]心中的悲思，对妻儿的思念在这二十年间与日俱增。
