0:2:22|0:2:31|夕阳映在长城边上，[梁笑笑]趴在墙边，[秦奋]拿着钻戒单膝跪地。
0:9:28|0:9:35|两人一同举着酒瓶倒下香槟。
0:9:37|0:9:42|鸽群腾空，[秦奋]又把弄起了气球。
0:9:45|0:9:50|[梁笑笑]看着轩轩，觉得她眼中似乎对[秦奋]有些许爱慕之情。
0:9:56|0:10:4|[秦奋]朝着轩轩比了大拇指，轩轩则是俏皮的朝他吐吐舌头。回到台上的[秦奋]没注意到[梁笑笑]凌厉的眼神。
0:13:4|0:13:15|车门关好，汽车缓缓开走。夜色静静落在这座城，马路依旧喧嚣，灯火依然璀璨，世界不会因为谁的悲喜而停滞，
0:13:15|0:13:23|悲喜却可以令人窒息。一段感情的结束，即使有个体面的仪式，也不能粉饰它的悲剧。
0:13:23|0:13:29|路灯下，房车朝着家的方向开去。车里，[梁笑笑]打着哈欠。
0:13:31|0:13:49|[秦奋]惨淡一笑，[梁笑笑]抬起手上的戒指炫耀了一番，[芒果]抓着[梁笑笑]的手仔细端详着，似是怕自己的好闺蜜被糊弄了去。
0:14:15|0:14:21|[秦奋]舔了舔嘴，转身道，
0:14:28|0:14:43|[芒果]被[梁笑笑]这么一说也逗乐了，两个女人在后座自在地笑了起来。[梁笑笑]的身份其实是一名空姐，这天航班从北京飞向了三亚机场，[梁笑笑]同往常一样来到头等舱。
0:14:43|0:14:55|她左右手各拿着一瓶红酒，来到一位正在吃西餐的男人面前，她开口询问，这个看着时尚杂志的娘炮男人优雅体面。
0:14:56|0:15:7|在[梁笑笑]的二次询问中，他才把眼睛从杂志上移开，男人顺着酒瓶望上去，是[梁笑笑]绝美的容颜。
0:15:9|0:15:18|[梁笑笑]静止在他面前，他先将叉子收好，起身后绕过[梁笑笑]，打开一旁的高档皮克箱子，里面赫然是一顶镶着宝石的皇冠，拉开底层，更
0:15:18|0:15:30|是有一对浮夸的耳环。他小心翼翼地亲手给[梁笑笑]戴上，随后又轻轻撩拨了一下挂在[梁笑笑]耳朵上的宝石耳环，这还不算完，他又取出箱子上漂亮的皇冠以及璀璨的
0:15:30|0:15:36|项链，一一为[梁笑笑]戴上。女人天生对珠宝就没有抵抗力，
0:15:57|0:16:3|[梁笑笑]羞涩地说。很快航班抵达了三亚，随着飞机的一声呼啸，[梁笑笑]此行的目的地便到了。
0:16:11|0:16:14|待到飞机在跑道上缓缓停下，热带的风情就已经扑面而来。
0:16:14|0:16:20|太阳炙烤着大地，机场特色的巨型菠萝散发着对游客的热情。
0:16:20|0:16:29|作为空姐的[梁笑笑]对这些早已熟悉，而让她感到陌生的，是这一次的试婚之旅。飞机上，[梁笑笑]打开安全带，向外张望，
0:16:29|0:16:35|随后她起身打算下飞机。可在经过娘炮男人的时候，对方却搭起了讪，
0:16:37|0:16:45|[梁笑笑]微微欠身点头，便绕过他下了飞机。不远处，一个戴着鸭舌帽的男人走过来给娘炮戴上了手铐，手铐另一头则
0:16:45|0:16:57|锁住了高档皮箱。飞机舱门打开，地面特勤持枪保护，旁边还停着一辆押运车。娘炮男人拎着箱子顺利上车，[梁笑笑]则目睹了这一切。
0:16:57|0:17:13|正午时分的机场大厅里，人头攒动，大厅顶部吊着一个木质的飞机，像是在宣告着来客这个旅游城市的魅力。由木条错落有致，搭成的屋顶别具夏日风味。
0:17:13|0:17:20|一身制服穿出[梁笑笑]凹凸有致的身段，
0:17:37|0:17:43|瞧见[秦奋]的[梁笑笑]举着手机朝里走去，甚至还躲在墙后偷笑着，瞄了眼[秦奋]。
0:17:43|0:17:56|傻愣愣的[秦奋]还在人群中寻找，[梁笑笑]已经来到卫生间换下制服，走出隔间的她一边打理着头发，一边朝镜子走去。她随手将换下的衣服放在一旁的行李箱上，
0:18:24|0:18:33|桌上手机铃声阵阵，[梁笑笑]却视而不见。这时，服务生端来咖啡放在[梁笑笑]桌前。
0:18:35|0:18:44|任由手机铃声响着，[梁笑笑]倒是不慌不忙地轻轻端起咖啡，大厅里的[秦奋]看着稀稀拉拉的人群慌了神。
0:18:44|0:18:51|[梁笑笑]放下咖啡，透过盆栽的缝隙朝大厅里张望着，她笑着接通电话，
0:19:18|0:19:30|大厅里的[秦奋]接着电话突然瞄到了盆栽后的[梁笑笑]，他不敢确定，只侧头缓步朝着大厅后走去。[梁笑笑]则是美滋滋地放下手机，端起怀里的书津津有味地看了起来。
0:19:31|0:19:40|[秦奋]猜出了这桩闹剧，握着鲜花气冲冲地走来。[梁笑笑]不服气地合上书，转头一脸不爽地瞪着[秦奋]。
0:19:40|0:19:47|毕竟是要做夫妻的，两人并没有当即为此事折腾。
0:19:47|0:19:52|前往亚龙湾的公路两侧，绿意盎然，阳光透过椰树缝隙洒下。
0:19:52|0:20:6|一辆SUV穿过树荫疾驰着，开车的正是[秦奋]，副驾上的自然是[梁笑笑]。[秦奋]戴着墨镜正专心致志地开车，[梁笑笑]则是撅着个嘴，还在为先前的事儿闹着情绪。
0:20:6|0:20:14|[秦奋]看了眼[梁笑笑]，先打开了话匣子，
0:21:39|0:21:44|[梁笑笑]自信地笑起来，[秦奋]偏头打量了一番。
0:21:57|0:22:17|[梁笑笑]当即朝着[秦奋]肩膀一顿拍打，看着[秦奋]畏惧自己的样子，[梁笑笑]又忍不住笑了。她撩了把头发，看着窗外的景色，[秦奋]凑近脑袋又看看她的表情，[梁笑笑]假装嗔怒地推开他。
0:22:17|0:22:23|[秦奋]牵起[梁笑笑]的手亲吻起来，[梁笑笑]嫌弃地将手背的口水在[秦奋]身上蹭干净。
0:22:23|0:22:32|亚龙湾是著名的海滨景区，面朝大海，背靠青山，常年热带气候，让这里始终散发着活力。
0:22:32|0:22:41|傍山蜿蜒的路上，汽车缓缓驶来，两侧茂密的树丛为路上的光景增添了不少美感。
0:22:41|0:22:48|远离喧嚣的市井街道，这里世外桃源一般的存在确实更适合居住。
0:22:49|0:22:56|夕阳穿过树木铺在马路上，这里的一切似乎都变得充满诗意。
0:22:56|0:23:1|[梁笑笑]一脸灿烂地看向[秦奋]，美妙的试婚之旅开始了。
0:23:1|0:23:6|车上承载着的是两人对爱情的向往，而这曲折的山路更似两人感情上的魔力。
0:23:8|0:23:22|开车一路的[秦奋]并不烦闷，时不时握起[梁笑笑]的手亲吻着，[梁笑笑]则是眯着眼，任由午后的阳光撒在自己精致的眼睛上，享受着这丝丝的暖意。
0:23:22|0:23:28|数个小时的车程，不觉亚龙湾已经到了，而距离住所仍要走上一段时间。
0:23:28|0:23:36|窄窄的锁链木梯可容不下汽车这样的庞然大物，两人只得拎着箱子步行过去，不多久便来到了住所。
0:23:36|0:23:44|木质楼梯透出原始的干净，[梁笑笑]跟着[秦奋]的步伐快速走下，
0:23:44|0:23:49|甚至都来不及侧望四周的美景。来到住所前，也是同样的木质扶梯，
0:23:49|0:23:58|两人穿过回廊，来到期待已久的住处。服务生将门口处的鞋柜摆好，[秦奋]则是快步走上前，掏出钥匙开门，
0:23:59|0:24:6|[梁笑笑]这才停下来打量着这栋古风古色的房子。
0:24:7|0:24:14|[秦奋]将行李塞进门，探头招呼着门口的[梁笑笑]，进了屋的[梁笑笑]被眼前的布置惊到了。
0:24:14|0:24:26|木质的墙面油光锃亮，几只鸟笼里挂着叫不出名的鸟雀，墙上随处可见的裱装古画。穿过玄关，屋里的布置更是足足的北欧风气：巨大的简约
0:24:26|0:24:33|沙发，各种胡桃木质的桌椅、柜台，拐角的书架塞着满满当当的书籍，
0:24:33|0:24:44|这里的一切不禁让[梁笑笑]对[秦奋]另眼相看。她赞赏地看了眼[秦奋]，随手将挎包放在沙发，握着那盆花朝着窗户走去。她兴冲冲地来到窗前，两
0:24:44|0:24:50|臂撑着朝外张望去，窗外青山傍海，颇有置身事外之感。
0:24:50|0:24:53|[秦奋]绕过沙发来到阳台的浴缸前，
0:24:58|0:25:15|他拧开水龙头，清洗着浴缸，听到动静的[梁笑笑]朝这边走来，[梁笑笑]轻踢了一脚[秦奋]，[秦奋]回过身郑重地说，
0:25:53|0:26:2|[梁笑笑]撑着头，笑眯眯地看着[秦奋]，她说完搂着[秦奋]的胳膊，将头靠在他肩膀上。
0:26:10|0:26:19|说完便起身准备去换衣服，满满当当的行李箱正是[梁笑笑]这次精心准备好的，这时[秦奋]走过来看她。
0:26:29|0:26:35|说着[秦奋]脱了鞋，走到[梁笑笑]旁边坐下，
0:26:42|0:26:56|[梁笑笑]从背后将[秦奋]推出屋子，顺道还关上了门。傍晚，彩霞垂在天边，宽敞的泳池旁，两人泡着脚。
0:27:22|0:27:28|[秦奋]没有立即回答，端着手上的啤酒灌了一口，
0:28:12|0:28:23|下了楼梯，眼前还有楼梯要上，
0:28:43|0:28:57|上楼到一半，[秦奋]又差点摔倒。屋里，[梁笑笑]收拾着床铺，[秦奋]正在收窗户撑杆，他惊叫一声装作受伤，
0:29:23|0:29:35|[梁笑笑]不敢怠慢，赶紧照做，[梁笑笑]双掌按着[秦奋]的腰，[梁笑笑]一脸不爽地瞥了一眼CD并走了过去。
0:29:37|0:29:49|可刚打开，[秦奋]又来了新的要求，[梁笑笑]看在他受伤的份上照做了。
0:30:7|0:30:15|[梁笑笑]是被忽悠的一愣一愣的，她没多想，撩起纱裙骑在[秦奋]身上，
0:30:25|0:30:34|[梁笑笑]感受到一点患难夫妻的滋味。
0:30:44|0:30:49|[梁笑笑]则是骑在他腿上一遍又一遍地推拿着，
0:30:58|0:31:10|见[秦奋]半天没有动静，[梁笑笑]停下了手上的动作，凑前身子看了眼[秦奋]。她来到卫生间洗手，一脸不悦地搓着香皂，她知道自己被忽悠了，
0:31:11|0:31:20|患难夫妻的滋味荡然无存。知道[秦奋]睡着了，自己这才舒舒服服地躺在浴缸里泡着澡。夜幕落下了，
0:31:20|0:31:23|点点灯火照亮的是璀璨人烟。
0:31:23|0:31:35|房间里的老式风扇转个不停，吹的床纱轻轻飘动。[秦奋]衣服都没脱，趴在床上睡得四平八稳，[梁笑笑]躺在旁边看着他。
0:31:35|0:31:41|兴许是趴久了，[秦奋]不自觉地翻了个身，碰巧睁开眼，看到了正瞪着自己的[梁笑笑]。
0:31:41|0:31:55|他反应了一会儿，赶忙抬起头看着[梁笑笑]，面对[梁笑笑]的质问，[秦奋]选择充耳不闻，继续睡觉，甚至还想糊里糊涂地伸手去搂过[梁笑笑]。
0:31:55|0:32:2|[梁笑笑]一把将他掀开，[秦奋]凑近，
0:32:8|0:32:16|[梁笑笑]翻了个身，背对着[秦奋]。[秦奋]把[梁笑笑]往回拽，[梁笑笑]则是死死地掰着床边，两人较上了劲。
0:32:16|0:32:25|[秦奋]突然一松手，[梁笑笑]没刹住，掉下了床。受了气的[梁笑笑]抱着枕头、被子来到客厅，
0:32:36|0:32:46|[秦奋]截住朝屋里走的[梁笑笑]，把她摁到沙发上，自己坐到茶几上。[秦奋]用过来人的口气说道，
0:34:40|0:34:48|留下沙发上的[秦奋]。第二天一早，一个青年拎着折叠轮椅来到屋门口，他一手扶着轮椅，一手按着门铃。
0:34:49|0:34:55|屋里，[梁笑笑]正舒服地趴在床上睡觉，可这烦人的门铃却不想让她舒服。
0:34:56|0:35:5|被打扰清梦的[梁笑笑]皱着眉起身，她光着脚丫朝着门口走去，一袭睡裙的她迷瞪着眼打开了房门。
0:35:6|0:35:15|小哥礼貌地说明来意，[梁笑笑]是压根没想到，更不敢相信。
0:35:18|0:35:30|[梁笑笑]愣了一下，朝着屋里望了一眼，随后她又疑惑地朝着屋里走去。张望了一番，发现沙发上不见[秦奋]的身影，她又往前走了两步，看到椅子上的[秦奋]。
0:35:34|0:35:49|说着，她抬脚踩了一下躺椅，听到这儿，[梁笑笑]一脸不爽，她立刻明白这是[秦奋]在报复自己。
0:36:38|0:36:46|关上门后，[梁笑笑]径直去了卫生间，一大早起来竟在这儿较劲了。[秦奋]听见声音后，
0:36:54|0:37:2|雨天，一艘军舰停在码头，岸上的海军队列整齐划一。[梁笑笑]和[芒果]望着上传的海军，
0:37:3|0:37:16|[芒果]拿过望远镜朝着海军望去，[梁笑笑]嫌弃地瞥了一眼[芒果]。哨声响起，海军即将出发。
0:37:25|0:37:39|音乐奏起，两名海军小跑着上了甲板，甲板上那名海军正挺拔着身姿不舍地望着[芒果]，码头的士兵上前解开绳索。号角声中，码头上的家属挥手告别远去的航船。
0:37:39|0:37:49|[芒果]仍旧不舍地拿着望远镜，盯着那位海军英俊的面庞。船上烟囱引出黑烟，[芒果]看着心爱的人就要远去，忍不住捂着嘴
0:37:49|0:37:57|哭了起来，[梁笑笑]则是一脸宽慰地看着[芒果]。船舰的速度加快，在喜庆的乐声中离开了码头。
0:37:57|0:38:4|结束后，[梁笑笑]开车载着[芒果]，驶向亚龙湾。
0:38:33|0:38:40|亚龙湾住所内，[秦奋]正翘着二郎腿，坐在阳台上吃苹果，面前的小桌上摆满了果皮。
0:38:40|0:38:50|听到脚步声后，[秦奋]急忙换好姿势装出病样。来人正是[芒果]，她双手从背后遮住[秦奋]的眼睛，朝他那光溜溜的脑门亲了一口。
0:39:15|0:39:22|[芒果]自是不信，凑近闻了闻。
0:39:32|0:39:39|说着，[梁笑笑]蹲着，开始收拾桌上的果皮。
0:39:41|0:39:46|[秦奋]更是摆出死猪不怕开水烫的样子，他低着头，眯着眼，假装睡着了。
0:39:51|0:39:56|[秦奋]扭身瞅了一眼出门丢垃圾的[梁笑笑]，
0:41:3|0:41:11|[秦奋]是憋了一肚子的火，他把剥好的芒果递给[芒果]，[芒果]别过头去，
0:41:34|0:41:47|[秦奋]把茶杯递给[芒果]，[芒果]起身去倒茶。轮椅上的[秦奋]拿着[芒果]一顿啃，吃得那叫一个香。
0:42:9|0:42:14|[梁笑笑]说着，把茶杯递给[芒果]。
0:42:52|0:42:57|汽车缓缓停在一家豪华酒店门口，工作人员上前打开车门。
0:43:12|0:43:24|酒店里不菲的装修衬托着豪华的气息，时髦性感的两闺蜜有说有笑地走在前面，跟在后面的便是轮椅上的[秦奋]。他压低帽子，翘着二郎腿，不
0:43:24|0:43:34|开心地坐在轮椅上。走到一处台阶前，工作人员没留意，轮椅竟然被卡住了，[秦奋]差点被甩出去。两闺蜜回头望了一眼，并没搭理。
0:43:34|0:43:45|热带风情的酒店里并没有设置包间，有的只是一个个木质的太阳伞，伞下的小桌上也只容得下三五人吃饭。三人挑了一张小桌坐下，
0:43:45|0:43:49|服务生抱着菜单上前。
0:43:52|0:44:6|[梁笑笑]接过菜单，看着[秦奋]问道[秦奋]是准备将大爷这个身份贯彻到底，
0:44:42|0:44:46|[梁笑笑]对[秦奋]毫不客气，[秦奋]倒也豁达，露出门牙笑了起来。
0:44:46|0:44:52|[梁笑笑]注意到，有个熟悉的身影正朝她挥着手。[秦奋]一惊，回头望去，
0:44:56|0:45:1|对方招呼着，[梁笑笑]便立刻起身，[秦奋]则是不解地望着，心中有点不畅快。
0:45:1|0:45:8|[梁笑笑]刚走下台阶，对方便撑起一把太阳伞，上前为其遮阳，[芒果]拽过[秦奋]。
0:46:19|0:46:29|[秦奋]心中那是醋意大生，差点就冲过去了。看着菜都端上来了，人还没来，[秦奋]转动轮椅。
0:46:30|0:46:34|他转着轮子来到台阶前，工作人员急忙上前，准备搀扶。
0:46:35|0:46:41|[秦奋]眼睛直勾勾地盯着那桌，当即起身绕过工作人员，他大步朝着[梁笑笑]走去。
0:47:4|0:47:13|[秦奋]凑近了望去，瞪着眼睛疑惑地说，[秦奋]是一点印象都没有。
0:47:16|0:47:28|[秦奋]皱着个眉头，有些不满地说着，一旁的[梁笑笑]拍完照，起身离开，
0:47:48|0:48:5|[梁笑笑]压着火说道，服务生解了围，牛肉被放在[秦奋]面前，[秦奋]仍旧一言不发。
0:48:6|0:48:15|看着正在气头上的[梁笑笑]，[秦奋]也不敢触她的霉头，他拿起刀叉打算专心吃牛排。
0:49:5|0:49:9|一旁的[梁笑笑]听不下去了，毕竟自己还挺想去的。
0:49:9|0:49:16|就在这时，电话铃声响了起来，[梁笑笑]拿起电话。
0:49:22|0:49:26|[秦奋]对这些人全无好感。
0:49:26|0:49:39|本该愉快的晚餐只得这般模样结束了，一袭长裙的[梁笑笑]靠在洗手间的洗漱台上，看样子是刚刚哭过。
0:50:20|0:50:24|[秦奋]将[芒果]送上前，工作人员打开车门。
0:50:24|0:50:32|另一边，[梁笑笑]披着外套，双臂交叉抱在胸前，缓缓走来。
0:50:34|0:50:47|[秦奋]抢过钥匙，推着轮椅走向停车场，借这个机会，[梁笑笑]的情绪得到了不少的缓和。闹情绪毕竟只是暂时的，打心眼里，两人都十分认真地对待彼此。
0:50:47|0:50:52|回到家的[梁笑笑]挑出几件连衣裙，举着衣架在镜子面前晃悠。
0:50:58|0:51:10|[秦奋]靠着门框，端着盘子，吃着里面的西瓜。他含糊不清地提出意见，[梁笑笑]望了望身上的衣服默认了。接着她在床头柜的首饰盒里，
0:51:10|0:51:20|精心挑选出一对耳环，[秦奋]打断了她，
0:51:41|0:51:59|[梁笑笑]笑着，将两双不同款式的高跟凉鞋分别穿在左右脚，催促的手机铃声响起，她很快关上。她系好鞋带，看向[秦奋]。[秦奋]指着右脚的鞋，[梁笑笑]却恰恰相反，她当即就把右脚鞋子脱了，换上了和左脚一样的鞋子。
0:51:59|0:52:4|落日余晖洒在山间楼梯上，
0:52:11|0:52:18|[秦奋]仍然摇了摇头，[梁笑笑]转身莞尔一笑，她感受到这个家伙的爱意了。
0:52:18|0:52:30|就这样，[梁笑笑]在前，提着漂亮长裙，[秦奋]在后，戴着墨镜和帽子，两人一前一后走上那座长桥。到了桥中央时，[秦奋]驻足，
0:52:30|0:52:35|[梁笑笑]大大方方地朝着另一头走去。夜晚的选美大赛烟花璀璨，
0:52:41|0:52:45|喧闹的音乐，炫彩的烟花还有热闹的人群。
0:52:45|0:52:50|大屏幕上出现一对巨大的天使翅膀，一下印出5个大字，天使在艾美。
0:52:50|0:52:55|台下摄影师成群，嘉宾林立，彰显晚会的盛大。
0:53:42|0:53:55|[主持人]率先退场，随着现场音乐的响起，观众的情绪立刻被调动了起来。左边登场的佳丽穿着大胆，整体的造型由丝带系成蝴蝶结，只是裹住身上重要的部分。
0:53:56|0:54:7|很快，V字舞台站满了燕瘦环肥的佳丽们。而另一边，[秦奋]一个猛子扎进了泳池中，夜里的泳池在山顶闪烁着光芒。不久，[秦奋]回到卧室，
0:54:7|0:54:14|看着电视直播的选美大赛。
0:54:50|0:55:0|现场，佳丽们换上了新的服饰，再一次走上舞台。台下的[梁笑笑]电话响起，她看到是[秦奋]打来的，以为有什么急事儿。
0:55:10|0:55:18|也许她抱着的想法是[秦奋]也赶来现场陪她，然而[秦奋]没多久便驱车赶来。汽车停在酒店门口，
0:55:18|0:55:36|[秦奋]进门拨着电话，找到一个服务生上前打听，泳池边，姑娘们穿着大胆，
0:55:36|0:55:47|他们端着香槟，在泳池周围扭动着身姿。性感的模特畅游在泳池里，酒吧里则是挂满氢气球，聚光灯下狂热的人们奇怪的
0:55:47|0:55:56|举止更显得光怪陆离。[秦奋]四处转着，打量着，却仍然没有看到[梁笑笑]的身影。突然，不知从哪窜出来的王建国
0:55:56|0:56:4|从背后狠狠捏了一把[秦奋]的屁股。喝醉的他端着酒杯劝[秦奋]也来一点，而某个卫生间内，
0:56:5|0:56:13|[梁笑笑]正趴在水池前呕吐，一旁照顾她的正是那位主持人。这时，碰巧[秦奋]开门进来，
0:56:14|0:56:15|他关上门走进质问道，
0:56:24|0:56:28|[梁笑笑]一句话没说利索，又开始吐了。
0:56:41|0:56:56|主持人说着走出卫生间，[秦奋]上前轻拍着[梁笑笑]的背。主持人返回来还包，不忘劝了一句。[梁笑笑]这会才缓过来，她靠着墙坐在地上。
0:57:2|0:57:10|[秦奋]纹丝不动地站在她面前，看着自己心爱的女孩这般模样，他心疼大过生气。他蹲在[梁笑笑]旁边，
0:57:11|0:57:17|说着，他伸手为[梁笑笑]整理头发，[梁笑笑]喘着粗气。
0:57:17|0:57:26|[秦奋]温柔地整理着她的头发，[梁笑笑]拍开[秦奋]的手，
0:57:30|0:57:41|[梁笑笑]痛苦地将头埋在膝盖里，她调整状态说道，[秦奋]依然单膝跪地，不为所动。
0:57:49|0:57:59|[梁笑笑]无奈地拿起酒杯，她再一次冲进人群中，继续这场狂欢。
0:57:59|0:58:6|摇摇晃晃的她接二连三的和路人撞到了一块，蹒跚的步伐却能依旧找到喝酒的地方。
0:58:6|0:58:12|她把杯子递给调酒师续了一杯，又钻进人群。她披散着头发，仰头灌下。
0:58:14|0:58:23|最后跟来的[秦奋]上前抢过她手里的酒杯，[秦奋]单手拽着她的胳膊，而[梁笑笑]甩下凉鞋，丢进泳池。
0:58:24|0:58:30|[秦奋]刚准备捞鞋子，[梁笑笑]却再一次钻进了人群。[秦奋]只能先将泳池的鞋捞起来。
0:58:30|0:58:35|这双鞋是[梁笑笑]出门前偏要选的，一定是她最喜欢的一双。
0:58:36|0:58:43|庆功晚会不知何时已经结束了，可[梁笑笑]却不见了人影。[秦奋]来到沙滩，
0:58:44|0:58:50|他心急如焚地朝着大海大喊着，夜色下清凉的海水漫过了[秦奋]的凉鞋，
0:58:56|0:59:6|[秦奋]循声望去，他眼神搜索了一番后，终于在不远处的沙滩发现了光着脚的[梁笑笑]，他立刻朝着那边快步走去。
0:59:7|0:59:18|走近了，[秦奋]才看清[梁笑笑]坐在地上，抱着膝盖，凌乱的头发遮住了她的面容。[秦奋]仍不敢确定，直到凑近了俯下身看了看。
0:59:18|0:59:26|天渐渐凉了，可惜是个阴天，同样阴沉的海面上，一个人影朝着这边漂近。
0:59:26|0:59:30|原来是[梁笑笑]，她随着浪潮向着沙滩漂过来。
0:59:31|0:59:43|沙滩上只有[秦奋]，一人孤单的身影稍显落寞，临近岸边，[梁笑笑]朝着[秦奋]走来，浑身湿透的衣服和乱糟糟的头发贴在身上。
0:59:43|0:59:52|她光着脚，踩着沙滩，一步一步地走向[秦奋]，所有的情绪和闹腾的心思在这个时候彻底清空了。
0:59:52|0:59:57|她坐在[秦奋]对面，两人沉默了一会儿，[梁笑笑]先开了口，
1:1:12|1:1:16|[梁笑笑]凝望着[秦奋]，
1:1:20|1:1:36|眼神中有说不上来的滋味，她头发上的海水顺着发梢滴滴落下。[秦奋]撑着身子缓缓站起，她没有搭理[梁笑笑]，也没有帮她拎鞋就这么走了。
1:1:39|1:1:46|末了留下这么一句话，也留下孤零零的[梁笑笑]坐在沙滩上。屋里，[梁笑笑]醒了。
1:1:46|1:1:50|还是那套衣服和散乱的头发。她从沙发上爬起，
1:1:50|1:1:58|她赤着脚在地板上没走两步，就觉得脚下生疼。她扶着墙，撑着身子，抬起脚，仔细一看，
1:1:59|1:2:7|脚掌上全是被刺开的口子，用手一碰疼得扎心，她只好点着脚先去洗澡。
1:2:7|1:2:18|刚冲过卧室就看到阳光洒在阳台上，[秦奋]正坐在马扎上，拿着吹风机给自己吹鞋子。她看到这一幕，有些愣住了。
1:2:18|1:2:25|[秦奋]没有发现起床的[梁笑笑]，仍旧自顾自地认真吹着凉鞋，[梁笑笑]看到这一幕，有些愧疚。
1:2:28|1:2:35|她点着脚来到浴室，一边刷着牙一边冲着澡，海水可没泳池里干净，否则也不会有划破脚这回事儿。
1:2:36|1:2:43|她拎着头发，解开衣服，连衣裙滑到脚底，她用脚一挑，刚好扔到马桶盖上。
1:2:43|1:2:53|夏季，这片山头很快就乌云密布，轰隆隆的雷声说来就来。
1:2:53|1:3:1|[梁笑笑]换上了舒适的睡裙，一瘸一拐地穿过卧室，他看到客厅里，[秦奋]舒服地躺在沙发上。
1:3:1|1:3:8|她自己摇摇晃晃地走上前，站在[秦奋]身边，[秦奋]什么也没有说，只是冷冷地看着她。
1:3:8|1:3:17|[梁笑笑]索性折好睡裙，坐在茶几上。她看着[秦奋]，[秦奋]也斜眼看着她，两个人就这样僵持了一会儿。
1:3:19|1:3:34|[梁笑笑]抬脚搭在[秦奋]身上，[秦奋]心疼地握着受伤的脚丫，说着，[梁笑笑]放下脚，盯着[秦奋]。聊天的气氛再一次陷入冰点。
1:3:34|1:3:43|窗外适时地下起了雨，[秦奋]无动于衷的样子，[梁笑笑]终于忍不了了。她拽起沙发上的靠垫丢到一旁，
1:3:43|1:3:52|[秦奋]往里挪了挪，[梁笑笑]就侧躺到[秦奋]旁边。她拉起[秦奋]的手，环着自己的脖子，这是两人第一次如此亲密的行为。
1:3:52|1:4:0|[梁笑笑]双手搂着[秦奋]的胳膊，她对自己的行径心知肚明，她感受到伤害这个男人后的内疚。
