0:0:26|0:0:31|成家共有十三口人，这天是一年一度的新年。
0:12:38|0:12:44|[大哥]点燃棉球，迅速将罐拔于背上，很快便形成了一个又一个大小不一的坑。
0:12:52|0:12:56|说着还不忘敲敲火罐，检查一下。
0:12:57|0:13:8|[大嫂]这番无奈的回答，使[大哥]脸上浮现出了更加内疚的表情，毕竟是自己的离开，家里的重担才会全部压在[大嫂]一个人身上。
0:13:8|0:13:16|或许是夫妻间的默契，[大嫂]感受到了他的自责，他微微侧过头去，示意[大哥]一切都会好的。
0:13:17|0:13:24|随后，[大哥]给[大嫂]披上毯子，两人深情地互相依微，目光之中满是心疼与忧伤。
0:13:24|0:13:29|[大哥]额头上的皱纹都紧压成一条条线，此时窗外年味正浓。
0:13:29|0:13:35|[大哥]招呼[大嫂]一同出去瞅瞅，于是[大嫂]半推半就地走到街上。
0:13:35|0:13:39|随处可见，都是孩子们拿着烟花快乐玩耍的场景。
0:14:9|0:14:11|路上遇到卖烟花的小伙。
0:14:43|0:14:49|周围的空地上，围了一群志气未脱的孩子，都在等着中间这个大烟花压轴出场。
0:14:49|0:14:55|[父亲]站在人群的中心，烟花燃起，此刻他是最引人注目的。
0:14:55|0:14:58|刚点燃烟花，孩子们都激动地跳了起来。
0:15:4|0:15:11|随着烟花燃尽，孩子们的欢呼雀跃声逐渐消散，时间一下子到了次日清晨。
0:15:11|0:15:24|初生的黎明曙光将这座小城拉得忽远忽近，天空的模样不再那么清晰，还有薄雾笼罩在姿态百变的树干上，雾间、山林与楼房之间的缝隙只透露出淡淡的阳光。
0:15:25|0:15:39|丝毫没有过年那种气势如虹，互互咽火的热闹，室外已经接上了厚厚的冰，已经能够当成天然的冰箱使用，在[程家]的大门口，晾晒得整整齐齐的腊肉十分显眼。
0:15:39|0:15:48|屋内，[母亲]正忙活着包饺子，擀饺子皮处理食材，调和肉馅，这复杂的操作和程序都需要时间的沉淀和累积。
0:15:48|0:16:0|擀好的饺子皮薄如蝉翼，将肉馅轻轻包进去，在饺子皮粘合的边缘用手指沾点水，小心地捏合力度要适中，才会形成漂亮的圆饱状。
0:16:0|0:16:5|此时[父亲]正叼着烟，看着[母亲]忙前忙后，不懈地说。
0:16:16|0:16:20|程大叔吐了口烟，熟络了一番自己的儿女们。
0:16:54|0:17:3|对，那你要是把我给计划了，家门口的山坡上迎来了第一个回家的身影。
0:17:3|0:17:7|先回家的是二儿子[程远]和新女朋友[田歌]。
0:17:7|0:17:12|[程远]考上了北京的研究生，这次他带了女朋友回家过年。
0:17:12|0:17:20|宽阔的十里长街，[田歌]和[程远]坐在马车后面，距离山坡不远处，是[程家]最近才新干的别墅。
0:17:20|0:17:23|[程远]用手指着家的方向，对[田歌]沾沾自喜地说。
0:17:36|0:17:44|[田歌]的打扮很是时髦，头戴貂皮帽子，手里揣着一款最新款的相机，正对着不远处的别墅拍照。
0:17:44|0:17:50|[田歌]洋溢着笑容和期待，[程远]看到重新装修过的家，明显比之前更显气派。
0:17:50|0:18:1|他迫不及待地想要带女友参观自己的新家，连忙催促车夫，马儿越跑越来劲，跌跌撞撞中，不一会儿，马车就来到了新别墅的门口。
0:18:9|0:18:13|此时的屋内，相对无言的二老听到了[程远]的声音。
0:18:16|0:18:21|寻声望去，嘴上说着都别回来的[程大叔]，此刻的心里比谁都激动。
0:18:21|0:18:25|[程大娘]围裙一姐，马上起身去迎接第一个回家的儿子。
0:18:45|0:18:54|[程大叔]将头别向一边，满脸抗拒，抿着嘴，还有点不好意思，[天歌]给他们拍了张合影，随后理了理帽子，给二老拜年。
0:19:24|0:19:29|[程大娘]穿着[田哥]进屋，[程院]开始进行心理交涉。
0:20:2|0:20:3|两人走过楼道。
0:20:28|0:20:32|[程大娘]平平是好，[田哥]反倒一直打量[程允]的家。
0:20:55|0:20:57|[程远]将母亲拉到一边，偷偷地问道。
0:21:55|0:21:59|[程元]此时将门一关，为了防止父亲听到二人对话。
0:22:25|0:22:40|[程大娘]回了房间，[程远]如释正腹，她知道这准是要给[程大叔]做思想功课去了，她一个转身将[田哥]紧紧地拥入怀中。
0:22:40|0:22:49|[程大娘]点起一根烟斗，又被[程大叔]吹灭，门外是小情侣的欢声笑语，门内是[程老夫妻]愁如满面。
0:22:49|0:22:53|就在这时，[田哥]提着一个床垫，面带微笑地走进了房间。
0:23:16|0:23:18|[田哥]帮着[成远]将床垫铺好。
0:23:37|0:23:41|说着[程远]便将他扶到床上，催促他。
0:23:41|0:23:44|[程大叔]斜一拖，脚一蹬，小心翼翼地躺了上去。
0:23:48|0:23:58|[苏苏麻麻]的感觉深入[程大叔]的骨髓，他探出头来，仔细观察这个床垫，这种奇妙的感觉令他上头，他和[成远]一起憨笑了起来。
0:24:55|0:25:2|[成远]把档位调大，[成大娘]没来得及反应，差点摔下床，随后[成大娘]便拿出零食招待[田哥]。
0:25:23|0:25:29|说到这儿，[丑大叔]吸了口烟，烟雾从鼻子里跑了出来，开始盘问起这对小情侣。
0:25:48|0:25:51|[程大叔]随即表现出了疑惑和不解。
0:25:52|0:25:58|听到这话，[田哥]略显尴尬，随后将目光移向[程远]，说起自己的家庭。
0:26:25|0:26:25|这话一说，
0:26:25|0:26:39|气氛瞬间降到冰点，[大嫂]不敢说话，明明嘴望向[大哥]，[成远]脸上写满了紧张和期待，而[大哥]只能故作轻松地弹了弹烟灰，大家都在等着他开口。
0:26:39|0:26:44|只见他起身把烟一灭，离开炕头时，还不忘踢[成远]一脚。
0:26:44|0:26:52|[成远]大抵也是明白了父亲的意思，抬起头，试探性地又问了一句，[大哥]不耐烦地回答，干啥？
0:27:4|0:27:7|随后毫不留情地关上了门。
0:27:7|0:27:11|彼时，[大姐]成荣一家也正准备收拾出发。
0:27:11|0:27:21|[大姐夫]丁途是一个中年的光头男子，成荣正拿起一顶假发给丁途戴上，只见镜中妻子的神情飘忽，丁途训斥道。
0:27:21|0:27:33|成荣欲言又止，只是继续梳头，丁途瞥了一眼，成荣没有回答，随即费力地苦笑一番，这下惹得丁途更不耐烦。
0:27:40|0:27:44|随后，成荣和丁途去父亲家的路上，被堵得水泄不通。
0:27:44|0:27:53|原来是遇到了民间自发的锣鼓队，一群人穿上各式各样的古装，摇扇子，提灯笼，挑担子，甩手架。
0:27:53|0:28:0|整条街道上挤满了人，都是老百姓围在一旁驻足观看，毕竟这是一年中少有的热闹场面。
0:28:0|0:28:6|锣鼓喧天，鞭炮齐鸣，[父亲][母亲]们在歌在舞，还有一群踩高跷的演员。
0:28:6|0:28:11|高跷演员个个举着扇子，踩上高跷之后在街上扮相领舞。
0:28:11|0:28:27|不远处，程家[大哥]程志也被吸引过来，同时还有他的儿子[小儿子]闹闹。
0:28:27|0:28:28|程[大哥]碰巧外出。
0:28:45|0:28:53|他看到了闹闹，并朝他挥了挥手。
0:28:53|0:29:0|在高跷队伍中，要找到对方可真难，面对两三米高的巨人们，程[大哥]还要穿过他们去找闹闹。
0:29:0|0:29:11|程[大哥]只能从高跷底下穿过，那是一堆细长的木棍，他甚至还跟着欢乐的音乐跳了起来，丝毫不觉得危险，活脱脱一副老顽童的样子。
0:29:11|0:29:17|穿过人群，总算和闹闹会合了，爱孙心切的程[大哥]还不忘给闹闹买礼物。
0:29:22|0:29:24|娜娜却凑到他的耳边。
0:29:30|0:29:32|诚挚开口了。
0:29:41|0:29:47|扭头一看，队伍的后面是程志的老婆[王梅]，一个身材魁梧，面目凶狠的女人。
0:29:47|0:29:51|程大叔一下没了兴致，背起孙子，穿过高桥回家去了。
0:29:51|0:29:55|娜娜坐在程大叔的肩头，随着高桥队伍的节奏跳起舞来。
0:29:55|0:29:59|爷孙俩一抬头，就能看到高桥演员脸上涂的油彩。
0:30:0|0:30:4|随后他们马上融入到队伍中，一起摇摆起来。
0:30:4|0:30:9|刚刚还说妈妈不让去爷爷家的孩子，现在就把这话抛之脑后了。
0:30:9|0:30:14|程大叔勾合纵横的脸上终于有了笑容，不远处，站着程远和[程大娘]。
0:30:15|0:30:22|程大叔正和演员互动，闹闹圆润白净的脸上，清澈明亮的眼睛透出对事物的好奇。
0:30:22|0:30:31|爷孙俩很快就被高桥队伍包围，[程大娘]在一旁看得起劲，揣着双手，一扫儿女过年失约的不快。
0:30:31|0:30:36|田哥也来加入他们，随手举起相机就是一顿操作，还抄起扇子一起互动。
0:30:50|0:30:54|成[大娘]捂着嘴，笑得不亦乐乎。
0:30:54|0:30:58|而此时，凶神恶煞的王梅，正打算拦截去家访的成智。
0:30:58|0:31:5|尾随了一路，他终于叫住[成智]。
0:31:18|0:31:23|诚挚和[王梅]骑着自行车往回走。
0:31:23|0:31:25|此时，[闹闹]正学着自行车。
0:31:44|0:31:52|[程大娘]委屈巴巴地抱怨，也只能打碎了牙往肚子里咽，因为此时[王梅]正向他们靠近。
0:32:10|0:32:22|只见[程大娘]在风中凌乱，[程大叔]早已不见了人影，身后的[王梅]正死死盯着他们，脸上却露出一副轻蔑又生气的表情，紧接着把[程志]手一甩。
0:32:27|0:32:33|说完并静止往前走去，[程志]只能畏畏缩缩地跟着他，再去找公婆的路上。
0:32:33|0:32:39|[王梅]一路拽着[程志]，一边又亲亲我我，实在让人摸不着头脑。
0:32:39|0:32:43|他来到[二老]身后，不情不愿地开口道。
0:32:57|0:32:59|娜娜却以为是[王梅]要带她回家。
0:33:29|0:33:32|话音刚落，[父亲]便头也不回地转车回家。
0:33:32|0:33:35|紧接着，[大哥]一家随后赶到。
0:33:35|0:33:42|在车上，[大嫂]忧心忡忡地不知想着何事，丈夫[大哥]开口道。
0:33:42|0:33:46|半路上，他们遇到了[二哥]和[二哥友]，[大哥]马上招呼司机停车。
0:33:49|0:33:52|下了车，四人相互热情地打招呼。
0:34:51|0:34:58|话说到头了，[大哥]却久久不把[二哥]的手放开，在[二哥友]的催促之下才上了车，扬长而去。
0:35:7|0:35:21|边走还不忘边挥手，汽车喧嚣过后，[大哥]家[小儿子]程咏的电影才刚刚结束，工作人员正催促着最后一位没散场的观众离场。
0:35:21|0:35:26|那就是[小儿子]程咏和他的女朋友[小儿子女友]。
0:35:35|0:35:40|从电影院一出来，[小儿子女友]睡眼惺忪，还处于半梦半醒的状态。
0:35:40|0:35:43|程咏一边拉上衣服拉链，一边掺住[小凤]。
0:35:43|0:35:54|[小凤]深深地打了个哈欠，慵懒地靠住程咏。
0:35:54|0:35:56|程咏领了帽子，两人便上了车。
0:35:56|0:36:1|而在程家门口，有两个女人对着雪堆刨雪，那是东北特有的天然冰箱。
0:36:4|0:36:14|程大娘边说边拍了拍裤腿，[王美]想帮着扶她一下，要继续谄媚地说起来。
0:37:34|0:37:43|[母亲]的一番话，瞅中了成荣的心扉，面色开始变得委屈。
0:37:43|0:37:55|进了屋，[母亲]带他回到房间坐定，打算好好盘问一番。
0:37:55|0:38:1|成大娘将酒一收，却意外发现成荣的手格外发凉，这或许是身体气虚的表现。
0:38:27|0:38:33|[王梅]仿佛知道丁徒的底细，丁徒慌乱，[王梅]的神情更加眉飞色舞起来。
0:38:42|0:38:49|[程大娘]正在邀请[成荣]感受按摩店，她示意[成荣]靠近自己，[成荣]笑了笑委婉拒绝。
0:38:49|0:38:53|怎料此时隔壁厨房的对话却传到了自己的耳朵里。
0:40:0|0:40:17|丁徒趁他不注意，向[成荣]比手势，示意他别乱说话。
0:40:17|0:40:23|听到这话的[王梅]心生妒忌，朝丈夫[程志]撒火去了，她一把抢过[程志]手中的书。
0:40:30|0:40:33|另一边，[程大叔]和[闹闹]正在滑雪，玩得不亦乐乎。
0:40:50|0:40:54|爷孙俩在雪地上一掌步起，享受天地间的自由快感。
0:40:54|0:41:2|此时，[程咏]和[小凤]在车上昏昏欲睡，借车停在了[程家]门口，碰巧遇到了[程大叔]带着[闹闹]回家。
0:42:44|0:42:49|[小儿子]程咏不听劝，[程大娘]只好趴在窗口往里偷喵。
0:42:49|0:42:58|[程大娘]拗不过[小儿子]，自己气到跺脚又无可奈何，在门外捶后背又活动筋骨，或许是老毛病诱犯了。
0:42:58|0:43:1|准备离开时，还不忘在网里偷偷喵一眼。
0:43:1|0:43:4|不一会儿，闹闹和[父亲]也回到了家。
0:44:49|0:44:54|程咏起身，慢吞吞地开了门，[父亲]劈头盖脸地就是一顿骂。
0:45:24|0:45:34|说着，程咏卷起衣服和被子就往外走，一脸不服气的样子，还不忘叮嘱一声小凤。
0:45:34|0:45:40|看程咏离开房间，[父亲]才放心地往外走，此时回到客厅，[母亲]转转兢兢地拉住了他。
0:45:45|0:45:53|两人进去之后，王梅鬼鬼祟祟地往房门探了一下，随即拉着大儿子[大哥]程远在身后窃窃私语。
0:45:55|0:45:58|[母亲]将门一关，小心地说道。
0:46:19|0:46:26|[母亲]看着[父亲]一言不发的样子，慢慢坐在他身边，许是知道踩到雷区了。
0:46:26|0:46:33|两人都沉默了许久，[母亲]便从袖子里慢慢抽出一包烟，取出一根，畏畏缩缩地递给他。
0:46:33|0:46:36|怎料[父亲]面对[母亲]的示好，
0:46:39|0:46:43|成[大哥]丧气地垂下头，这气氛让成[大嫂]不寒而栗。
0:46:43|0:46:46|她拿出火柴和打火，自顾自地说道。
0:46:52|0:47:0|说吧，程[大哥]终于抬头看了一眼程[大嫂]，眉心中间拧成一个川字，可程[大嫂]还是不紧不慢地替他点着烟。
0:47:0|0:47:9|程[大哥]接过烟，低垂的眼眸像是在隐藏什么，嘴巴微微激起，有些不知所措，他猛地吸了一口香烟，缓缓吐出几个字。
0:47:17|0:47:20|丁途轻轻合上门，问道。
0:47:52|0:47:54|他真的是个技术能手。
0:49:4|0:49:9|程[大嫂]放下手里的菜就走，程[大哥]倒了一杯酒，丁徒继续说。
0:49:11|0:49:13|丁徒边说边比划。
0:49:28|0:49:32|程[大嫂]闻声又做了回来，三人像在听丁徒讲故事。
0:49:44|0:49:52|画面一转，便是他们口中的钱大川和二女儿[程平]准备回娘家。
0:50:16|0:50:35|工程队的队员们执意要给钱大川夫妇纵行，拗不过大伙，[程平]只好上车，脚一跨，众人都一起默契地戴上头盔，启动摩托车，一溜烟的全部都跑没力影，一阵喧嚣过后回到程家，此时王美正边聚木头边和丁屠八卦着。
0:50:40|0:50:43|丁途继续帮他扶着木头。
0:51:8|0:51:12|王梅将锯好的木头一把炮起，冰土给他让道。
0:51:14|0:51:19|与此同时，二女儿[程平]和钱大川的摩托车队也姗姗来迟。
0:51:19|0:51:24|他们一行人行驶在宽阔的马路上，又开到积雪覆盖的山坡上。
0:51:24|0:51:28|摩托车估计有五六十辆，浩浩荡荡的排气声响遍整个村庄。
0:51:29|0:51:34|忽然，钱大川的摩托在不远处的平地上停了下来。
0:51:34|0:51:38|车停稳之后，他顺势将火熄灭，老板娘[程平]也下了车。
0:51:38|0:51:41|钱大川转过身，抬手摘下头盔，开口说道。
0:52:22|0:52:26|程志敷衍地笑了一声，继续翻着手里的书。
0:52:26|0:52:30|程[母亲]瞪大双眼，继续在程志的头发里摸索。
0:52:30|0:52:33|[母亲]的神情和语气满满都是心疼。
0:52:33|0:52:34|她问道。
0:52:43|0:52:46|程志却完全没有理会程[母亲]的关心。
0:52:46|0:52:47|程[母亲]又问。
0:53:24|0:53:27|另一边，强势的王美拉着成荣聊天。
0:53:55|0:54:5|说着，王梅便丢下手里的抹布，坐到成荣身边，竟发现成荣脸上有两道疤痕，她震惊地撩起头发一看。
0:54:5|0:54:12|成荣连忙推开她。
0:54:12|0:54:16|成荣心虚了，瞄了她一眼，王梅又自说自话。
0:54:20|0:54:25|就在这时，[程远]和[田哥]回来了，和[王美]打了个照面。
0:54:55|0:55:1|此时[程家]门口，[钱大川]摸了摸[程平]的头，示意他不要再僵持下去。
0:55:10|0:55:12|忽然，[承平]呆住了。
0:55:12|0:55:19|原来是[程远]带着[程大娘]缓缓走出门口，看到了自己的二女儿，[程大娘]这下再也憋不住了。
0:55:19|0:55:22|她抿了抿嘴，有些失神，走路不稳。
0:55:22|0:55:25|隔着几米远的距离，[承平]脸上流下泪水。
0:55:36|0:55:44|[程大娘]紧紧抱住女儿，由于过于激动，只能夹杂着哭腔吐出三个字。
0:55:44|0:55:52|[钱大川]尴尬地站在一边，看着这对母女终于团聚，平时五大三粗的汉子，此时却一句话也不敢讲。
0:55:52|0:55:54|[程大娘]捧起[程平]的脸，她却望向[大川]。
0:56:14|0:56:28|[程荣]和其他人都闻声赶来。
0:56:33|0:56:40|成大娘默不作声，[成平]抬眼望了一下[钱大川]，[成大叔]准是还在赌气呢。
0:56:40|0:56:44|这时，[大哥]成智走向前，先打破尴尬。
0:57:8|0:57:16|[成平]说着往屋里走去。
0:57:16|0:57:22|[成大叔]听闹后头也不抬，闹闹从没见过爷爷这么冷漠，只好弱弱地说了一句。
0:57:24|0:57:42|就在这时，[承平]走到了房门口，[大哥]和[大姐]紧随其后，见[父亲]毫无反应，他拢了拢衣角，紧紧盯着[承大叔]，试探性地喊了一声。
0:57:42|0:57:48|说着，[承平]便走进屋内，[王梅]和[丁徒]都跟了过来，闹闹盯着[二姐]，一副未安事事的样子。
0:57:51|0:58:1|[成大叔]依旧沉默不语，众人都处在门外等他开口，他脸上的沟壑愈发的清晰了，[姐姐]成荣伏在门檐看不下去了。
0:58:8|0:58:10|这时，[程大娘]来找老伴。
0:58:10|0:58:13|她走进房间，回头看了眼自己的儿女。
0:58:13|0:58:18|[程大叔]固执，好面子的性格，[程大娘]是最清楚的。
0:58:18|0:58:23|担心女儿被伤自尊，于是[母亲]程大娘替女儿先开口。
0:58:40|0:58:50|成平的语气中夹杂着哀求与无奈。
0:58:50|0:58:52|这时，[母亲]程大娘也替他说话。
0:59:3|0:59:4|面对儿女的劝说。
0:59:4|0:59:8|[父亲]程大叔全程无动于衷，甚至连姿势都没变。
0:59:8|0:59:12|这时，[小儿子]程勇醒来了，连忙跑到另一个房间把小凤摇醒。
0:59:19|0:59:28|小凤这才迷迷糊糊地慢慢起身，从被子里探出头来，随后丁途走到房间，手里不知又掏出些什么，要给小凤。
0:59:28|0:59:32|她趁小凤梳头时鬼鬼祟祟地进来，从西装口袋里掏出两个圆盒。
0:59:36|0:59:43|小凤一把甩开，急匆匆地往外跑，兵徒便偷偷将两个圆盒放在桌上。
0:59:43|0:59:49|屋内，天真的闹闹还不知道发生了什么事情，于是悄悄地在[母亲]程大娘耳边说道。
0:59:51|0:59:58|程[大娘]抬头一看，程[大叔]滑落的几滴泪水，与干燥皮肤形成了明显分界。
0:59:58|1:0:3|程[大叔]开口，程平的语气中夹杂着震惊。
1:0:3|1:0:11|其他几位家人都开心极了，程远第一个跑出去通知钱[大川]，在外面驻足许久的钱[大川]都被冻坏了。
1:0:12|1:0:16|成远着急地朝[大川]跑去。
1:0:16|1:0:19|[大川]将帽子一丢，赶忙牵着摩托车进成家。
1:0:19|1:0:24|他等这一刻等得太久了，笨重的摩托车此刻显得轻巧无比。
1:0:24|1:0:29|成远帮着[大川]拿东西，[大川]将车一停便走进成家。
1:0:41|1:0:44|成[大叔]闻声走出房间。
1:0:44|1:0:48|本来没有多长的路，成[大叔]的脚步却越发沉重。
1:0:48|1:0:52|他停在原地愣了一会儿，紧接着走到众人中间。
1:0:57|1:1:4|话音刚落，房顶上突然响起兴高采烈的鞭炮声，原来是[程咏]和[小凤]点的。
1:1:4|1:1:15|[程大叔]的心结总算解开，一家人便在象棋前拍起全家福，欢声笑语过后，众人抢起喜堂来，大伙一拥而上。
1:1:15|1:1:21|[程平]和[大川]随后拿出提前准备的一件大衣，要送给[程大娘]，她抱着大衣有点不好意思。
1:1:41|1:1:45|大家都夸赞[程大娘]穿上好看，随后[大川]又拿出两瓶酒。
