0:3:2|0:3:9|于是，他拿起垂在耳边的对讲机迅速作出指示。五辆车兵分三路，寻找骊靬古城。
0:11:24|0:11:28|[冷月]眉头一紧，左手的弯刀脱腕而出，直插[霍安]脚边。
0:11:29|0:11:40|没等[霍安]弯腰拔起，[冷月]便以迅雷不及掩耳之势逼近，将其直直顶飞。接着俯身抽回弯刀，一个蝎子摆尾直挂[霍安]面门。
0:11:40|0:11:46|不料却被他护住脚踝。于是[冷月]干脆拧身，双手撑于沙地，
0:11:46|0:11:52|另一只腿用力划过，鞋底的弯钩瞬间割破[霍安]的小臂，顺势挣脱了束缚。
0:11:52|0:12:6|迫于无奈[霍安]不再闪躲，将[冷月]刺来的弯刀夹在腋下，又顺势将她禁于身前，不料此时意外横生，[冷月]甩头挣扎时，竟被[霍安]无意揪下面纱。
0:12:6|0:12:10|在场众人见此情景瞬间噤声。
0:12:14|0:12:22|铁邪单于尴尬地撇过头，[红日]更是瞪大双眼怒瞪[霍安]，而[霍安]则低头望着手里的面纱不知所措。
0:12:22|0:12:32|回城路上，[霍安]只能面对一众兄弟的取笑。
0:12:43|0:12:56|匈安国宫殿内，[霍安]迎着[冷月]大胆的目光接过酒杯，不待[霍安]仰头喝完，[冷月]竟当着他的面脱得一干二净，吓得他当场喷出嘴里的酒。
0:13:14|0:13:22|坐在马上的[霍安]笑闹着拍向属下[山豹]的胸口，紧接着夹紧马鞍，驾着战马直直向家的方向奔去。
0:13:22|0:13:26|终于，在夕阳下落之前，一行人裹着风沙回到了小镇当中。
0:14:9|0:14:16|提着木质饭盒推门进来的[霍安]，一抬头就看到[秀清]写下的歌词，便忍不住地唱道。
0:14:46|0:14:56|此时，[霍安]站在书桌前一边口述，一边让[秀清]记下，要上表给太尉的奏章。
0:15:0|0:15:16|[霍安]尴尬地紧了紧交落于胸前的双手，接着走到一旁，倒下一碗酒，大口饮下。[秀清]随即抚其肩说。
0:15:32|0:15:39|低头看向斩钉截铁的[秀清]，[霍安]刚举起双臂准备将其搂入怀中，突然就听到敲门声响。
0:15:39|0:15:44|打开门后，只见头发梳于脑后的[殷破]，一脸凝重。
0:15:53|0:15:59|而在那厚重的装满金币的箱子四周，横列着多具惨死的尸体。
0:16:8|0:16:14|闻此，[霍安]瞪大双眼，待穿好外袍，拿起利剑之后，便夺门而出。
0:16:15|0:16:26|望着都护府外手持刀剑的士兵，他迅速步入大堂，被铐上手脚的[霍安]部下，着急地大喊。
0:16:37|0:16:45|都尉轻蔑的态度，立刻引得[殷破]拔剑而对。
0:16:45|0:16:50|[霍安]按住他的小臂，沉下声说。
0:17:1|0:17:11|都尉亮出太守令牌，寥寥几句便宣布了[霍安]及其众部下的未来。
0:17:11|0:17:17|天未亮，一行人就被押上囚车，向雁门关的方向行进。
0:17:17|0:17:25|直至黄昏，那囚车竟还游走在荒山大漠之中。
0:18:18|0:18:29|[霍安]安抚过一众兄弟的情绪之后，坐在囚车中坚定地保证。不暮之时，囚车行至于一座虽层高十层，却十分残破的城墙面前。
0:18:31|0:18:39|透过囚车的缝隙，隐约能看到部分奴役，正利用沙土木石修补箭楼。
0:18:42|0:18:50|[霍安]一行人，跟随同遭充军的队伍，卸下手铐与脚镣之后，挪着步子缓缓走入城门。
0:18:50|0:18:56|放眼望去，各族犯人正拉扯着麻绳，有条不紊地搬运土石。
0:18:57|0:19:3|在唯一一处完好无损的尖顶门洞前，[霍安]一行人止住了脚步。
0:19:4|0:19:11|原来是霍去病的盔甲与灵位正端坐于石台之上，俯视前方。
0:19:16|0:19:22|望着面前陈旧的盔甲与灵位，[霍安]想起了与将军首次见面的情景。
0:19:24|0:19:32|彼时，霍去病带兵驰骋边关，恼怒的龟兹人连连败退之后，竟然绑架了汉人的小孩。
0:19:32|0:19:38|待两军相遇之后，又将囚车打开，当着他的面享受追杀汉人的快感。
0:19:40|0:19:43|战事虽结，但[霍去病]望着老弱病小的尸体留下了眼泪。
0:19:50|0:19:57|此时，失去妹妹的[霍安]趁[霍去病]不备，夺其腰间的短刃，便一刀刺入[霍去病]的腰侧。
0:19:58|0:20:6|大喝属下后退，[霍去病]单膝跪于[霍安]面前，一手捂住腰腹，一手放在[霍安]的肩上，喃喃说道。
0:20:18|0:20:23|而后，[霍安]便以帮助他人为己任，力争维护边关的和平。
0:20:24|0:20:31|望着恩人的灵位，一众兄弟跟随[霍安]，单手扶在胸前，虔诚的鞠躬。
0:20:37|0:20:40|另一边，乌孙人站在高处，利用轮滑装置，指挥站在地面的南狄人向后拖拽，好让石块顺利升空。
0:20:42|0:20:49|哪料原本支撑在地上的长木突然断裂，石块径直砸向木架之后，乌孙人不幸从高处跌至地面。
0:20:51|0:20:58|急忙赶来的[霍安]为了救人，竟直接被掉落的木板砸中。
0:21:12|0:21:21|眼见突厥人将南狄人推倒在地上，又上脚怒踹着，老胡急忙揪住对方的头巾，将其狠狠地按在了木板车上。
0:21:39|0:21:44|急忙站上台阶的[霍安]，刚冲南狄人亮明身份，就被横向而来的铁锤直出脚步。
0:21:46|0:21:53|而在城根下，几个南狄人更是合力推倒堆积成山的原木，令其根根拱向突厥人。
0:21:54|0:22:2|但[霍安]无暇顾及远处的闹剧，只能先拽开眼前打得难解难分的突厥人和乌孙人。
0:22:2|0:22:11|可惜双方谁也不愿先停手，无奈之下，[霍安]只能左掌击于一方的喉咙，右拳重锤在一方的肩膀上。
0:22:11|0:22:20|眼看各族人士纷纷加入斗殴，[霍安]急忙用突厥语劝架。此时，城楼上的士兵敲响了铜锣。
0:22:33|0:22:42|待一众闹事人群被官兵呵斥揪走之后，[霍安]一行人则被带至雁门关的校尉[雁头]以及军医[老鼠]的面前。
0:23:19|0:23:22|话音刚落，紧随其后的[老鼠]递上一方宝剑。
0:23:39|0:23:45|看着面前身披重甲，装作一脸凶悍的[雁头]，[霍安]带领众人扭头就走。
0:23:47|0:23:53|原本被斗殴闹得尘土飞扬的城内，此时早已恢复如初，各族犯人正老老实实地修补城墙。
0:23:54|0:24:5|隔日晌午，一群头戴红磷头盔，身贴金属板甲，手持短锋利剑，腿部青铜镜甲的军队，骑着战马疾驰而来。
0:24:5|0:24:14|为首的男子则双肩拢獒，头盔上黑色的羽林，战马面部装备的铠甲，无不明示其特殊的身份。
0:24:14|0:24:20|此人便是罗马第一勇士[卢魁斯]，身后跟着的一众骑兵，正是他骁勇善战的勇士们。
0:24:28|0:24:48|听闻副手查理斯请示接下来的打算，他先是询问全军目前的状况，得知目前军士不到八百，弓弩不足三千，整军缺水乏力的情况之后，不由得回头，向阵中仅有的一辆马车处望去。
0:24:48|0:24:51|接着他翻身下马，快步行至马车前。
0:24:51|0:24:56|待侍从花高将车门打开，[卢魁斯]赶忙俯身下去。
0:24:56|0:25:5|绸巾之上，身穿华服头戴皇冠的小王子普里斯，听到声响之后，缓缓睁开双眼，双手不断向前摸索着。
0:25:27|0:25:29|因此无需太久就能攻下城池。
0:25:29|0:25:36|接着，从花高手中接过水囊之后，连忙捧到小王子的嘴边，小心翼翼地服侍他小口喝下。
0:25:38|0:25:43|接着听到对方说，自己在马车上等待他胜利的好消息。
0:25:45|0:25:52|就这样，想要快速解决战斗的[卢魁斯]，踏着风沙杀到城下。
0:25:53|0:25:59|看到城外袭来的外军，士兵赶忙敲响锣鼓，[霍安]一行人也急忙向城墙上跑去。
0:26:1|0:26:11|守城的士兵早已手持弓箭，躲在剑舵之后，只等令下。
0:26:21|0:26:30|无视[霍安]的阻拦，守城士兵冷箭齐发，[卢魁斯]的战马望着没入蹄前大漠中的箭矢，立刻勒马止步。
0:26:30|0:26:36|接着，[卢魁斯]竟然调转方向，大吼着撤退。
0:26:50|0:27:4|[雁头]一把掀开[霍安]抓住自己双臂的手，接着便下令大开城门，率领百余精兵，向[卢魁斯]逃跑的方向追击而去。不多时，两队人马竟已奔出去五里地。
0:27:4|0:27:10|烈日的烘烤下，马蹄掠过沙土飞扬，大漠升腾起股股热浪。
0:27:11|0:27:17|一心追敌的[雁头]自然是没能发现前方不远处，沙地里埋伏的陷阱。
0:27:18|0:27:29|此时[卢魁斯]回头猛然一笑，带军团疾驰而过，一根麻绳从沙地中凭空而起，根本来不及停下的[雁头]径直被绳鞭下马。
0:27:29|0:27:45|一计达成，另两组罗马士兵也立刻从沙地中冒出，两根紧绷的麻绳，瞬间将[雁头]的属下掀下马，众人不顾呛人的沙尘，打算弃马而逃，不知何时手持长盾与短剑的军团反身于此。
0:28:0|0:28:4|[霍安]直接无视[老鼠]的话，接着便扭身走下城楼。
0:28:6|0:28:16|此时，司马带领一众士兵猫妖摸到箭楼下，[老鼠]和[山豹]则指挥众人举起军旗，迅速奔向每个箭舵之后。
0:28:17|0:28:27|正当[卢魁斯]下令，高呼军团破城而入之时。城墙之上烽烟燃起，站岗声明。
0:28:27|0:28:33|原本俯身蹲在箭舵之后的士兵，迅速又有序地亮起了军旗。
0:28:33|0:28:39|雷霆之间，军旗如雨后春雨一般，从城墙之上的每个凹口处冒出。
0:28:39|0:28:48|[卢魁斯]见状，扭过头疑惑地望向副手查理斯，再一回头，正对面的箭楼上，弓箭手早已蓄势待发。
0:28:55|0:28:59|看到军团停止前进，[老鼠]欣喜大呼。
0:28:59|0:29:3|接着，[霍安]带领都护府的一众兄弟出城迎战。
0:29:3|0:29:8|仔细望去，他竟然身披着霍元甲将军的那副卷云甲。
0:29:9|0:29:16|立下配剑端坐马上，看着是威风凛凛，气宇轩昂。
0:29:16|0:29:20|望着突然冒出来的生面孔，[卢魁斯]御马而前。
0:29:20|0:29:25|看到对方突然翻身下马，于是他也信步向[霍安]走去。
0:29:25|0:29:32|黄沙飞扬之间，[卢魁斯]立于十步之外，亮出短剑，自报家门。
0:29:54|0:29:56|[霍安]自是不答应对方这无理的要求。
0:29:56|0:30:19|因此[卢魁斯]抬头示意二人必有一战，看到他亮出短剑，[霍安]也甩出飞爪，过于剑柄，又用力一挥，将剑鞘扔至老胡手中，长剑在阳光之下闪出阵阵寒光，周旋之中，[卢魁斯]率先发难，手持短剑，直击[霍安]的面部与背部。
0:30:19|0:30:25|接着，沉肩将他撞出去，又趁其不备，一剑直劈[霍安]头顶。
0:30:25|0:30:30|好在[霍安]的头盔仍算牢靠，光剑之间仅被削掉一层薄铜。
0:30:30|0:30:43|后退之时，稍矮[卢魁斯]半头的[霍安]，还见时无意拍至对方的头盔，二人就此各退一步，此时，[霍安]整整盔甲，无意间竟瞥见罗马士兵直直从马上掉落。
0:30:48|0:30:52|没等开口，[卢魁斯]就已杀到身前。
0:30:52|0:30:58|[霍安]砍手一挡，随即悬着长剑，绕着左手的护臂向[卢魁斯]刺去。
0:30:58|0:31:2|刀刃直直划给对方腰侧的盔甲，
0:31:14|0:31:20|[卢魁斯]今天简直就是一个剑神，对手看着太笨，想赢很困难。
0:31:20|0:31:27|小王子一听，咧开干裂的嘴唇笑了笑。此时，[卢魁斯]一手抓住[霍安]的右手腕，
0:31:27|0:31:47|另一只手再次举剑披向头顶，本想趁他倒地干脆了结，哪料[霍安]原地一滚，右腕一挥，长剑被甩入空中之后，竟又被拉回手中，毫不进身也能直冲[卢魁斯]面门。接着，[霍安]抓住[卢魁斯]手腕用力一踹，将其蹬倒在地上。
0:31:47|0:32:1|双手被绑于身后，跪在地上的[雁头]解气地大吼道，[卢魁斯]则重新爬起，掂了掂手里的短剑，示意[霍安]继续。
0:32:1|0:32:8|此时[司马]大吼。铺天盖地的沙土延伸变大，
0:32:16|0:32:25|刚刚还在悠闲吃饼花高，回头望向肆虐万物的沙尘暴，接着赶忙探进马车内查看小王子的状况。
0:32:25|0:32:33|[卢魁斯]自见势头不妙，再次横起短剑披向[霍安]，接着用双手将长剑锢于身前。
0:32:34|0:32:39|哪料[霍安]手腕一翻，二人均将剑横在对方的颈部。
0:32:40|0:32:45|此时，花高悲愤地抱着昏倒的小王子冲到阵前。
0:32:45|0:32:51|[霍安]则奋力向上一推，二人连忙后退。
0:33:7|0:33:15|否则再打下去，所有人都会被沙尘暴活埋，包括小王子。[卢魁斯]气喘吁吁地望着对面的[霍安]。
0:33:15|0:33:21|接着就看到他竟然拔下剑柄上的飞爪，将剑直直插入面前的沙地中。
0:33:23|0:33:31|于是[卢魁斯]垂下剑尖，径直走向[霍安]，来到长剑面前咽了咽口水，想了想之后，开口说道。
0:33:31|0:33:39|军队现在需要食物和水，小王子则需要药物。
0:33:41|0:33:48|然后他手一松，短剑应声而落，想了一会儿又说道，自己也需要找一个地方来好好地思考。
0:33:48|0:33:56|至此交易达成。夜晚来临，沙尘暴肆虐过后，[雁头]关外已是狼藉一片。
0:33:57|0:34:4|城内的大石墩下，就着缭绕的烟火，罗马士兵正歪七扭八地躺靠在台阶之上。
0:34:4|0:34:10|劳累饥饿的身子虽然得到了安慰，但每个士兵睡得并不安稳。
0:34:10|0:34:18|灰头土脸的他们，即便在梦乡中也将双手搭在胸口，祈祷屋内的小王子身体并无大样。
0:34:18|0:34:29|此时，灯火通明的屋内，[老鼠]从药箱中拾起一根长针来到床榻面前，撩开小王子的华服下摆，便用力将其扎入肚脐之下。
0:34:29|0:34:43|[卢魁斯]、[霍安]以及[雁头]等人都围在床榻旁焦急地等待着，待[老鼠]缓缓地将针取出，小王子竟高呼着[卢魁斯]的名字惊醒过来。
0:34:48|0:34:55|摸到[卢魁斯]伸出的双手之后，他焦急地问道，和中国武士的比武，胜者是罗马军团，对吗。
0:35:16|0:35:24|[霍安]听完，撇了撇嘴角。
0:35:32|0:35:47|不懂英语的[雁头]被[霍安]哄骗过去，恶狠狠地重复了一遍刚刚的话，接着，甩开长袍走向屋外。等到小王子再次安稳地睡去，[卢魁斯]则独自踏上一处残破的城墙。
0:35:48|0:35:56|月明星稀，四周只有用来修补城墙的木架和零碎的土石。
0:35:56|0:36:7|此时，此地无疑是用来思考的绝佳之处。随后他便回想起来时的情景。一处装潢精美的宫殿之内，
0:36:7|0:36:14|身披重甲，留着络腮胡的男子缓步而来，手中并无配剑，只拿一方夜光小瓶。
0:36:14|0:36:32|躺在床榻之上的小王子见来人，瞬间露出了甜甜的笑容，接着男子将小瓶中的药水滴入碗中，原本还笑着的小王子喝下之后，竟有撕心裂肺之痛。
0:36:34|0:36:42|混乱之间，[卢魁斯]杀出一条血路，将小王子推给花高之后，率领一众士兵断后。
0:36:43|0:36:50|此时，[卢魁斯]身后传来异响，回头望去原来是[霍安]。
0:36:55|0:37:2|接着，拿起放在城墙上的酒壶，先给[卢魁斯]满上，又端起另一碗斟满的烈酒。
0:37:9|0:37:14|虽然直冲脑后的刺激让他五官紧皱，但又重新示意[霍安]满上。
0:37:33|0:37:39|就会茫然不知所措，甚至发现竟无路可走。他好奇地问。
0:37:55|0:38:1|[卢魁斯]对此嗤之以鼻，直道，在如今这个世界和平就只是一个梦罢了。
0:38:5|0:38:11|接着便抽出[霍安]的长剑仔细端详，并表示自己并无敌意，只是好奇。
0:39:26|0:39:34|[卢魁斯]见状连忙后退，直呼这人怎么总是愁眉苦脸。
0:40:1|0:40:5|[霍安]随即冲[卢魁斯]翻译道，[雁头]相信你。此时，[卢魁斯]提出一个交换条件，
0:40:5|0:40:12|如果想要自己在15天之内将城墙修好，[霍安]必须找人带自己的副将前往安息国。
0:40:15|0:40:22|待双方达成一致之后，[老鼠]在桌上铺开地图。
0:40:26|0:40:35|西域中国图上，安息国就在[雁头]关的西北方，随后，[霍安]吩咐[山豹]带上副手，一行六人驾马疾驰而去。
0:40:36|0:40:40|接着，便开始修补长城。
0:40:48|0:40:57|军帐内，罗马士兵有序地将木板桌上摆放的奏章案牍全部挪开，接着，搬来各式度量尺，以及绘图工具。
0:40:57|0:41:13|随后，[卢魁斯]率领一众罗马士兵来到残破的城墙下，高墙之上两名士兵分立两侧，一人持弩，将绑有长绳的短箭射向对面，另一士兵记下绳上的长度标记之后，将其告知于[卢魁斯]。
0:41:13|0:41:17|接着，他便拿出羊皮纸画下城墙上的模样，记录在册。
0:41:17|0:41:25|记录下城墙残破之处的宽度，士兵又拿出吊有铁块的长绳，垂直于城墙，量出高度。
0:41:25|0:41:31|望着忙于测量的罗马士兵，[老鼠]说。
0:41:32|0:41:40|记录下城墙残破之处的宽度，士兵又拿出吊有铁块的长绳，垂直于城墙，量出准确的高度。
0:41:44|0:42:0|看到[霍安]指挥众人，用圆棍垫在地上运送石块，罗马士兵上前示范简单的方法，将两个弯形长盾的背面朝上，放在地上托举石块，仅用三个人在后方推，就能将其顺利地运走。
0:42:3|0:42:12|接着，城内一众士兵听从[卢魁斯]的吩咐，拔下长木运至一块空地，看到有人体力不支倒在地上，不少突厥人并调侃打趣。
0:42:15|0:42:26|小小插曲并不影响工程的进行，待众人将长木制成长条之后，罗马士兵便将其拼成一个镂空的长方体。
0:42:26|0:42:39|另一波士兵则脱掉上衣，在火炉旁锻炼铁条，完成之后，将其以十字造型交叠，并钉上铁钉，待众人用碎石填满铸好的铁质长笼。
0:42:44|0:42:56|[霍安]等人则按照[卢魁斯]的图纸，打造出多架带有齿轮的传送装置。最大的齿轮约高三米，
0:42:56|0:43:26|垂直于地面立于装置中央，与之相连的则是半人高的小齿轮，唯一一个横着的齿轮，同样与之镍合，在一众罗马士兵的推动之下，三个齿轮相互传动，带其传送装置另一组的长钩，待高处之人用它挂住铁制长笼上的铁链，装置便在众人合力推动之下，将长笼吊至城墙处的缺损处。
0:43:55|0:44:1|想要摸一下城墙，因此在小王子的请求之下，[卢魁斯]便将他的双手放在面前的箭舵上。
0:44:4|0:44:11|接着，小王子小心翼翼地将耳朵贴在上面。突然就高呼。
0:44:12|0:44:14|自己仿佛能看见了，甚至看到了自己在罗马城时的样子。
0:44:29|0:44:35|时不时传入耳边的，则是母亲专门为二人用竖琴演奏的乐曲。
0:44:36|0:44:39|[卢魁斯]随着小王子的回忆，也渐渐失了神。
0:44:41|0:44:50|此时一句你想他了吗，打断了[卢魁斯]的思路，虽然一言不发，但记忆中那纤润的朱唇与含波的双目再次令他陷入了沉思。
0:44:52|0:45:0|一阵微风拂来，二人双双将下巴搭在箭舵之上，就这样沉默了许久。
0:45:0|0:45:11|隔日晌午，修补城墙的间隙，[霍安]干下一碗酒，招呼来兄弟们。
0:45:12|0:45:22|七个人将外袍脱下，整齐地放在地上，随后在[霍安]的盔甲前，排列成三列。
0:45:23|0:45:30|原本直立的身体半蹲成马步，双臂时而成拉弓之势，时而攥拳勾出。
0:45:34|0:45:38|练功的动静，很快将众人吸引过来。
0:45:38|0:45:51|[雁头]刚从军帐中走出，抬眼就看到[霍安]等人伏低身体以腿化圆，在空中抡出半圈之后，紧借单臂的力量，又从地上凭空跃起。
0:45:51|0:45:57|此时，[卢魁斯]带着他的副手们也闻声赶来，看了没一会儿便微笑着转身离去。
0:45:59|0:46:12|热身完毕之后，[霍安]带头拿出长剑，又将飞爪勾于剑柄之上，劈砍刺了，还没多久，一阵整齐的鼓声传入耳边。
0:46:12|0:46:33|原来是罗马士兵在人群后方列阵，暗自较量，回过头看热闹的乌孙人，便将部分人群带到了身后，一声令下，身披重甲双手持棍，相对而立的两排罗马士兵，迅速向对方砸去，接着便拳肩相向。
0:46:33|0:46:42|[霍安]瞥到对面的场景之后，看到[卢魁斯]冲自己歪头一笑，随即转身步入行列当中。
0:46:42|0:46:50|七人重新列队单步向前，先用力将剑直直插入空中，又利用飞爪将其迅速拽回手里。
0:46:50|0:46:58|接着，其中三人俯身蹲下，另外三人脚踩其背，飞身一跃。
0:46:58|0:47:8|一伸一缩，再次将剑拽回手中。此时，罗马士兵排成五行六列，手持长矛长盾立于阵中，
0:47:8|0:47:15|一并脚一转身，原本的方形阵法，不知何时竟演变成英文字母w的字样。
0:47:16|0:47:19|望着这样的队形[霍安]竖起了拇指。
0:47:30|0:47:47|司马换上都护府的长袍，提着锄头走到空地中央，一跺脚便将锄刃卸下，随后便将长棍横入胸前，指向手持短棍的罗马士兵。
0:47:47|0:47:53|年轻人到底是耐不住性子，率先袭来。哪料一棍正好杵进司马的腋下，
0:47:53|0:48:2|于是被他禁于身前，用长棍袭胸。气不过的罗马士兵当即用双棍轮番砸向司马，
0:48:2|0:48:9|双臂收缩开合，眼看就能直击对方的面门，却被其猛地后仰擦着鼻尖，堪堪躲过。
0:48:9|0:48:23|待司马挺身而起之后，径直一棍戳中士兵的喉部，接着他乘胜追击，先一棍打击于士兵的小腿，后来又打飞他的短棍。
0:48:24|0:48:29|之前下注押都护府胜的南狄人见此，急忙直径走开。
0:48:29|0:48:37|此时较量来到了第二轮，罗马士兵一手持棍一手持盾走入中央。
0:48:38|0:48:43|老[霍安]见状，紧握手中未出鞘的长剑，径直袭向对方。
0:48:43|0:48:48|然而招招都被罗马士兵的长盾抵在身前化解。
0:48:50|0:48:57|听闻[霍安]夸赞对方，老[霍安]原地亮出神龙摆尾，将罗马士兵踹得连连后退。
0:48:57|0:49:10|接着骑身而上，一脚踹在对方的小腿部，本想趁机解决，哪料对方翻身一滚，竟揪住了老[霍安]的衣领，施展出一记过肩摔。
0:49:10|0:49:18|接着，罗马士兵将长盾立于胸前，推着老[霍安]冲向人群。眼看老[霍安]回身用长剑抵挡，
0:49:18|0:49:27|罗马士兵便歪倒长盾，将剑压于地面逼他松手。就这样丢了剑的老[霍安]自然输掉了比赛。
0:49:28|0:49:39|在众人的欢呼声中，老[霍安]垂下头低落地向人群外走去，但罗马士兵突然叫住他，随后将长剑举于胸前，用双手奉上。
0:49:40|0:49:44|并表示十分开心，能够有如此一番的较量。
0:49:44|0:49:52|老[霍安]抬手摸了摸眉毛，借机回头望向[霍安]，看到他示意自己将剑收下，只得伸手接过。
0:49:52|0:49:58|再一抬眼，发现罗马士兵冲他张开了右手，于是老[霍安]笑着握了上去。
0:50:3|0:50:7|罗马士兵随即将他环抱于身前，大呼过瘾。
0:50:7|0:50:16|[霍安]则站在人群中，露出欣慰的笑容，就着如此氛围，众人再次投入到修建长城的工事当中。
0:50:16|0:50:30|有道是众人拾柴火焰高，修补好其中一处城墙之后，热情高涨的人们推起齿轮装置，又挪向下一处工事，三十六国的人们在短短时间之内竟建立起了十足的默契。
0:50:30|0:50:37|拔圆木，捣碎石，锯长条，运沙土，所有的一切都在有序且高效地进行。
0:50:37|0:50:46|城内也不再因为一点小冲突而大打出手，休息时，各族之人吃饱喝足之后，又再次投入工事当中。
0:50:47|0:50:58|又一天转瞬即逝，[霍安]迎着刺眼的烈日站在城墙之上，刚抬手用前襟擦掉额头上的汗，一回头竟发现城内出了意外。
0:51:13|0:51:20|接着众人合力将他靠在身前，又急忙为其补水。待人苏醒过后，众人爆发出欢喜的笑声。
0:51:42|0:51:53|接着，趁休息时间，[霍安]将三十六国的代表聚集于军帐之内，并分发给每人一块布和一支毛笔。
0:51:54|0:52:1|花高则握住小王子的手，在布上一笔一画写下罗马的名称。
0:52:2|0:52:9|[霍安]原本想写下小书斋三个字，无奈一时忘记写法，只得向身旁的司马求助。
0:52:9|0:52:14|转眼工事就要到太守定下的15天，最后期限。
0:52:14|0:52:36|城墙下，众人拿起铁锹将小砖块、碎石和沙土，用水搅拌后，混成灰浆，装入木桶中，再利用齿轮装置的滑索，一头绑住地上的木桶，一头拴在高架之上[雁头]的腰部。利用身体的重量将灰浆轻松地运至城墙的高处。
