0:0:25|0:0:32|黄土高原上的一条小道蜿蜒曲折。
0:8:52|0:8:59|黄河边的芦苇丛中，几只鸟儿自由飞翔，发出清脆灵动的叫声。
0:8:59|0:9:5|[游天鸣]在芦苇丛中奔跑，看到了站在河边，扛着扁担，拿着镰刀的师傅[焦三爷]。
0:9:12|0:9:16|游天明跑向[焦三爷]。
0:9:16|0:9:25|[焦三爷]用镰刀砍断了一根芦苇，并且把带有叶子的一头削掉，有一米多长，芦苇干是空心的。
0:9:37|0:9:44|由天明接过[师娘]手中的芦苇干，[师娘]弯腰拿着自己的东西离开了。
0:9:44|0:9:49|由天明按照[师娘]的示范，弯下腰准备吸水。
0:9:52|0:9:56|[师娘]又叮嘱了一句，便走远了。
0:9:56|0:10:4|由天明开始用力吸水，此时正是正午，烈日当空，吸了没一会儿，由天明便满头大汗。
0:10:6|0:10:13|他喘了几口粗气，继续吸水，他使出了浑身的力气，可对于小天明来说，
0:10:13|0:10:23|芦苇干实在太长，他被阻力一下子推倒在地上。
0:10:23|0:10:30|镜头拉远，红通通的夕阳映照在河水中，游天明还在奋力练习吸水。
0:10:32|0:10:38|天色暗了下来，尤天明搭拉着脑袋，拿着芦苇干回了师傅家。
0:10:38|0:10:44|师傅正准备吃晚饭，拿着小酒壶给自己倒酒。
0:10:49|0:10:55|[焦三爷]生气地把酒壶往桌子上一放，[师娘]端着满满一碗米饭从厨房走出来。
0:10:55|0:11:0|师傅一把夺过来，往自己碗里分了一大半，只给[游天鸣]留了一小半。
0:11:8|0:11:18|[师娘]担忧地看了眼[游天鸣]，[焦三爷]又给自己倒了一小盅白酒，一饮而尽，[师娘]也不敢再说话了。
0:11:31|0:11:40|郁闷的[游天鸣]光着脚趴在床上，[师娘]端着一碗地瓜走进来，挠了挠[天鸣]的脚心，[游天鸣]转过身爬起来。
0:11:40|0:11:52|[师娘]，[游天鸣]撅着嘴往床檐挪了挪，[师娘]把碗放在床檐，用手抹去了[天鸣]脸上的眼泪。
0:11:57|0:12:3|[师娘]微笑着，把盛着地瓜的碗往[天鸣]身边推了推。
0:12:3|0:12:6|见[天鸣]不为所动，便说，
0:12:8|0:12:13|[游天鸣]拿起一块地瓜，双手捧着吃了起来。
0:12:13|0:12:15|[师娘]欣慰地舒了口气。
0:12:16|0:12:23|第二天，依旧是那片芦苇荡，在清风的吹拂下发出沙沙的响声。
0:12:23|0:12:31|[游天鸣]在河边吸水，斗力大的汗珠从他的脸上滑下，几个扛着芦苇的村民路过。
0:12:58|0:13:5|有[游天鸣]听到了村民的谈话，若有所思地停了一会儿，之后便更加用力地吸起水来。
0:13:6|0:13:11|此时的[游天鸣]，脸上如同被喷了水一般，满是汗水。
0:13:11|0:13:14|终于，[游天鸣]吸上来一口水。
0:13:14|0:13:27|他似乎有些不敢相信，把嘴里的水吐出来，用手捧着，然后兴奋地向师父家里跑去。
0:13:28|0:13:33|河里的鱼儿跳出水面，给白香间的鸟儿在空中欢腾，似乎都在为他喝彩。
0:13:37|0:13:44|[游天鸣]跑进家门，师傅正把晒干的芦苇干劈开。
0:13:46|0:13:50|师傅点了点头，并没有停下手里的活。
0:13:50|0:13:56|他又劈开了一根芦苇干。
0:13:56|0:14:1|然后从旁边的芦苇堆里翻了翻，找了一根合适的芦苇干。
0:14:3|0:14:12|用剪刀修剪了一下两头，递给[游天鸣]。
0:14:12|0:14:21|这根芦苇干比之前的那根更粗、更长，已经远远超过了[游天鸣]的身高。
0:14:21|0:14:24|[焦三爷]边干活边说。
0:14:27|0:14:36|[游天鸣]看了眼比自己还高的芦苇干，天空中乌云密布，雷声阵阵，顿时大雨倾盆。
0:14:36|0:14:45|[游天鸣]抬头看了眼天空，并跪在了河边，不顾大雨，继续练习吸水。
0:14:45|0:14:47|[师娘]和[师娘]来寻找[游天鸣]。
0:14:53|0:15:1|[师娘]打着伞，[师父]穿着梭，两人神情交集，步履通通，在芦苇间穿行。
0:15:1|0:15:7|他们看到了对在河边的[游天鸣]，[师娘]赶紧小跑过去，为他打伞。
0:15:7|0:15:12|[师父]把[游天鸣]手中的芦苇干扔掉，对他穿上梭，把自己的草帽也给他戴上。
0:15:17|0:15:23|第二天清晨，经过大雨冲刷的天空透出微光，更显辽阔。
0:15:23|0:15:31|[游天鸣]光着身子躺在床上，慢慢睁开眼睛，被窗外呼上呼下的一根羽毛吸引住。
0:15:31|0:15:38|他爬起来跪在窗边，原来师父正打算收徒弟，小师弟[童年蓝玉]正在吹羽毛。
0:15:39|0:15:44|他穿好衣服走进院子里，[童年蓝玉]的父亲也在一旁。
0:15:44|0:15:50|[游天鸣]惊奇地看着这根羽毛被师弟来回吹着，始终没有落地。
0:15:50|0:15:54|师弟不高的身体竟把羽毛吹过了屋檐。
0:15:54|0:15:58|[焦三爷]正在牛圈旁准备饲料，[师娘]在禅县。
0:15:58|0:16:1|[焦三爷]拿着一小块木板走出来。
0:16:37|0:16:58|[兰兰]又往后退了几步，离木牌有一米多远，她转身看看[焦三爷]，[焦三爷]示意可以喷了，[兰兰]用力喷水，木牌倒了，[焦三爷]看了眼尤天明，天明低下头，[兰兰]的父亲满脸笑容很是满意，[焦三爷]却依旧坐在椅子上一言不发。
0:16:59|0:17:10|[童年蓝玉]的父亲示意[童年蓝玉]主动上前，[童年蓝玉]还在端着水瓢，他走到[焦三爷]面前，直接跪了下来准备拜师。
0:17:10|0:17:19|[焦三爷]却拿着烟斗走进了屋里，[童年蓝玉]的父亲走过来。
0:17:22|0:17:27|[童年蓝玉]跪在地上，一双大眼睛很有灵气。
0:17:27|0:17:33|他转头看着[游天鸣]，[游天鸣]高兴地笑起来。
0:17:33|0:17:38|[焦三爷]吸了一口烟，转过身说。
0:17:39|0:17:41|[童年蓝玉]眼睛放光看着父亲。
0:17:44|0:17:49|晚上，[游天鸣]坐在床边玩自己的手，[童年蓝玉]在铺床。
0:18:10|0:18:13|[游天鸣]拿起放在床边的芦苇干。
0:18:16|0:18:24|清晨，河湾笼罩着一层薄雾，[二师兄]弟两人一起来到河边练习吸水。
0:18:24|0:18:33|[童年蓝玉]光着脚，两人拱着身子，长长的芦苇干深进河水里。
0:18:33|0:18:40|又是一天清晨，两人还没有起床，[游天鸣]猛地起身，拍打熟睡中的[童年蓝玉]。
0:18:47|0:18:51|[童年蓝玉]趴着探起头，睡眼惺忪。
0:18:51|0:18:55|接着，两人拿着镰刀飞奔着来到师父的庄稼地。
0:18:55|0:18:58|师父和[师娘]正在收割麦子。
0:18:58|0:19:9|[童年蓝玉]率先跑进麦地，[游天鸣]跟在后面。
0:19:9|0:19:13|师父和[师娘]注意到了这俩人，直起身子探查情况。
0:19:14|0:19:23|这[二师兄]弟两人在和自己身高差不多的脉丛中只露出了一个脑袋，师父和[师娘]继续弯腰劳作了。
0:19:23|0:19:34|[童年蓝玉]虽然人不大，可干起活来一点都不含糊，她动作利落，有模有样，相比起来，[游天鸣]的动作就慢多了。
0:19:34|0:19:38|只是[童年蓝玉]这边把割下来的麦子随手扔在地里，杂乱无章。
0:19:42|0:19:49|[游天鸣]看到后摇摇头，也很是无语，这会增加不少后面的工作量。
0:19:49|0:19:54|师父的小院子里，[焦三爷]家班正在为了出国排练。
0:19:54|0:20:1|[焦三爷]坐在正中间，院子中还有不少来看热闹的村民。
0:20:1|0:20:6|[师娘]已靠在门框上，脸上满是骄傲和对[焦三爷]的崇拜。
0:20:6|0:20:10|[游天鸣]和[童年蓝玉]两人则瞪着眼睛睁着嘴巴听入了神。
0:20:29|0:20:33|两个多月的时间里，师父带着[焦家班]出了十几堂门。
0:20:37|0:20:46|有[游天鸣]在田地里看着[焦家]搬出火远去的身影，之后又继续埋头干活。
0:21:11|0:21:21|[游天鸣]背着一个布包，兴奋地跑回了自己家里。
0:21:31|0:21:34|父亲正在推着石磨磨面，突然又停下来。
0:21:36|0:21:40|一家人围坐在一起吃午饭，母亲问道。
0:22:12|0:22:15|父母这才放心，欣慰地笑了。
0:22:15|0:22:17|父亲给[游天鸣]加了一块肉。
0:22:19|0:22:22|母亲也高兴地给[游天鸣]加了一个菜饼子。
0:22:23|0:22:28|夜晚，[游天鸣]兄妹二人躺在院子里的凉席上准备睡觉。
0:22:28|0:22:33|母亲在一旁轻轻扇着蒲扇，妹妹已经睡着了。
0:22:33|0:22:37|[游天鸣]还睁着眼睛，没有丝毫困意。
0:22:37|0:22:40|父亲坐在一旁的躺椅上。
0:22:44|0:22:48|母亲一脸疑惑，转身问[焦三爷]。
0:22:49|0:22:51|[游天鸣]有些得意地起身。
0:23:1|0:23:4|父亲从唐仪起身。
0:23:12|0:23:17|面对父亲的期许，[游天鸣]好像明白了些什么，坚定地说。
0:23:59|0:24:4|父亲又重新倚着躺椅，看向夜空扇着蒲扇。
0:24:16|0:24:22|第二天，[游天鸣]正把玉米从一个储存间拿到篮子里。
0:24:22|0:24:26|[童年蓝玉]从背后捂住了他的眼睛。
0:24:26|0:24:28|[游天鸣]扒开[童年蓝玉]的手。
0:24:40|0:24:44|[游天鸣]领着[童年蓝玉]，走向正在整理羊圈的父亲。
0:25:1|0:25:4|这时，妹妹放羊回来了。
0:25:5|0:25:7|[游天鸣]给[童年蓝玉]介绍。
0:25:11|0:25:15|随后，三人一起来玩村子里的秋千。
0:25:15|0:25:20|妹妹秀芝坐在秋千上，在两位哥哥的帮助下荡起很高。
0:25:20|0:25:25|接着，秀芝和[童年蓝玉]一起坐在秋千上，[游天鸣]在背后推他们。
0:25:25|0:25:32|天真烂漫的笑容在三个人脸上绽放，享受着童年最美好的时光。
0:25:32|0:25:41|夜晚，三个人一起抓萤火虫，萤火虫漫天飞舞，发出星星点点的亮光。
0:25:41|0:25:47|三个孩子兴奋地不断跳跃，仿佛在进行抓萤火虫的比赛。
0:25:47|0:26:8|他们凑在一起，慢慢打开紧紧捂住的双手，萤火虫发出的绿莹莹的亮光把他们的脸照亮，三个人惊讶地看着萤火虫从他们的手中飞出来，飞到半空中，融入在这静谧而美好的乡村夜景中。
0:26:8|0:26:17|天明和[童年蓝玉]回到了[师娘]家中，[师娘]从卧房的橱顶上拿下来一个箱子，虽然积了厚厚的灰尘，但依旧精美。
0:26:19|0:26:24|[师娘]打开箱子，里面是各式各样的锁纳。
0:26:24|0:26:31|[师娘]从一个小绒布包中拿出一个十分小巧的锁纳展示给徒弟二人。
0:26:56|0:27:1|[童年蓝玉]小心翼翼地接过[师娘]手中这只珍贵的索纳。
0:27:1|0:27:4|[师娘]又拿起一只索纳，对[童年蓝玉]说。
0:27:9|0:27:11|[师娘]把气牌装好，递给[童年蓝玉]。
0:27:17|0:27:25|[童年蓝玉]满心欢喜地接过索纳，使了好大一口气，索纳却没有吹响。
0:27:25|0:27:28|师傅拿出了扁扁的哨片。
0:27:30|0:27:34|师傅把哨片插在气排上试了一下，然后拿着索纳盯住[兰玉]。
0:27:48|0:27:52|[兰玉]使劲点了点头，双手接过索纳。
0:27:52|0:27:59|师父又在箱子里拿出一根索纳杆，吹了吹上面的尘土。
0:27:59|0:28:5|[游天鸣]以为这是给他的索纳，刚想伸手去接，却被师父直接放回了箱子。
0:28:5|0:28:10|师父伸手要回[游天鸣]手中的清朝索纳，[游天鸣]双手递上。
0:28:14|0:28:29|师傅把它装回绒布包中，放进箱子，合上盖子，把箱子放回了卧房。
0:28:29|0:28:36|[游天鸣]有些着急，又有些不解，眼睛直勾勾地看着师傅离去的方向。
0:28:36|0:28:40|晚上，[兰玉]半躺在床上，一直在摆弄着自己的锁。
0:28:44|0:28:50|[游天鸣]则坐在床边，边哭边收拾行李，时不时用胳膊抹眼泪。
0:28:54|0:28:59|天明一言不发，继续叠自己的衣服。
0:28:59|0:29:1|[童年蓝玉]凑上前来，关切地问。
0:29:17|0:29:26|第二天，天刚蒙蒙亮，天明拿着自己的被褥行李走出了师父家门。
0:29:26|0:29:32|他站在父亲送自己来时的山坡上，朝师父家的方向望了一眼，又继续赶路了。
0:29:37|0:29:43|进了自己家门，恰好听到父亲的谈话，他就躲在墙根。
0:31:4|0:31:14|不管你相信不相信天明，听了父亲的话，天明毅然走出家门，回到了师父家。
0:31:14|0:31:22|师父此时正在院子里修理农具，他躲在影壁后面探出头，见师父注意到了他，又赶紧把头缩了回去。
0:31:24|0:31:28|天明兴兴地从墙后走出来，土狗妞妞也去迎接他。
0:31:34|0:31:37|他把铺盖行李放到水缸盖子上。
0:31:47|0:31:55|天明端着饭从厨房走到堂屋，发现桌子上立着一个锁纳，锁纳旁边还有一个格子布袋。
0:31:59|0:32:5|天明将信将疑地坐下，看着桌上的唢呐，眼睛里闪烁着泪光。
0:32:12|0:32:16|[游天鸣]把桌上的唢呐慢慢拿起来。
0:32:20|0:32:25|[游天鸣]仔细打量着这只唢呐，眼泪夺眶而出。
0:32:30|0:32:36|[焦三爷]坐在屋外的躺椅上，屋里的[游天鸣]已经泪流满面。
0:32:42|0:32:50|[游天鸣]满眼感激地望着[师娘]，[师娘]在躺椅上吸烟，眼前的景象在泪水中逐渐模糊了。
0:32:53|0:32:58|接下来的日子里，[二师兄]俩跟着[师娘]学习吹锁囊。
0:32:58|0:33:3|在院子里，他们站在[师娘]面前，[师娘]吹一句，他们跟一句。
0:33:16|0:33:21|[师娘]极其认真，反复示范着每一个动作，每一个节奏。
0:33:21|0:33:24|[二师兄]俩也学得认真。
0:33:24|0:33:32|他们从院子里来到之前练习吸水的黄河边，宽阔的水面和雄壮的八百里秦川作为背景。
0:33:32|0:33:35|他们专注于每一个指法，练得更带劲了。
0:33:44|0:34:6|[童年蓝玉]被各种各样的鸟叫声吸引，走进河边的草丛树林中，寻找鸟儿的踪迹，却发现了[焦三爷]。
0:34:11|0:34:27|[童年蓝玉]小心地走到[焦三爷]跟前，[焦三爷]双手插腰，仔细听女儿的叫声，还用锁纳的哨片再配合着手势，模仿出一声灵动的叫声。
0:34:27|0:34:31|远处似乎有回应，但还不明晰，[焦三爷]又模仿了一声。
0:34:36|0:34:41|远处的回应鸣息起来，[师娘]领着兰玉微笑着往前走。
0:34:41|0:34:50|穿过茂密的草丛，他们看到了在草丛深处练习鸟叫的[游天鸣]。
0:34:50|0:34:55|[师娘]很是惊喜，随了一声。
0:34:55|0:34:57|天明转过身，一脸惊讶。
0:34:59|0:35:1|[童年蓝玉]跑着来到[游天鸣]身边。
0:35:3|0:35:10|[师娘]笑得合不拢嘴，来到[游天鸣]身边。
0:35:13|0:35:21|[童年蓝玉]反应很快，伸出三根手指头。
0:35:37|0:36:13|还有知了知了不是鸟天明仔细辨别了一会儿，说除了[童年蓝玉]树的三种以外还有黄雀水鹤鸢鹰还有燕子还有一种你们没听出来，[师娘]随手在旁边的树下摘下一片细叶，放在嘴边，配合手势模仿起来。
0:36:13|0:36:22|远处的鸟儿竟然有了回应。
0:36:22|0:36:25|[师娘]充满爱意地摸了摸徒弟俩的鼻子。
0:36:28|0:36:32|晚上，焦家班在[焦三爷]家中院子里排练。
0:36:39|0:36:45|[游天鸣]和[童年蓝玉]坐在石磨上，两人面面相对，有些不好意思。
0:36:45|0:36:50|[童年蓝玉]率先站起来，从耳朵里拿出哨片，试了一下。
0:36:50|0:36:53|[焦三爷]从屋里走出来，[童年蓝玉]开始吹曲子。
0:36:56|0:37:3|[童年蓝玉]随着音律微微晃动身体，吹得有模有样。
0:37:3|0:37:18|教家班的[二师兄]们投来赞许的目光，听得津津有味。
0:37:18|0:37:21|师父就在饭桌前，扇着扇子，闭着眼睛听。
0:37:38|0:37:40|有[游天鸣]皱着眉头站起来。
0:38:0|0:38:18|接着[游天鸣]单独拆下锁钠碗，又走到饭桌前拿起一个饭碗模仿起来。
0:38:18|0:38:20|[二师兄]站起来对师父说。
0:38:23|0:38:42|今天就到这儿，明天还要赶远路，大家收拾东西准备离开。明天[游天鸣]也跟着去吧。[游天鸣]喜出望外。第二天，有两个和尤天明年纪相当的男孩背着碑楼走进[焦三爷]家。
0:38:42|0:38:46|大家纷纷把自己的锁钠和其他乐器放进碑楼。
0:38:46|0:38:49|男孩想要把尤天明的锁钠也放进碑楼。
0:39:6|0:39:14|要加班轻活的白市现场，师傅带领徒弟们乱前演奏，留天宁和[童年蓝玉]就在一旁看着。
0:39:27|0:39:38|忽然，[兰兰]在人群中看到了秀芝，她以为自己看错了眼，揉了揉眼睛，仔细看了看，秀芝跑到大人群后躲起来，不忍不顿地看着她。
0:40:25|0:40:33|尤天明站起来看向师傅，[焦三爷]摇了摇头。
0:40:41|0:40:43|教三爷笑了，依旧摇头。
0:40:57|0:40:59|他站起身，走到父亲的遗像前。
0:41:23|0:41:30|过去，京庄有张、王、千、李、渣五个姓氏。
0:41:33|0:41:35|把其他姓氏的人差不多全挤走了。
0:41:38|0:41:44|一直关注事情动向的尤天明坐下来，和[童年蓝玉]对视了一眼。
0:41:44|0:41:50|晚上，[焦三爷]家班围坐在一起吃饭。
0:42:2|0:42:10|道草堆旁，[童年蓝玉]学着大人的模样抽起烟来。
0:42:10|0:42:23|天明也用煤油灯点着了烟，吸了一口被呛到了。
0:42:23|0:42:25|他把烟在鞋底摩擦了两下。
0:42:32|0:42:43|天明已经要睡着了，有一句没一句地回着话。
0:42:43|0:42:46|不一会儿，两人都进入了梦乡。
0:42:46|0:42:50|可这时，[游天鸣]的脚碰到了一边的煤油灯，煤油顿时引燃了稻草。
0:42:54|0:43:5|一个村民看到了火光，[游天鸣]赶紧叫醒[童年蓝玉]，[游天鸣]第一时间去拿放在一旁的锁。
0:43:41|0:43:47|尤天明灰头土脸，皱着眉头，使劲低着头，不敢说话。
0:43:47|0:43:59|旁边的[童年蓝玉]心疼地看着[游天鸣]，她低头看了眼自己手里的锁，鼓起勇气说，
0:44:6|0:44:16|他的那个……师父的面色有所反切，可尤天明依旧低着头。
0:44:16|0:44:22|[师娘]转身离开了。
0:44:43|0:44:49|暑热褪去，冰封大地，春去秋来，又是一年。
0:44:49|0:44:55|[师娘]言传身教，在那个河湾，师徒三人度过了一天又一天。
0:44:55|0:44:59|[师娘]家的小院里，[游天鸣]和[童年蓝玉]在祖师爷的牌位前合奏。
0:45:4|0:45:23|今天是[焦三爷]家班传声的日子，所谓传声就是索纳班班主确定接班人的仪式，他传的不光是白鸟嘲讽的演奏技巧，更是一种荣耀，他是对一个索纳艺人人品和艺品最好的肯定。
0:45:35|0:45:41|院子里坐满了[焦家班]的成员，[二师兄]的父母以及其他村民。
0:45:41|0:45:49|经过几年的学习，两人的索纳记忆已经十分熟练，表演起来也更加自信。
0:45:49|0:45:55|院子里的人听得笑容满面，不禁跟着节奏晃动身体。
0:45:55|0:46:0|演奏完毕后，两个孩子立马跑去找自己的父母。
0:46:0|0:46:3|大家对这两个小索纳将的演出赞叹不已。
0:46:7|0:46:16|[焦三爷]从屋里走出来，手里拿着一个用布包着的索纳。
0:47:48|0:47:51|[焦三爷]把布袋中的索纳拿出来。
0:48:30|0:48:33|[焦三爷]冲着[游天鸣]的方向招招手。
0:48:35|0:48:40|[游天鸣]一时愣住了，一只自信满满的[童年蓝玉]也是满脸的不相信。
0:48:42|0:48:50|在父亲的提醒下，[游天鸣]走到师父跟前，[童年蓝玉]一下子泄了气，师父弯下腰对[游天鸣]说。
0:49:46|0:49:50|[师娘]站起来安慰[童年蓝玉]。
0:50:8|0:50:16|[焦三爷]朝鞋底抖了抖自己的汗烟斗，把烟斗放到桌子上，然后起身回屋了。
0:50:20|0:50:23|[师娘]握着[童年蓝玉]的手，继续安慰他。
0:50:27|0:50:37|第二天清晨，[童年蓝玉]收拾好自己的行李，站在院子里。
0:50:42|0:50:44|[师娘]走出来。
0:50:52|0:50:55|[游天鸣]从屋里走出来，不舍得看着师弟。
0:51:1|0:51:4|磕完之后，[师娘]赶紧把他扶起来。
0:51:11|0:51:21|[童年蓝玉]强忍着泪水，[师娘]也很是不舍，挤出一丝笑容，挥手与[童年蓝玉]告别。
0:51:21|0:51:24|[童年蓝玉]已经走到了大门口，[游天鸣]叫住了他。
0:51:26|0:51:31|兰玉转身看了一眼[游天鸣]，[游天鸣]流下眼泪。
0:51:31|0:51:41|兰玉毅然转身，离开了师父家，独自走在乡间小道上。
0:51:41|0:51:45|[游天鸣]追到门口目送，[师娘]也追出来。
0:51:45|0:51:49|这时，[焦三爷]出现在街道口。
0:51:58|0:52:5|接下来的日子里，师父教授[游天鸣]吹奏板鸟嘲讽。
0:52:5|0:52:14|在这个农家小院里，师父坐在板凳上，[游天鸣]站在师父面前，依旧是师父吹一句，[游天鸣]跟一句。
0:52:39|0:52:46|锁囊的碗口，犹如一直盛开的花儿，嘹亮的声音从其中流淌出来。
0:52:46|0:52:51|就这样吹着吹着，[游天鸣]已经从少年长成了青年。
0:53:2|0:53:7|[焦三爷]在堂屋里把焦家班传给犹[游天鸣]。
0:53:33|0:53:35|但当这一天真的来临，
0:53:49|0:53:50|尤本盛很是兴奋。
0:54:2|0:54:4|尤本盛兴奋地跑回家。
0:54:6|0:54:11|天明家里，四喜给尤本盛点烟。
0:54:37|0:54:39|秀芝出来给四喜倒水。
0:55:6|0:55:10|[游天鸣]带着游家帮来到发小长生的婚礼现场。
0:55:10|0:55:14|天明见到胸前带着大红花的新郎官长生说，
0:55:31|0:55:34|[游天鸣]不会抽烟，婉拒了长生。
0:55:34|0:55:36|长生便给其他人分发香烟。
0:56:10|0:56:31|由嘉邦一路跟随，这个时候起见，两位新人跪拜高堂，刘嘉邦在院子里一直演奏，四喜拿着喜烟送给刘嘉邦成员，刘嘉邦的出手，是一趟放到桌子上，其他师兄直接把烟交到院上，唐生走过来。
0:56:44|0:56:48|长生给每个人发红包。
0:56:48|0:56:53|尤天明的红包与别人不一样，里面是一百元的钞票。
0:56:53|0:56:57|大师兄高兴地数起自己的红包。
0:56:57|0:57:6|尤天明站起来，又给了每个人一百块钱。
0:57:13|0:57:19|大家都很满足，甚至有人直接亲了一下钞票。
0:57:19|0:57:34|[焦三爷]家里，[师娘]在灶台前把一个馒头掰开，往里面加了一些蔬菜，然后用布包好，时不时还把掉落在灶台上的菜放进自己嘴里。
0:57:36|0:57:41|[师娘]一边喊，一边又把装着粥的玻璃罐子包好。
0:57:42|0:57:45|[师娘]拿着饭走出厨房。
0:57:45|0:57:49|土狗妞妞正在门前，她身上披了两个布袋子。
0:57:49|0:57:51|[师娘]把午饭装进袋子里。
0:57:54|0:58:2|妞妞装着午饭跑出家门，跑过田间土路，一头扎进菜地里.
0:58:2|0:58:4|[焦三爷]正在菜地里劳作。
0:58:7|0:58:12|他从娇娇的布袋子里拿出午餐，正准备吃。
0:58:24|0:58:27|[师娘]把午饭放回娇娇的布袋子里。
0:58:27|0:58:33|家里，[师娘]蹲在地上，给刚刚下地回来的[焦三爷]洗脚擦脚。
0:58:36|0:58:40|[焦三爷]穿好鞋子，走进堂屋。
1:0:36|1:0:38|傍晚，[师娘]在织布机前织布。
1:0:42|1:0:48|[师父]找出一坛珍藏的老酒，坛子上已经积了一层灰尘。
1:1:2|1:1:23|[焦三爷]用抹布擦了擦毯子，小心翼翼地解开毯口的红布，[天明]把酒碗往[师父]面前挪了挪，[师父]拔出筛子，闻了一口，又端给[天明]闻了闻。
1:1:24|1:1:28|[师父]极小心地往碗里倒酒，生怕洒出来一滴。
1:1:35|1:1:36|道完之后，又连忙把塞子塞上。
1:1:36|1:1:37|师徒二人举杯，两人先尝了一小口，然后又继续喝了一大口。
1:2:52|1:3:3|来，桌上的五碗农家小菜吃了大半，酒也喝过了三巡。
1:3:5|1:3:9|[焦三爷]有些喝多了，他打开装索纳的宝贝箱子。
1:3:15|1:3:18|他拿出那只小巧的清朝索纳。
1:3:30|1:3:31|[焦三爷]装好气牌。
1:3:39|1:3:46|笑死贤孙跪倒一大片，千感万谢的。
1:3:57|1:4:2|借着酒劲，[焦三爷]吹起欢快的乐曲，他边吹边舞，像个小孩子。
1:4:8|1:4:12|在一旁织布的深阳，露出朴素而幸福的笑容。
1:4:12|1:4:18|可突然，娇三也体力不支，跪倒在了地上。
1:4:37|1:4:54|天明上去搀扶，[娇三爷]推开他的手。
1:4:54|1:4:58|[焦三爷]直接躺到了地上，[游天鸣]和[师娘]赶紧围过去。
1:5:2|1:5:7|原来[师父]醉酒睡着了，他的嘴角上扬。
