0:2:2|0:2:9|十年之约一晃而过，如今的[吴邪]手持寄满各种古墓信息的盗墓笔记，立于青铜门前。
0:24:3|0:24:7|[张起灵]一路搜查到了红灯区，还是没有发现几人。
0:24:7|0:24:14|而令她万万没有想到的是，[曾小贤]就在她身后的展柜之中，与衣着暴露的美女跳着性感的钢管舞。
0:24:14|0:24:20|[曾小贤]看着近在咫尺的[张起灵]，不但不慌，反而还见笑地拍打着玻璃做出鬼脸。
0:24:20|0:24:26|可下一秒，[张起灵]突然回头，无处可逃的[曾小贤]被一把抓出来按在桌子上。
0:24:49|0:24:58|[张起灵]将[曾小贤]推倒在地，紧接着一刀直冲其要害砍去，可令人不解的是，[胡一菲]却突然出现接住白刃。
0:25:13|0:25:15|抽出刀刃就向[胡悠悠]抬去。
0:25:15|0:25:19|好在，[胡悠悠]有一定的功底在身，灵活地躲开了攻击。
0:25:19|0:25:24|可[胡悠悠]刚要踢腿反击时，却被自己的长裙限制住了行动。
0:25:24|0:25:26|张麒麟抓住机会，一拳将其击退数米。
0:25:28|0:25:40|奋怒直爆表的[胡一菲]干净利落地将长裙沿大腿根部撕掉，躲在角落瑟瑟发抖的[曾小贤]和[张伟]如同谜底一般看着[胡一菲]，[胡一菲]使出眼神让二人先走。
0:25:40|0:25:56|[曾小贤]走后，《爱情公寓》和《盗墓笔记》两部剧中顶尖战力的战斗一触即发，[张麒麟]率先挥刀砍向[胡一菲]，而这次没了长裙的束缚，[胡一菲]也放开手脚，用脚踢飞刀刃后，紧接着一记无影脚正中[张麒麟]的胸膛。
0:25:57|0:26:3|迅速调整的[张麒麟]再次挥刀砍向[胡一菲]，可不料地形狭小，长刀恰巧卡在了楼梯之间。
0:26:3|0:26:12|[胡一菲]见状，抓住时机，连续地重拳攻向[张麒麟]，可[胡一菲]毕竟是女子，即使这样的攻击也仅是伤到[张麒麟]的皮毛。
0:26:12|0:26:20|反观[胡一菲]一路败退，被逼到一间小屋之中，[胡一菲]巧妙地利用冰箱门，挡住了两次砍向自己的利刃。
0:26:20|0:26:26|他无路可退，随手拿起一旁的苹果砸向[张麒麟]，而这小小的苹果又岂能拦住[张麒麟]？
0:26:27|0:26:31|只见他手起刀落，飞来的苹果瞬间被切成两半。
0:26:31|0:26:35|[张麒麟]就像在玩切水果的游戏一般，将扔来的水果逐一切开。
0:26:35|0:26:40|水果扔完后，[胡怡妃]灵机一动，搬出旁边的窗户来到屋顶。
0:26:40|0:26:47|张麒麟也紧随其后，一个箭步飞向屋顶，可他刚上来还没站稳，便被[胡一菲]的全力一击打飞数米。
0:26:47|0:26:53|吃痛的张麒麟不再手下留情，二人对视片刻后，同时一跃而起，全力攻向对方。
0:26:55|0:26:57|紫桥已经伪装成了招聘师。
0:27:14|0:27:21|话音刚落，只见众人身后的瓦墙瞬间坍塌，烟雾散去后，地上竟然躺着满身伤痕的[胡一菲]。
0:27:21|0:27:25|下一秒，张麒麟手持钢刀迎面走来，他二话不说。
0:27:25|0:27:28|便抬刀砍向[胡一菲]。
0:27:42|0:27:50|张启龄再次挥刀，这次却被[陈美嘉]截住。
0:27:50|0:27:51|再次挥刀，又被[张伟]截住。
0:28:34|0:28:39|随后，张麒麟便将[吴邪]因为大脑过载而昏迷住院的事情告诉了几人。
0:28:39|0:28:53|与此同时，躺在病床上的[吴邪]还是没有丝毫苏醒的征兆，他的好兄弟王胖子在病房外焦急地踱步，恰巧就在此时，得知了消息的黄黑红，带着四个保镖，手捧鲜花和营养品来到了病房外。
0:28:54|0:28:57|王[胖子]知道他目的不纯，便要上前阻拦。
0:29:40|0:29:45|只见电视里，正播放着尔康用力摇晃紫薇的片段。
0:29:49|0:29:51|随后，二人便走进病房。
0:31:37|0:31:42|还没有完全恢复记忆的[吴邪]对黄黑红的话深信不疑。
0:33:10|0:33:15|[曾小贤]这番激励人性的话，就连事不关己的路人听到后，都分分拍手叫好。
0:33:19|0:33:25|整个现场的众人无一不在为[曾小贤]欢呼，就连[张起灵]听后都无奈地答应下来。
0:33:42|0:33:49|与此同时，黄黑红和[吴邪]，带着众多持枪特种兵，驾驶着大型直升机来到了长白山。
0:34:0|0:34:11|就在[张启灵]安排计划时，黄黑红带着乌鞋已经从暗道进入了盗墓者年会的现场，而此时，爱情公寓的六人也换上了与其他盗墓者一样的装扮。
0:34:12|0:34:15|几人如同梯台走秀一般闪亮登场。
0:34:15|0:34:20|率先出场的是穿着背心的[胡一菲]，这身装扮严肃又不失性感。
0:34:20|0:34:26|紧随其后的是海盗模样的[吕子乔]，他可能对盗墓人有些误解。
0:34:26|0:34:33|接下来是背着弓箭的[唐悠悠]，手骑机枪的特种兵[张伟]和扛着棒球棍的小丑女[陈美嘉]。
0:34:33|0:34:41|最后一个出场的[曾小贤]最为搞笑，别人都拿着武器，而他却呆头呆脑地拿着放大镜，俨然一副探险家的模样。
0:35:22|0:35:25|看着[曾小贤]犯难，众人便走进发布会现场。
0:36:28|0:36:31|随后便将二人带到了地下仓库中。
0:36:31|0:36:35|管理员打开电闸后，只见仓库中一个大圆球亮起了灯。
0:36:51|0:36:55|二人看着面前这个充满科技感的圆球自然也是闲不住。
0:36:55|0:36:59|[曾小贤]上前随意触碰了一个按钮。
0:36:59|0:37:5|无料圆球两侧的舱门缓缓升起，二人在好奇心的驱使下坐了进去.
0:37:5|0:37:10|只见舱内除了两个座位看起来正常一些之外，其他的按钮和指示灯二人都没见过。
0:38:59|0:39:5|只见总有三层楼高的[决定者二号]从台上轻轻一跃便来到了众人身后。
0:40:50|0:40:55|[决定者一号]看到二号正将枪口对准自己后，立刻慌乱。
0:41:19|0:41:34|情急之下，[吕子乔]随手一拨刚伸出来的轨迹球，[决定者一号]瞬间开始翻滚，敌人射出的子弹都无法对他造成实质性的伤害，在翻滚之时也将[吴邪]撞晕在地，王胖子接过[吴邪]的手枪。
0:41:37|0:41:47|并立刻跑到[吴邪]身边查看情况，而此时，大量的特种兵朝王胖子射击，就在这关键的时刻，[曾小贤]驾驶着[决定者一号]挡在了二人面前。
0:42:0|0:42:8|很快，剩下的三名特种兵也领了盒饭，此时，在会场外的人们还跳着舞，浑然不知危险即将来临。
0:42:16|0:42:23|几人被会场里的浇火吓得不轻，看到能够躲进[决定者一号]之后，甚至连武器都扔到了一边。
0:42:23|0:42:27|就这样，本来只能做两个人的机器，现在足足塞下了八个人。
0:42:48|0:43:4|[决定者一号]就这样在众人混乱操控下跌跌撞撞地朝前走站，这时后方会场的墙壁突然炸裂，但烟雾散去，只见硕大的武装机甲赫然屹立在原地，众人见后连忙逃窜。
0:43:4|0:43:9|就在这时，[决定者二号]也启动了自动攻击模式。
0:43:13|0:43:16|便从朝其所在的方向发射出两枚导弹。
0:43:16|0:43:20|一号舰桩慌忙躲避，可他刚躲过导弹，还没缓过神来。
0:43:20|0:43:38|2号的机枪就已经朝他倾泻着子弹，好在1号的防御力确实够硬，如此密集的火力覆盖都没能对其造成实质性的伤害，他依然在众人的操控下灵活地躲避在各个掩体之后，而这样的高速运动也让躲在机甲内的众人几乎阴厥。
0:43:38|0:43:52|绝地者2号那密集的炮火已经将反法的街道变为废墟，见一号即将无路可退之时，二号也使用出了杀手锏，只见机甲背部赫然伸出搭载着18枚炮弹的导弹发射器。
0:43:52|0:44:10|就在下一秒，18枚导弹同时朝着[决定者一号]射出，清可见整个街道宛如炼狱一般，任何挡在导弹面前的东西瞬间化为乌有，可即便是如此地毯般的轰炸，[决定者一号]竟凭借着固若金汤一般的防御力冲破火线。
0:44:10|0:44:12|竟直朝巨大的通风管道飞奔而去。
0:44:12|0:44:27|重人也是如获新生般的惊喜战，可下一秒，几人的笑容便僵住了，原来，[绝地者一号]竟然撞破山体，而脚下便是万丈深渊，即便是坚硬的[绝地者一号]若摔到谷底，也绝无生还可能。
0:45:20|0:45:26|他起身后，座位上竟弹起一个充气公仔，仿佛在替他开飞机一般。
0:45:31|0:45:34|被治疗好的[吴邪]恢复了记忆。
0:46:28|0:46:30|[曾小贤]得意地站了起来。
0:46:38|0:46:41|[胡一菲]自信地走到[曾小贤]的面前。
0:46:45|0:46:47|[曾小贤]摇了摇头。
0:46:50|0:46:52|看到[曾小贤]点头后，依非继续说。
0:46:57|0:46:59|[曾小贤]眼神坚定地用力点了点头。
0:47:2|0:47:4|此时[曾小贤]还是一头雾水。
0:47:6|0:47:11|张麒麟一拳直接打向[曾小贤]的面门，紧接着就是一套组合拳。
0:47:11|0:47:16|根本不知道发生了什么的[曾小贤]，就这样被张麒麟无情地打倒在地上。
0:47:16|0:47:21|可主角光环附体的[曾小贤]，对这种程度的攻击简直就是免疫。
0:47:21|0:47:26|下一秒便从地上完好无缺地站了起来。
0:47:33|0:47:43|[吴邪]说完，直接飞扑到[曾小贤]的身边，随后又是一顿毫无人性的暴打，直到打累了才停手，可没想到[曾小贤]还是毫发无损。
0:47:53|0:47:58|另一边，在已经变成废墟的街道中，黄黑红愤怒地对手下问道。
0:48:9|0:48:12|黄黑红的脸上露出了阴险的笑容。
0:48:18|0:48:46|吴邪和[曾小贤]等人，历经了数小时的飞行，终于到达了云顶天宫的所在地，[唐悠悠]好奇地问道，你说了这个护灵之魂，到底该怎么找，护灵之魂，是青铜门的守护者，要召唤他，门后一定有线索，咱们要进青铜门破解终极，这部分才敢，山脚下有一条通往云顶天宫的密道，我们得赶在黄黑红之前，抢先到达青铜门，几人全副武装地走出了飞机。
0:48:46|0:48:50|手持登山杖，一步步谨慎地在雪地上行走着。
0:48:50|0:48:59|刚走没多远，[吴邪]便看向在不远处的[张起灵]，只见她目不作声地跪在崖边的巨石之上，嘴里还一直嘟囔着祭拜之言。
0:48:59|0:49:4|此时，众人看着这疑惑的一幕，也不约而同地停下了步伐。
0:49:4|0:49:8|片刻之后，[张起灵]朝着太白山扣了三个响头。
0:49:8|0:49:10|[吕子乔]看后不解地问道。
0:49:12|0:49:16|吴邪一回头竟发现[张伟]两只眼在疯狂地跳动。
0:49:16|0:49:18|此时[唐悠悠]也发现了自己身体的异样。
0:49:46|0:49:53|眼皮跳、吊牙、乌鸦、黑猫，这所有的不祥之兆竟在同一时间发生。
0:50:0|0:50:3|花音刚落，[胡一菲]做的帅旗便被折断在地。
0:50:8|0:50:13|盗墓无数的无邪，见状也不再嘴硬，急忙下跪和几人一起击败天地。
0:50:13|0:50:16|而另一边，[曾小贤]对着决定者一号说道。
0:50:34|0:50:38|令宗小贤无语的是，王胖子竟在机器内看起了足球比赛。
0:50:58|0:51:1|片刻后，决定者一号一飞冲天。
0:51:1|0:51:8|话音刚落，一号便砸在几人的面前。
0:51:23|0:51:27|研究地图的几人回过神来时，发现了面前的冰川被砸了个深坑。
0:51:27|0:51:40|几人朝深坑望去，只见绝地者一号漂浮在水面上。
0:51:40|0:51:44|[张伟]看到了一旁的石头上有个雕刻着精美图案的机关。
0:51:44|0:51:48|他吹开上面的浮雪后，一脸疑惑地问到身旁的[胡一菲]。
0:51:53|0:51:59|只见机关出动的瞬间，[曾小贤]和王[胖子]所在的深坑顿时发出阵阵轰鸣。
0:51:59|0:52:3|下一秒，深坑四周便如同地震一般开始颤抖。
0:52:3|0:52:6|紧接着，水面形成了一个巨大的漩涡。
0:52:6|0:52:10|眨眼间，决地者一号带着二人，就被一起卷入洞底深处。
0:52:10|0:52:13|[唐悠悠]看着这似曾相识的一幕，说道。
0:52:17|0:52:22|[唐悠悠]的花荫刚落，几人便隐隐约约听到山顶传来的轰鸣声。
0:52:22|0:52:28|这声音越来越大，越来越显得急促，众人闻声望去。
0:52:31|0:52:49|这场雪崩的速度之快简直超乎想象，几人仅跑出数十米的时间，雪崩就已经追到了半山腰，[吴邪]带领着众人飞奔在惊险的悬崖峭壁之上，稍有不慎便会跌落万丈深渊，可面对这声势浩荡的雪崩，几人便无暇顾及太多。
0:52:51|0:52:57|就在千军一霸之际，[吴邪]带着众人钻进了前方的山洞，而雪崩也几乎在同时将洞口吞噬。
0:53:26|0:53:32|被雪崩堵在冻雪口的[吴邪]，还在试图用铲子挖出一条通道。
0:54:29|0:54:32|依妃看到一脸无语的[吴邪]。
0:54:39|0:54:43|就这样，[吴邪]竟然在洞穴中为几人补习起盗墓之事。
0:54:55|0:54:58|[吴邪]话音刚落，只见蜡烛便离奇熄灭。
0:55:0|0:55:3|可不曾想，魅家竟然点燃了火炬。
0:55:48|0:55:49|他们都点赞了。
0:56:30|0:56:38|悠悠几人慌张地发着言语，看得[曾小贤]是一头雾水。
0:56:38|0:56:41|看着几人思考的样子，[吴邪]缓缓问道。
0:56:51|0:56:54|他自己说吧，也从手机中发现了异样。
0:56:54|0:57:1|当他放下手机，看向四周时却发现，整个山洞如同银河般布满星光，并且快速地向自己逼近。
0:57:1|0:57:6|就在他还震惊之时，一只油盐已经钻到了他的衣服里。
0:57:6|0:57:10|出来乍到的[曾小贤]被此情此景吓得呆在原地不敢动弹。
0:57:10|0:57:14|就在大批油盐即将将其吞噬之际，王[胖子]将它撞入球内。
0:57:23|0:57:28|只见[吕子乔]在微信群里发了一个红包，没想到瞬间就被[曾小贤]抢走。
0:57:39|0:57:47|一声巨响后，原本铺满铁球的小油盐立刻都四散逃去，只见黑暗中，隐约有只庞然大物朝铁球靠近。
0:57:47|0:57:53|二人通过决定者一号的屏幕，看到了一只硕大无比的眼睛，也在盯着二人。
0:57:53|0:58:5|随后，四周传来强烈的震感，只见两只身上布满岩浆，体型数十米长的巨型油盐将铁球包围，巨型油盐发出的震震嘶吼声让人冷汗直流。
0:58:5|0:58:8|随后，两只油盐为了击碎铁球，用头来回撞击。
0:58:13|0:58:17|随着巨型油盐的全力一击，铁球恰好飞进了一旁的暗道里。
0:58:17|0:58:23|在暗道中向下滚了好一阵后，铁球掉落在了另一个漆黑无比的洞穴中.
0:58:27|0:58:31|一号打开灯后，竟看到了遍地的骷髅。
0:59:54|1:0:1|无奈的决定者一号从背后伸出一个大型铁爪，如同抓娃娃一般将护林凯抓起。
1:0:1|1:0:9|就在二人还在感叹机器的强大时，护林凯已被平稳地放入后备箱。
1:0:17|1:0:22|只见铁球竟拿出锅碗瓢盆准备战斗，巨型油盐见状，更加生气地咆哮着。
1:0:25|1:0:59|[曾小贤]和王胖子急忙驾驶着决地者一号向后飞速逃窜试图甩开他，可这巨型油盐虽然体型庞大但在数十条腿的加持下移动速度反而比铁球还稍快，二人只能驾驶铁球绕墙而行。好在铁球的灵活走位巧妙地躲开了巨型油盐的攻击，直到飞出洞口才终于脱险。劫后余生的二人也激动地大叫着。另一边[吴邪]己人在谨慎地探索着，这时竟突然响起了BGM，突如其来的音乐让爱情公寓的警员瞬间活力四射。
1:1:11|1:1:25|原来这首歌曲就是由爱情公寓的主题曲《我的未来是改变而来》，只见他们几人不顾忌在目的之中有什么妖魔鬼怪，一个个的脸上顿时洋溢着幸福的笑容，开心的边走边跳。
1:1:25|1:1:29|只有[吴邪]和[张起灵]二人不知所措，不知这几人究竟是中了什么邪。
1:1:30|1:1:35|众人就这样，伴随着音乐，继续马不停蹄地朝洞穴深处探索着。
1:1:35|1:1:44|[吴邪]几人和[曾小贤]、王胖子虽然兵分两路，但他们很清楚，自己的目的地就是让整个盗墓界都向往的云顶天宫。
1:1:44|1:1:50|[吴邪]、[张起灵]和王胖子，也因为爱情公寓几人的加入，变得快乐许多。
1:1:50|1:1:55|虽然几人嘻嘻哈哈不太严肃，但一路走来，他们始终团结一致，互帮互助。
1:1:55|1:2:0|爱情公寓的几人，在盗墓的道路上，也并没有成为无邪的累赘。
1:2:0|1:2:4|相反，主角光环在身的他们，让妖魔鬼怪有必而远之。
1:2:4|1:2:12|他们一起携手攀过狭窄的峭壁，穿过满是油盐的洞穴，踏过洞穴底部的岩浆，也来到过遍地黄金的密室。
1:2:13|1:2:18|但即使面对再多的困难和诱惑，都没能阻止众人前进的脚步。
1:2:18|1:2:25|[曾小贤]和王胖子驾驶着绝地者一号，一路高歌猛进，无邪几人，也来到一片风景秀丽之地。
1:2:25|1:2:28|每家看着水里的小鱼苗。
1:3:11|1:3:14|[吕子乔]看着这离谱的一幕，惊讶到。
1:3:33|1:3:40|听[张起灵]说完后，仅剩的一个外卖小哥戴好头盔，在众人的注视下，一脸自信地朝外走去。
1:3:40|1:3:43|[吕子乔]走到依妃和悠悠面前吐槽道。
1:3:55|1:4:3|只见一旁的[陈美嘉]手拿着鸡块亲手喂给[张起灵]吃，而在不远处的[吴邪]一脸醋意地看着二人。
1:4:3|1:4:7|这时，[张伟]也拿着外卖走到了[吴邪]面前说道。
1:5:29|1:5:35|[张伟]听罢，思考了片刻，随后拿起酒瓶猛地喝了一口说道。
1:7:29|1:7:38|[胡一菲]虽然不情愿，但是在众人的怂恿下，还是拨通了[曾小贤]的电话。
1:7:38|1:7:44|见电话那头迟迟没声音，[曾小贤]猜测道。
1:8:26|1:8:35|而在电话那头的[曾小贤]还沉浸在刚才的晚安中，不停地猜测[胡一菲]的用意。
1:8:35|1:8:40|在游戏环节结束后，几人便在洞穴中打着地铺纷纷入睡。
1:8:40|1:8:47|熟睡的[陈美嘉]被掉落的书籍杂行，她一回头竟然看到一只圆头圆脑十分娇小的猫头鹰。
1:8:50|1:8:53|小猫头鹰见有人醒来，便飞向更高处的石柱之上。
1:8:53|1:9:3|[美嘉]看着这个可爱的小家伙，并不知道他想干什么，可片刻之后，他便飞出洞穴。
1:9:3|1:9:8|被吸引的[美嘉]，见状便追了出去，可不慎脚下一滑，摔到谷底。
1:9:9|1:9:12|他摔落的地方恰好有一条通道。
1:9:12|1:9:16|[陈美嘉]就顺着这条狭窄的通道一路滑到了崖边。
1:9:16|1:9:32|[陈美嘉]被眼前的一幕所震惊，她甚至都忘记了自己的伤痛，只见谷底之景与刚才的鸟语花香大相平静，数百米高的峡谷两侧密密麻麻地遍布无数个洞穴，犹如山体的毛孔一般，[陈美嘉]定睛一看，顿时冷汗直流。
1:9:32|1:9:47|原来每一个洞穴中都睡着一个近两米高的成年猫头鹰，每家试图悄悄逃走，可一回头就被身边的猫头鹰吓了一跳。
1:9:47|1:9:53|每家刚回过神，就被出来寻找的驴子桥撞倒在地上，二人双双摔到谷底。
1:9:57|1:10:3|[陈美嘉]阻止紫桥大声说话后，小心翼翼地指里指周围洞穴中熟睡的猫头鹰。
1:10:17|1:10:19|紫桥却领悟了她的意思。
1:10:21|1:10:23|而[陈美嘉]也只是笑着点了点头。
1:10:24|1:10:36|没想到二人就这样用自创的手语畅通地交流了起来，一路醋意满满的吕紫桥这时突然抱怨起[唐悠悠]对[张起灵]的过度花痴，而[唐悠悠]却故意答非所问。
1:10:36|1:10:46|紫桥见状便也没再多问，并示意[唐悠悠]悄悄先走。
1:10:46|1:10:52|尴尬的是，刚迈出第一步便踩到一只尖叫鸡，[陈美嘉]刚骂完[吕子乔]，随后她便踩爆了一个气球。
1:10:54|1:10:55|二人见状加快速度。
1:11:4|1:11:9|万万没想到这遍地尸骨的谷底竟有如此多可以发出噪音的东西。
1:11:9|1:11:13|二人也是倒霉，轻轻地每走一步都能踩到一个机关。
1:11:13|1:11:18|这一通操作下来，洞穴中瞬间多了数万双眼睛盯着二人。
1:11:18|1:11:27|就在二人还不知所措时，只见猫头鹰的头部缓缓旋转了180度，随后头部竟然张开血盆大口冲向二人。
1:11:32|1:11:37|一瞬间，整个峡谷的上空被密密麻麻的猫头鹰所笼罩。
1:11:37|1:11:42|[吕子乔]和[陈美嘉]面对如此攻势只能拼命逃跑，可这速度差距实在太大。
1:11:42|1:11:49|二人没跑出几步，猫头鹰便已来到身后，无奈的二人只能钻进一旁的巨石镇中暂时躲避。
1:11:50|1:11:55|可没想到，这猫头鹰竟把巨石撞得东倒西歪，不一会儿便包围了二人。
