0:1:54|0:2:2|画面中，羊孤独的身影在冰雪中前行，艳阳当空，两只狼悄悄地跟在它的身后。
0:20:9|0:20:14|[蓝天]仔细打量，发现原来是羊，他在羊的身旁停了下来。
0:20:15|0:20:18|回忆停止，时间回到此刻。
0:20:18|0:20:23|今天是第二天，海拔4568米。
0:20:23|0:20:26|[杨柳松]站在湖边，眺望着远方。
0:20:26|0:20:30|天色微明，湖水涌动，他再次启程。
0:20:30|0:20:37|这次长途穿越，墨镜，帽子，手套这些一丢失的装备，都带上了备用的。
0:20:42|0:20:44|放在车头的太阳能板。
0:20:58|0:21:3|转眼，时间来到了第五天，海拔4998米。
0:21:3|0:21:7|[杨柳松]骑着自行车飞速滑下了一个山坡。
0:21:7|0:21:15|随后，他推着车子行走到几个小山丘之间，身后突然传来一阵巨大的异响。
0:21:15|0:21:22|他回头，只见尘土飞扬，漫天的黄沙正在迅速向他逼近，是沙尘暴来了。
0:21:22|0:21:24|他惊呼一声，急忙推着车子向前跑。
0:21:45|0:21:50|风沙势头凶猛，飞速刮旋着，天地瞬间一片混沌。
0:21:50|0:21:58|[杨柳松]背不堪地向前不停跑，可沙尘暴在下一刻便从四面八方而至，将他逼得毫无退路。
0:21:58|0:22:4|他的眼睛也被沙子迷得难以睁开，滚滚红沙迅速将他淹没。
0:22:5|0:22:17|[杨柳松]已然辨别不出方向，它用纱巾围住口鼻，努力在狂风中挣扎向前，但还是在走到一个斜坡的时候，失去了重心，跌倒在地上。
0:22:17|0:22:23|烟沙还在奔涌，[杨柳松]跪在地上蜷缩着，将头埋进行李。
0:22:23|0:22:27|两久，这场风暴终于过去，世界顿时安静下来。
0:22:28|0:22:47|黄沙散去，视线变得清晰，躺在地上的[杨柳松]被沙子盖了一身，他慢慢抬起头，空中，艳阳高照，强烈的紫外线让他睁不开双眼，他拉下蒙在嘴上的沙巾，吐出了一口灰尘，气喘吁吁地扫射着四周。
0:22:47|0:22:51|画面一转，[杨柳松]坐在帐篷里，对着镜子擦拭脸上的沙尘。
0:22:53|0:22:58|此后，[杨柳松]拉开帐篷，琥珀在落日的余晖下泛起凌凌波光。
0:22:58|0:23:6|[杨柳松]出了帐篷，感受到寒气逼人，于是他便绕着圈子小跑来驱寒。
0:23:6|0:23:9|到了夜晚，[杨柳松]拿出相机，朝[蓝天]的镜头拍去。
0:23:35|0:23:45|场景再次来到启程前，此时，[杨柳松]已经搭上了[蓝天]的顺风车，在蜿蜒的环山公路上行驶着。
0:23:45|0:23:53|两人一路无言，[杨柳松]的脸上蓝眼胶着，他注意到[蓝天]因为残疾的缘故，刹车和油门都被重新改装。
0:23:54|0:23:59|而自己留下的阿里球带的纸条，正在车的挡光板里插着。
0:23:59|0:24:6|[杨柳松]疑惑地看向[蓝天]，[蓝天]注意到了[杨柳松]的目光，却装作若无其事，继续开车。
0:24:6|0:24:13|车子开到了[杨柳松]卓拥措，停在湖边，这里是西藏三大圣湖之一，海拔4441米。
0:24:15|0:24:20|湖泊被群山环绕，湖水平静广阔，通透静蓝。
0:24:20|0:24:25|[蓝天]拍了两张照片，将手伸出车窗，感受到无比的畅快。
0:24:36|0:24:40|[蓝天]摇起车窗，二人下了山，来到市区。
0:24:40|0:24:43|[杨柳松]正在向一个车主请求顺风车。
0:25:7|0:25:10|杨回过头，看到[蓝天]正在马路对面的一间面馆前。
0:25:12|0:25:18|一边徘徊着，一边叫着老板，是店前的几节楼梯将他拦住。
0:25:18|0:25:31|杨赶忙穿过马路，跑过去帮忙。
0:25:31|0:25:39|杨从后面拉住轮椅的把手，小心翼翼地将[蓝天]一步一步拉上台阶，拉进有些窄小的门里。
0:25:42|0:25:49|二人在面馆里用餐，在热水里给餐具消过毒的[蓝天]，注意到了杨的坐立难安。
0:26:3|0:26:7|杨看了看[蓝天]，扭头看向窗外，放下筷子。
0:26:17|0:26:25|看着[蓝天]泰然自若地吃着面，杨虽然有些不放心，但心急的他还是拿上背包果断地离开。
0:26:25|0:26:36|他跑到马路上，那辆顺风车却已经开走，他郑重地望着车离开的方向，不自觉地往前走了几步，差点撞上了一辆马车。
0:26:36|0:26:40|无奈之下，杨只能再次坐上[蓝天]的车。
0:26:40|0:26:46|改装过的车车速很慢，杨有些失去耐心，于是试探性地问[蓝天]。
0:26:59|0:27:5|一时间，[杨柳松]手足无措，但看着[蓝天]坚决的样子，还是拉开了车门。
0:27:15|0:27:22|[蓝天]没有说话，他有些生气地揉了揉鼻子，意味深长地瞪了[杨柳松]一眼，目光冰冷。
0:27:22|0:27:26|似乎有些欲言又止，但最终还是默许了。
0:27:50|0:27:53|[蓝天]看了看前路，没有回应。
0:28:0|0:28:10|[蓝天]狠狠地灌了一口水在嘴里，然后点了下头，便利索地打开车门，从后面把轮椅部件一个一个地放下，组装起来。
0:28:10|0:28:21|他扶着座椅，熟练地从车里挪上了轮椅，随后拿上洗漱包和一件干净的羽绒服，抬起轮扣向澡堂里滑去。
0:28:21|0:28:28|小巷里，器民声与狗吠声不绝于耳，炙烈的日光照在车身上，反射出刺眼的光芒。
0:28:36|0:28:41|时间再次回到旅程中，这是[杨柳松]恒川枪坛的第十天，海拔5,112米。
0:28:43|0:28:50|他到达了一处戈壁，四周空旷，寸草不生，极度的缺氧让他感到眩晕。
0:28:50|0:28:54|眼前朦朦胧胧，像是出现了一个黑色的影子。
0:28:54|0:28:59|他用手遮住一只眼睛，另一只努力地向黑影对焦。
0:28:59|0:29:3|他看清了，竟见一头体型健壮的野牦牛正直冲他跑来。
0:29:9|0:29:19|随着[老队长]警示的声音在耳边响起，牦牛也越逼越近，恐惧让[杨柳松]完全失去了自救的念头，它一动不动地站在原地。
0:29:19|0:29:26|下一秒，牦牛却在即将将它撞飞的瞬间，促然刹住了脚步，它直勾勾地盯着眼前的人类。
0:29:27|0:29:32|[杨柳松]毅然被吓得魂飞魄散，闭着眼睛颤抖着喘息。
0:29:32|0:29:35|几秒之后，牦牛便转身离开。
0:29:35|0:29:39|看着他的背影，[杨柳松]腿易软，瘫倒在地。
0:29:39|0:29:48|可突然，牦牛又一个急杀，掉头再次向[杨柳松]跑过来。
0:29:48|0:29:55|[杨柳松]悔过神来，快速地站起身推上车子，仓皇而逃，跑到一个斜坡，亮亮呛呛地滑了下去。
0:30:10|0:30:16|来到坡地，[杨柳松]发现四周都是动物的尸骨，每隔几步便有一堆。
0:30:16|0:30:23|这些骨头形状各异，似乎是不同物种的，几乎都是伸手一触四散而放。
0:30:23|0:30:31|远处还散落着几个油箱桶和酒瓶，这是人类留下的痕迹，那这些尸骨里是否也有人类呢？
0:30:32|0:30:49|仰顿下身，难以置信地观察着眼前的景象，随后又站起来走到油桶的周围徘徊查看，而远处的山后似乎有一双眼睛正在盯着他的一举一动，准备伺机而动，危险的气息扑面而来。
0:30:55|0:31:4|到了晚上，明月高悬，[杨柳松]带着头戴式户外照明灯，坐在帐篷里写日记，记录着自己的行程。
0:31:4|0:31:19|突然，一声凄厉的狼叫声传来，他停下了笔。
0:31:19|0:31:22|他将灯关掉，仔细听着外面的动静。
0:31:22|0:31:27|是风夹杂着几声锐利划过帐篷的异响声。
0:31:27|0:31:29|几秒后，声音渐渐消失。
0:31:29|0:31:35|[杨柳松]再次打开灯，继续动笔。
0:31:35|0:31:40|时间来到第十二天，海拔5,112米.
0:31:40|0:31:44|[杨柳松]路过了一个插在大地中的三角测量仪。
0:31:44|0:31:48|他将车停在一旁，仰头看着这难得一见的人类痕迹。
0:32:1|0:32:6|[杨柳松]在测量仪旁不断徘徊着，拍照，喝水，坐下又站起。
0:32:6|0:32:13|场景又来到出发前，[蓝天]的车停在朱峰的加油站里。
0:32:17|0:32:31|加油师傅走到车窗旁探头一看说。
0:32:31|0:32:36|[蓝天]半个身子伸在车窗外，向后望了望，满面愁容。
0:32:36|0:32:43|此后，他转过头，沉思片刻后重重地叹了口气，难言苦闷地拉上安全带将车子发动。
0:32:47|0:32:56|车子停到了加乌拉山口的一片高地上，海拔8848米，珠穆朗玛峰尽收眼底。
0:33:17|0:33:25|不远处，一座又一座山峰延绵起伏，高处的积雪还未融尽，连绵出一片雪白。
0:33:25|0:33:33|[蓝天]坐在轮椅上，面朝着众户环绕的群山激动地喘息着，一旁的羊静静地注视他。
0:33:33|0:33:41|两久，[蓝天]落下泪水，面朝山河，他终于感受到自己的生命是自由畅快，不被禁锢的。
0:33:54|0:34:2|看着抽气的[蓝天]，[杨柳松]默默地走到他的身后，微风吹拂着两人的衣巾，天色晴朗，清澈纯净。
0:34:2|0:34:16|两久，[蓝天]觉察到身后的[杨柳松]，他转过头，欢快地将相机递给他，让他帮忙给自己拍照，随后摘下帽子，拉开拉链，整理好头发，端坐起身，露出灿烂的笑容。
0:34:17|0:34:26|[杨柳松]接过后退了几步，蹲下身便准备N快门，却被[蓝天]发现没有摘掉镜头盖，[蓝天]笑着提醒他。
0:34:53|0:35:12|此刻，[杨柳松]站在测绘仪上，[蓝天]迎着阳光的脸庞和温暖纯净的笑容在她面前浮现。
0:35:54|0:36:1|海拔5117米，[杨柳松]昨夜的住处是一片白茫茫的雪地。
0:36:1|0:36:11|清晨，他在沸腾的小锅里放下一勺蛋白粉，一些奶酪和调味料，随后端上锅走到外面，一边吃一边向远方望去。
0:36:12|0:36:23|白云低垂，引入地平线下，挨挨的白雪地上，成群的牛羊连成纵队，慢慢地向东边行进着，[杨柳松]静静地望着，驻足良久。
0:36:35|0:36:43|半晌，他继续动身出发，没走多久，风雪便再次降临，凄厉地吹刮着这片荒原。
0:36:43|0:36:53|[杨柳松]推着自行车，急速而下的冰雪如烈刃一般划过他的身体，这让他的每一步都无比艰难，终于雪停了。
0:36:53|0:36:59|羊走到一片冰川，这里的冰雪已经消融，留下了一条徜徉而过的河流。
0:37:11|0:37:17|夜晚，[蓝天]躺在帐篷里，面色虚弱痛苦，他闭着眼睛，不断喘吸着。
0:37:17|0:37:23|时间来到早晨，[蓝天]猛地从地上坐起。
0:37:30|0:37:34|[杨柳松]升起小锅，一边煮东西，一边取暖。
0:37:34|0:37:40|慢慢地，他陷入了沉思，身体的不适让他感到担忧和迷茫。
0:37:43|0:37:47|抬起头，帐篷外赫然出现一个动物的影子。
0:37:47|0:37:52|[杨柳松]大惊失色，他往帐篷外看去，一只狼正在注视他。
0:37:52|0:37:57|他急忙拉上帐篷一侧的拉链，可另一侧，那只狼已经站在了。
0:38:8|0:38:12|羊拿着小锅，不断地抵抗想要靠近的狼。
0:38:12|0:38:19|狼向后退了几步，羊趁势想要拉上拉链，可下一秒，狼又吠叫着冲了过来。
0:38:19|0:38:22|几轮反攻后，[大狼]终于暂时撤退。
0:38:22|0:38:28|羊慌忙地拉上拉链，拿着锅紧张又警觉地躺在帐篷里。
0:38:28|0:38:30|突然，[大狼]的影子又出现在了帐篷外。
0:38:34|0:38:42|[大狼]还在不断地试图进入帐篷，恐惧让羊几乎失去了理智，他拿着锅不断地向外面的影子打去。
0:38:54|0:38:59|羊精疲力尽，躺在帐篷里痛苦地喘吸着，久久不能平息。
0:38:59|0:39:6|外面，两只[大狼]还在用爪子不断地扒拉帐篷，用鼻子顶着巷里探索。
0:39:6|0:39:9|其中一只来到帐篷角，伸出舌头对着帐篷舔舌。
0:39:10|0:39:21|久久没有动静后，那只[大狼]开始在原地挖起了坑，而里面的羊此刻难掩崩溃，它将锅放到自己的头顶，闭上了眼睛。
0:39:21|0:39:25|两只[大狼]在外面不断地徘徊着，并没有离开的意思。
0:39:26|0:39:33|今天的时间算是白费了，被[大狼]困住，羊只能坐在帐篷里整整一天，一直等到夜幕降临。
0:39:33|0:39:44|他侧躺着，侧耳细听着外面的动静，确认没有响动，他才打开头顶的照明灯，小心地半坐起身，不敢发出丝毫的声音。
0:39:44|0:39:53|紧张使他愈加口干舌燥，他拿起身旁的保温杯往嘴里倒，可杯子里早已空空如也，一滴水也没有。
0:39:54|0:39:58|[杨柳松]口口难耐坐起身，胶着地在帐篷里扫射着。
0:39:58|0:40:8|目前，帐篷前方里的一块凹陷里有一些来历不明的积水，这吸引了[杨柳松]的目光，它直勾勾地盯着地上那滩水。
0:40:8|0:40:14|几乎没有犹豫，它爬了过去，匍匐在地上将水瞬息进嘴中，一饮而尽。
0:40:33|0:40:44|喝完了水，[杨柳松]向拉链的地方慢慢靠近，他小心地判断着外面的情形，疲惫的眼里充满了紧张。
0:40:44|0:40:55|确认了没有动静后，[杨柳松]穿上冲锋衣，一手拿锅，一手拿保温杯，屏气凝神地将拉链拉开一个缝隙，用保温杯向外探取。
0:41:15|0:41:21|[杨柳松]无力地躺着，眼神涣散呆滞，帐篷外传来阵阵凄烈的狼嚎声。
0:41:37|0:41:52|[杨柳松]关上头顶的灯，帐篷里瞬间一片漆黑，狼的嚎叫声还在外面不断地响起，冰死般的绝望和崩溃疯狂席卷着他，他将胳膊搭在眼睛上，拳头紧握小声地抽气颤。
0:41:52|0:42:3|场景再次来到启程前，沙地里，[杨柳松]正在帮[蓝天]将车推出沙坑。
0:42:17|0:42:24|车推出了坑，[蓝天]停了下来，[杨柳松]喘吁吁地走过去，靠在了车身上。
0:42:24|0:42:29|他接过[蓝天]从车里递来的矿泉水，大口大口地灌了下去。
0:42:29|0:42:41|一旁，[蓝天]也打开保温杯，痛快地喝了一番。
0:42:41|0:42:42|[蓝天]关心地询问道。
0:43:59|0:44:3|[杨柳松]意识到自己说错了话，略带歉意地看着[蓝天]。
0:44:3|0:44:8|[蓝天]摘下车内后视镜上拴着的小哨子递给了[杨柳松]。
0:44:16|0:44:24|画面回到此刻，帐篷里的[杨柳松]回忆着[蓝天]的话语，目光移向了挂在书包上的那枚哨子。
0:44:24|0:44:34|他抽出片刻，将哨子解了下来，拿在手中端详，恍然大悟。此刻，哨子或许可以像曾经救了[蓝天]一样也救他一命。
0:44:35|0:45:0|他振奋起来，坐起身向后看了一眼。他也不确定吹响之后是福是祸，但眼下似乎只能拼死一搏。终于，他鼓起勇气吹响了哨子。
0:45:0|0:45:16|这似乎是有效的，外面顿时没了动静。第二天天一亮，[杨柳松]将自己裹在帐篷里，只把头从拉链里伸出去看看路，推着自行车仓皇而逃。
0:45:16|0:45:23|他从山坡上捏手捏脚地走下来，回头向上一看，两只狼正站在坡顶盯着他。
0:45:23|0:45:33|事情不妙，[杨柳松]慌忙地拱着腰小跑起来，没跑几步，他突然杀出脚步，向上一看，两只狼还在跟随着他的移动。
0:45:44|0:45:49|太阳刺眼的光从坡顶照下来，笼罩着它们蓄势待发的身影。
0:45:49|0:45:54|紧张和恐惧让[杨柳松]的额头布满了密密麻麻的汗珠。
0:45:54|0:45:58|它以帐篷做掩护，让狼暂时不敢靠近。
0:46:2|0:46:5|它骑上自行车，开始飞速逃亡。
0:46:18|0:46:21|二郎健壮，从坡顶冲着[杨柳松]跑来。
0:46:21|0:46:26|极度的慌乱下，[杨柳松]从山丘上摔了下去，顿时人羊马翻。
0:46:26|0:46:32|他一路滚到地上，还没稍作喘息，抬眼便看到山丘上的两只狼。
0:46:32|0:46:40|他连忙推着车子继续逃命，而不低的山丘也让两只狼一时被困住，在原地徘徊着。
0:46:40|0:46:44|健郎没有追上来，[杨柳松]放松了下来，继续正常赶路。
0:46:52|0:47:0|他推着车子走到一处凹凸不平的石子路上，一旁的山丘上突然传来了一阵异响。
0:47:0|0:47:7|他停下脚步向上看去，只见一只乌鸦仓皇飞过，山体上的一些石块也骤然掉落。
0:47:15|0:47:27|感受到危险的气息，[杨柳松]急忙加快速度向前走，缺[杨柳松]使它不得不同时张开嘴巴呼吸，而山丘上的骚动，正是那两只狼引过来的。
0:47:27|0:47:34|下一秒，它们便一前一后地将[杨柳松]围了起来。
0:47:34|0:47:39|看着眼前尖嘴獠牙满目狰狞的狼，[杨柳松]颤颤巍巍地掏出一把匕首。
0:47:51|0:48:0|几声吠叫的试探后，两只狼突然迅速一前一后向[杨柳松]跑过来，崎岖的石块让慌乱的[杨柳松]跌坐在地上。
0:48:0|0:48:3|它躺在地上，拿匕首冲着向它扑来的狼疯狂地挥舞。
0:48:10|0:48:19|难以抵挡的[杨柳松]抱着头缩在地上，但奇怪的是，狼突然停止了进攻，向后看了几眼后便兴兴离开。
0:48:19|0:48:37|耳边一阵重重的脚步声响起，[杨柳松]坐起身，茫然地环顾四周，一只体型硕大的黑熊赫然出现在眼前，它被吓得连连后退，谁知黑熊只是从它身旁路过，走到前面后回头看了它一眼便快速离开。
0:48:38|0:48:43|满地尘土里，[羊]看着黑熊远去的背影，感到难以置信。
0:48:48|0:48:54|它悬着的心终于落了下来，躺在地上，它长舒了一口气。
0:48:54|0:48:59|画面一转，[羊]来到一座山丘的角落，收拾好行装并扎起了帐篷。
0:49:55|0:50:0|冷风还在呼啸，[羊]抬起头，目光涣散疲惫。
0:50:0|0:50:12|云层随着时间的推移不断漂浮流转，渐渐完全消失，将太阳的光芒全部暴露出来，炽热地照耀在铃铁的石块和[羊]的身上。
0:50:12|0:50:17|[羊]一动不动地坐着，身旁的狼也趴了下来，同时密切地关注着[羊]的一举一动。
0:50:31|0:50:36|二郎见状，警觉地坐了起来，戒备地盯着[杨]。
0:50:36|0:50:41|[杨]将饼送进自己的嘴里，狠狠咬了一口，随后将它向郎弟扔去。
0:50:51|0:50:55|[杨]将饼扔到狼的面前，狼却毫无反应。
0:50:55|0:51:1|[杨]无奈，只能又掏出一块肉干，同样放在嘴里嚼了一口后，丢向了狼。
0:51:1|0:51:6|这次终于将它吸引，两只狼纷纷跑上前叼起来去吃。
0:51:6|0:51:10|[杨柳松]立即起身，飞奔而逃。
0:51:10|0:51:15|恍惚中，她出现了幻觉，两只狼似乎变成巨物，在她的身后穷追不舍。
0:51:22|0:51:27|他飞速跑进帐篷里，拉上拉链，拿起匕首，惊恐地盯着外面。
