0:1:34|0:1:39|此时[李艳]对着镜子疯狂擦汗，然后张开嘴打开了电风扇。
0:11:22|0:11:31|看到对方居然不认识自己，[司机华]赶忙翻了翻手机通讯录，然后立刻发短信向[李艳]道歉，说自己发错了号码，
0:11:41|0:11:51|[李艳]发完短信后连忙向病房中的病友们道歉，发错短信被骂的[司机华]看到[李艳]的回复后，尴尬地拉起床上的毯子睡了过去。
0:11:51|0:12:1|此时[李艳]坐起身看了看四周的病友们，发现他们都睡得很熟，于是她又靠了回去，并将双脚踩在凳子上。
0:12:1|0:12:16|她拿着手机晃了晃之后，抬头看向输液瓶，响了一会又拿起手机，[司机华]的手机响了，他拿起来看了看，原来[李艳]又发给[司机华]。
0:12:17|0:12:25|[司机华]看完后回复她一句，刚刚不是说发海外短信很贵嘛。[李艳]想了想，坐起身一字一句地回复道：
0:12:32|0:12:37|[司机华]回复到自己当然有梦想，然后又问[李艳]是做什么的，为什么会中暑呢，
0:13:4|0:13:19|想了一会儿又改成了法拉利车手。[李艳]看到短信后脸上也充满笑容，一边说又一边重新靠在椅背上。
0:13:19|0:13:35|[李艳]笑了笑，发出了自己的疑问，发完之后将手机屏幕放在自己领子上擦了擦，之后对着屏幕哈了一口气再次擦了擦屏幕之后，[李艳]靠在凳子上甜甜地睡了过去。
0:13:35|0:13:42|此时镜头转到了夜晚的香港，
0:14:21|0:14:47|此时寿司师傅将寿司放在了[Wasabi]面前。她羞涩地笑了笑，寿司师傅尴尬地看向[Wasabi]的旁边，
0:15:1|0:15:25|然后慢慢地收拾餐桌，[Wasabi]则开始吃起了寿司，她放进嘴里嚼了嚼之后，眼眶中充满了泪水，然后她慢慢吞下嘴中的寿司，低着头，眼珠子左右转了转，抬头看到这一幕，寿司师傅急忙问道：[Wasabi]深吸一口气，笑着对寿司师傅说：
0:15:27|0:15:35|一边说着她一边用眼睛牢牢盯着寿司师傅，寿司师傅听完后赶忙，低下头，
0:16:36|0:16:43|[Wasabi]一把将手旁的陶瓷杯子打翻在地，寿司师傅急忙从餐桌对面走了，出来走到[Wasabi]身边，
0:16:49|0:17:8|看到[Wasabi]将水泼到寿司师傅脸上，鱼仔遗憾地说道：画面来到一处高层建筑当中，[Wasabi]坐在窗边用圆珠笔挠着头发，她的表情看上去十分悲伤，仿佛下一秒就要哭出眼泪。
0:17:8|0:17:18|随后她深吸一口气在笔记本上写上，最后一笔写完，圆珠笔也没有油了，于是她不断地在本子上发泄着。
0:17:18|0:17:26|另一边，寿司师傅不断地练习着刀功，表情看上去十分严肃，扔下刀后他直直地望向前方，
0:18:35|0:19:1|原本走到门口的模特沅沅听到这句话，流着眼泪狠狠盯着[Leslie Guan]。隔天一大早[Leslie Guan]慌乱地说道：他坐在床边，双手在空中不断摸索着，然后抬起右手使劲揉了揉自己的眼睛，最后将两只手伸在自己的面前，他发现眼前一片模糊，只能看到一点微弱的光，他摔到床上后又说道：
0:19:3|0:19:9|随后他摸索着拿起一杯水用手蘸了蘸抹到自己眼睛上，
0:19:16|0:19:24|[医生]拿起一本杂志激动地说：
0:20:4|0:20:12|说完这句，[司机华]起一对耳塞放到自己耳朵中。
0:20:24|0:20:45|[李艳]听完将手机扔到沙发上，听到短信铃声响了，她急忙从沙发背上跨过，翻开手机，看到署名是法拉利车手的人发过来，于是[李艳]趴在沙发背上开心地回复着对方，[司机华]开车时手机响了，他拿起来一看，原来这两个人还在联系[司机华]，说正在试车。
0:20:49|0:20:56|寿司师傅看到后没有理会，而是在店里忙着给客人做寿司，做好后将食物放到客人面前。
0:20:56|0:21:3|正准备接电话时，听到客人说，于是他又把手机放了下去。
0:22:3|0:22:28|寿司师傅蹲在餐桌下听着，[Wasabi]呆呆地说着。听完他的留言，寿司师傅按下了结束按钮，低头看着手机，随后立刻拨出了电话，原来是打给[Wasabi]，[Wasabi]正要接电话时，突然一辆车撞了过来，撞车的人正是一边开车一边回复短信的[司机华]，
0:22:28|0:22:31|好在车祸并不严重，只是车头和车门撞在一起。
0:22:31|0:22:36|此时香港的另一边，
0:22:54|0:23:13|于是正在修东西的[阿威]上前接过了这个粉红色的空调。夜晚街道边，[阿威]启动小摩托车后，正在戴安全帽，一辆摩托车经过溅了他一身水，看到对方竟然不道歉，[阿威]急忙骑上小摩托追了上去，然后两辆摩托车在狭窄的小道中不断穿梭着。
0:23:13|0:23:34|很快前面那辆摩托车加速拐进了一条小道，[阿威]骑着小摩托车只能勉强跟上，又经过一个路口之后，前面的摩托车向左拐去，慢慢赶上的[阿威]只能随便猜了一个方位向右开去，开出一段距离后，他停下了前进的步伐，隔着头盔他好像听到了那辆摩托车的油门声，
0:23:34|0:23:54|于是他三两下解下头盔的绳子闭着眼睛仔细听着，大概有了方向之后，[阿威]立刻向前开去，只不过没有判断准确，看到了那辆摩托车与他隔着一条小道擦肩而过，因此他急忙掉头从他街上冲下去，继续追在了那辆摩托车的正后方。
0:23:54|0:24:9|而此时一辆摩托车的主人[叮当]停下来卸下了头盔，[阿威]追上来发现[叮当]是女生后突然没有了声音，看到[叮当]离开后，他急忙停下车，车没有停稳，直接倒在了地上。
0:24:9|0:24:15|[阿威]看了看卸下头盔向[叮当]追去，
0:24:21|0:24:33|说完从脖子上拿下摩托车的钥匙扔给了[阿威]，然后她一步一步走过沙滩，踏进了海里，当海水逐渐没过她大腿的位置时，[叮当]一个俯冲，正式开始了游泳。
0:24:33|0:25:6|夜色下她在海水中舒展着身体，柔弱的四肢，有力地拨开水面，随后又改变了姿势，双手交替拍打海水，一点一点向前方游过去，她游过的地方留下大量气泡，结束之后[叮当]在海滩边冲着澡，[阿威]靠在墙上背对[叮当]说道：[叮当]没有理会，擦了两下胳膊，甩了甩手之后，从[阿威]身上拿过自己的短袖，
0:25:6|0:25:27|然后一边穿一边说道：穿好了短袖之后，她回头看了一眼[阿威]，拽下自己的钥匙后离开了，之后两人并排坐在各自的摩托车上，[叮当]戴好头盔后，扭头看了一眼[阿威]的车，
0:25:38|0:25:43|[叮当]抬起小车轰起油门，将头盔面罩放下后迅速开了出去。
0:25:43|0:25:53|[阿威]原本一脸自信可以追上，哪知道自己的小摩托车突然打不着火了。气急败坏的他冲着[叮当]离开的方向比了一个掐脖子的动作，
0:25:53|0:26:1|离开海边，[叮当]骑着摩托车停在医院门口，
0:26:19|0:26:41|[叮当]抓着小女孩的手，微笑着和对方商量，但小女孩没有回答，而是轻轻地闭上了眼睛，听着她低低喘气的声音，[叮当]拉起她的小手放在嘴边，疼惜般地亲了亲之后。
0:26:41|0:26:47|突然感觉到左前方有什么东西，[叮当]抬起头，用充满泪水的眼睛望了望，
0:26:47|0:26:54|发现窗户外面飞舞着一只蝴蝶。镜头随时转到[小方]这边，
0:27:2|0:27:8|小伙子看了看太阳之后伸手问[小方]要钱，[小方]一脸嫌弃地从鞋里掏出钱递了过去，随后将草帽扣在对方头上，
0:27:13|0:27:19|小伙子听完后急忙跑走。[小方]则是靠在小树旁，工厂的休息铃声响了，
0:27:23|0:27:41|[小琪]仔细数着玻璃瓶中的塑料眼珠子，然后回过头看向窗外，那个小伙子用草帽盖着脸，在太阳底下站着，[小琪]又往玻璃瓶中扔了一个塑料眼珠子，[小方]则是坐在小伙子的斜后方，一边喝着冰汽水一边看着他。
0:28:20|0:28:33|[Leslie Guan]和[大福]遇过房东，到了沅沅住的北京小房间里面，[大福]说完，在桌子上发现了一本杂志，然后急忙举到[Leslie Guan]面前。
0:28:47|0:28:53|[Leslie Guan]快速将手抽回，整个人已在门框上十分害怕。鱼仔问鱼女。
0:29:52|0:30:20|听到短发学徒骂自己，寿司师傅低下了头。此时[Wasabi]的电话响了，躺在浴缸中的她看了一眼来电显示，高兴地吹了吹身上的泡泡，并没有理会，原来是寿司师傅打的，看没人接听，他挂了电话。[Wasabi]自言自语地说：
0:30:21|0:30:36|她撕下三张便利贴粘在窗户上，此时上面已经被十几张贴纸围成了一个心形。画面一转到了一处六层的居民楼，[司机华]的女儿草莓问他下午自己有朗诵比赛，他能不能过来看。
0:30:41|0:30:51|草莓一听，抱怨地说道：怎么又是这样，然后[司机华]冲她解释，自己必须要去赚钱，草莓不满地从沙发上走向[司机华]。
0:31:0|0:31:13|[司机华]说了一句啰嗦，草莓拿起书包就向门口走去，走到一半，她回头向父亲说道：说完头也不回地打开家门走了出去。
0:31:13|0:31:35|看着草莓离开后，[司机华]转身看向自己的左前方墙上和架子上摆的都是草莓获奖的钢琴表彰证书，另一边[李艳]闭着眼睛陶醉地给客人按着脚，[李艳]急忙道歉，然后用力拔着客人的脚趾。
0:31:35|0:31:52|画面一转，[小方]搬来一个和他等高的假人，还给他穿上了和自己一样的衣服，将它靠在大树上之后把自己的草帽扣了上去，然后回头望了望，迅速地躲在大树的背后，坐在树干下，并长长舒了一口气。
0:31:52|0:32:3|此时[小琪]端着做好的玩偶，从工厂的过道走了过去，看到人，背靠着大树直直站着偷偷地笑了笑，突然人斜着摔倒了。
0:32:3|0:32:15|小琪也恰好摔倒在门口，瞬间惊醒的[小方]立刻上前用土埋着摔得四分五裂的假人，注意到大树旁的动静，小琪立刻拿着玩偶跑了过去。
0:32:30|0:32:43|[小方]将[小琪]靠在大树上，并且一脚踢飞了假人头，突然[小方]又看到[小琪]身后的假手，
0:32:54|0:33:5|说完[小琪]闭着眼睛将玩偶递给[小方]，发现递错东西了，于是[小琪]用另一只手把东西给了对方。
0:33:6|0:33:15|[小方]低头看了看，手掌心上面是一个清凉油，而[小琪]送完清凉油之后就迅速跑进了工厂中。画面一转，
0:33:18|0:33:25|[叮当]问纹身师傅，纹身师傅放下机器，说道：
0:33:37|0:33:56|纹身师傅点了一根烟笑着说道：[叮当]听完示意她上前，[叮当]没有理会纹身师傅的话，而是吹了吹刚刚纹好的图案，
0:34:10|0:34:32|[叮当]依旧吹着纹身，笑了笑没有回答。此时在香港的街头，[叮当]拿着一根冰棍走了过去，[司机华]则是不断叫卖着无敌冰沙，称吸管是自动消毒的，大家可以免费品尝。
0:34:33|0:34:38|这个无敌冰沙非常吸睛，[司机华]只露了一个头和四肢将其穿在身上，
0:34:48|0:34:55|因此人群将街头堵得水泄不通，年轻男子走到[小方]面前激动地说道：
0:34:59|0:35:22|[小琪]端着玩偶像，听到口哨声之后，她发现[小方]居然坐在对面的房顶上，停下脚步偷偷笑两声，她再次端着玩偶向屋外走去，烈日下[小方]、[李艳]寿、司师傅、[司机华]、[叮当]、[Wasabi]，[小琪]，[阿威]等人都陷入热恋。
0:36:2|0:36:8|香港的沙滩上挤满了来凉快的人群，
0:36:35|0:36:43|一男一女被[阿威]的笑话乐弯了腰，大海中穿着火辣的男女正在狂欢。
0:37:8|0:37:22|听到修车师傅的建议，[阿威]躺在满是冰块的浴缸里出售了自己，将电脑架在浴缸上面，他闭着气钻进水中，憋不住后坐了起来，突然看到真的有人要出钱租自己，吓得他急忙吐出一个冰块。
0:37:22|0:37:31|此时网上的价格还在不断攀升，原来[阿威]不仅将自己的照片放上了网，还将标题命名为猛男维修冷气。
0:38:25|0:38:43|[阿威]喝了一口饮料，竖起耳朵听着，画面一转，[叮当]骑着摩托车到了威信冷气门口，[阿威]停在她身边说：
0:38:49|0:39:11|说完[阿威]将改装好的摩托车亮起了尾灯。随后二人一起骑着摩托车来到大桥上，[叮当]的摩托车明显更专业，自然地开到了前方，但[阿威]的小摩托也不甘示弱，已经改装后的车并没有落后多远，因此他也是不断变换着方向企图超越前方的[叮当]。
0:39:11|0:39:21|突然他拧动油门按下了氮气开关，瞬间就超过了[叮当]，看到自己领先了，[阿威]得瑟地向后看了看，随后将手放在屁股的方向比了个Yeah。
0:39:21|0:39:30|[叮当]看到这里自然也是生气地向前方吼了出来，之后二人停在了一处阶梯旁，
0:39:41|0:39:55|看到[阿威]靠在自己身边，[叮当]恼怒地问他，[阿威]指了指自己的小摩托，[叮当]扭头，说完他一步一步地踩着台阶走了上去。
0:39:57|0:40:6|同一时间段，繁华的北京被深夜笼罩着，道路上是来往的车辆，[Leslie Guan]和[大福]商量着。
0:40:17|0:40:23|此时[Leslie Guan]将烟头不小心戳进了棉质的沙发扶手，很快扶手就被点燃了，
0:40:28|0:40:36|[大福]急忙将他从沙发上拉进了客厅，
0:40:44|0:40:55|于是[大福]立刻向房间深处跑去，来到卧室后，他一边捂着嘴一边走进了书桌的位置，看到上面的钱包后立刻拿起来转身就跑。
0:41:13|0:41:22|[司机华]看到急忙离开的草莓也是高声呼喊，但是草莓并没有理会他，[司机华]坐在沙发上生气地翻着报纸，草莓则坐在窗边写着作业。
0:41:39|0:41:47|得到否定的回答后，[司机华]说一个小时赚五十块，草莓搬了搬手指，请求到能不能给她三十块，[司机华]听完后撇着嘴，
0:42:0|0:42:12|于是草莓立刻从窗户边起身回到自己房间，顺便关上了门，想了一会儿，[司机华]走到草莓的门外，深吸一口气，从口袋里掏出了钱包，抽出三十块从门缝里塞了进去。
0:42:12|0:42:30|第二天一大早，[司机华]因为关门的声音从床上醒了过来，满头大汗的他望了望门的方向，随后缓缓地用手肘撑起上半身，之后他转向窗户的方向，迷迷糊糊中看到了什么东西，他迅速坐起身，[司机华]将他拿了过来。
0:42:42|0:43:0|[叮当]来到威信冷气门前对[阿威]说道：[叮当]只好把银行卡塞回口袋，然后双手合十，
0:43:12|0:43:24|原来是[叮当]把头盔扔在[阿威]身上，[叮当]又指了指地上，于是[阿威]捡起头盔走到她的面前，然后坐在自己的小摩托车上，
0:43:54|0:44:7|看到婆婆伸出手，[叮当]示意[阿威]赶紧弯腰抱住对方。被婆婆搂住脖子后，[阿威]慢慢地用手扶住她的胳膊，抬起头看到对方难以睁开的双眼，
0:44:7|0:44:15|满头是汗的他不断地安抚着对方。夜晚，香港的维多利亚港上船只来往频繁，
0:44:15|0:44:38|一个婆婆的离去对这个城市来说似乎不是什么重要的事情，随后画面一转，[阿威]站在[叮当]身后，看着她温柔地笑着，被偷亲的额头之后，[叮当]给了[阿威]一巴掌，
0:44:54|0:45:14|[叮当]听完，回头看一下和自己并排站的[阿威]，他冲自己笑了笑之后上前了一步，看到对方盯着自己的嘴唇迎了上去，[叮当]眨了眨眼睛，随后视线也放在[阿威]的唇上，另一边[Wasabi]家的窗户上，用便利贴围成的星星还差三个就可以填满了。
0:45:25|0:45:56|[李艳]婷下扇扇子的动作回答道：由于太激动，她的头撞在上铺的床板上，然后她在出租屋内手舞足蹈地庆祝着，换上一身连衣裙后，[李艳]跑到面试厅，向三位面试官道歉之后，她急忙坐在钢琴前，调整了一下呼吸，面带微笑地开始了自己的弹奏。
0:45:56|0:46:3|美妙灵动的琴声从她的指尖流淌而出，像缓缓流淌的溪水十分舒适安逸。
0:46:3|0:46:23|此时我们仿佛可以看到有两只蝴蝶在欢快地嬉戏着，阳光下它们挥舞着翅膀你追我赶，时不时围绕在花朵间躲着迷藏，偶尔撞向花瓣上，还能碰下一地的花粉。
0:46:23|0:46:44|突然[李艳]的手不听指挥了，她的左手食指关节有一个大大的水泡，疼痛使她根本不敢用力，狠狠地摁了两下琴键之后，她颤抖着将双手从钢琴上撤了下来，扭过头笑着道歉，然后再次看了看面前的钢琴，背着包走下台阶，从面试厅走了出去。
0:46:47|0:47:0|[司机华]卖冰沙边发短信，欢迎坐在公交车上，[李艳]的手机响了，他打开一看是[司机华]问她演出是否成功，被这样关心之后，[李艳]没有忍住，委屈地哭了出来。
0:47:1|0:47:28|坐在她旁边的乘客注意到了，[李艳]又哭出了声音，[司机华]冲着周围人说：然后再次拿出手机回复[李艳]，此时[李艳]拿着卫生纸不断地擦着眼泪，手机响了，[司机华]说道，莫扎特一生坎坷，但他仍然乐观，所以一次小挫折，对[李艳]来说也不是什么大问题，相信她一定会克服的，日后加油就好了。
0:47:28|0:47:38|看到这儿[李艳]丽开嘴笑了出来，看了看短信又望向了天空，慢慢地将眼泪憋了回去，另一边[Wasabi]坐在玻璃窗前，
0:47:49|0:48:7|[Wasabi]低头又写了一张便利贴，然后将它贴在玻璃窗上，此时她举着手机乞讨着。
0:49:32|0:49:41|听完[Leslie Guan]翻过身，用他看不清的眼睛死死地盯着天花板，眼眶中泪水在打转，此时[司机华]和光头朋友走进了足疗店，
0:50:4|0:50:32|[司机华]表示自己算老几，怎么可能愿意出来，此时两个按摩师走了进来，[李艳]站在光头怂恿下在对面放下盆子后说道：看到[李艳]旁边的女按摩师似乎笑得很开心，光头朋友急忙要求和[司机华]换位子，于是[李艳]就走到了[司机华]对面坐了下来，
0:51:34|0:51:45|没有在意[李艳]纠正自己的发音，[司机华]拿过一旁的手机按了几下。原来是发给了[李艳]。
0:51:49|0:51:58|[李艳]一边微笑一边用力地摁着[司机华]的小腿，他被摁疼了，拿着手机在胸前痛苦地叫着。
0:52:0|0:52:8|在食堂，小丽冲[小琪]说道：进来，[小琪]静静推开门走进去，然后小新走到老板面前，
0:52:16|0:52:25|画面一转，[小琪]正在给妈妈打电话，说明天自己会寄钱回家，不用担心。听到妈妈提起老板，她表示自己知道对方很喜欢她，还没说两句就被妈妈暗示一番，
0:52:33|0:52:50|自己一定会让家人们过上好日子的。第二天早上，[小琪]骑着车子从小卖部旁经过，面对跑出来打招呼的[小方]，她没有理会，而是皱着眉头骑进了工厂，[小方]一脸疑惑地望着她离去的方向。
0:52:50|0:53:19|另一边，草莓拿着玩偶从房间里走出来，[司机华]坐在沙发上拿手机问莫扎特第五百四十五首奏鸣曲有什么故事，[李艳]回答道：[李艳]一边在小摊上吃着米线，一边看着手机，[司机华]回答说：因为自己女儿，[李艳]放下筷子，气愤地用双手打字回复对方，
0:53:20|0:53:33|[司机华]躺在沙发上认真地写道，自己老婆一年前跟别人跑了，[李艳]看完激动地拍了拍桌子，随后笑着打下一行字。
0:53:34|0:53:48|[司机华]看到后没有在意，而是说草莓以前非常喜欢弹钢琴，而且非常有天分，但是自从妈妈离开后，她就再也不愿意弹钢琴了，[李艳]得到这样的回复后，第一时间并没有说什么。
0:54:32|0:54:48|[阿威]拿着灯泡一家家地问过去，[阿威]听完后急忙将手绢塞进上衣口袋，他将灯泡从包装盒拿出来仔细看了看，随后将其拿到自己耳边晃了晃。
0:54:48|0:54:58|听了听声音之后，他急忙从口袋掏出钱递给老板，走在街上，他不断地看着这个灯泡，突然他和[阿威]撞在了一起。
0:55:19|0:55:26|打了[阿威]一个大巴掌，刚买的灯泡也不小心摔碎在地上，看着地上的灯泡，又看看[阿威]之后，
0:55:26|0:55:31|叹了一口气离开了。[阿威]依旧保持防御的姿势，
0:55:31|0:55:50|看到[阿威]离开后，他先是望了望他的背影，随后又看了看地上摔碎的灯泡，在来往的人群当中，他蹲下身，从地上捡起灯泡的金属外壳，皱着眉头仔细看了看，小丽拿着盒子递给小琪。
0:55:53|0:56:0|食堂里，[小琪]一手端着饭，一手拿着礼物。
0:56:0|0:56:9|[小琪]打开轿车后门坐了进去，
0:56:17|0:56:35|工厂的同事扶着自行车从轿车旁走过，[小琪]急忙低下头，随后轿车从工厂门口驶了出来，抱着蛋糕坐在门口的小方看到后，起身将蛋糕扔向了车尾，[小琪]听到后并没有回头，而是瞪大眼睛不知所措地低下头，
0:56:35|0:56:42|包装精美的蛋糕摔了一地。夜晚，小方流着汗拿着焊接面具，不知道在焊接什么东西。
0:56:42|0:56:51|镜头拉近，原来他在给自行车的车头装了一个豪华轿车的标志，老板被吵醒之后，看了看他说道：
0:57:1|0:57:9|[小方]边说边把焊接面具扔在地上，
0:57:11|0:57:29|另一边的香港，[司机华]和草莓正在餐桌旁对着一个大蛋糕庆祝生日。生日歌唱完了，[司机华]对这蛋糕许了一个愿望，然后一口气吹灭了蜡烛，吹完之后[司机华]问草莓知不知道自己许了什么愿望。
0:57:39|0:57:54|[司机华]还是很想听并夸奖草莓弹得非常好，而且草莓自己也很喜欢，听到草莓说已经不喜欢弹钢琴了，[司机华]坐直了身子严肃地问她为什么要放弃，草莓表示不愿意弹了。
0:57:58|0:58:18|[司机华]拍着桌子大吼道：草莓双手堵住耳朵，直直瞪着[司机华]，然后说：看着草莓渐渐哭出的眼泪，[司机华]无奈地靠在凳子上，喘着粗气，无奈地摇了摇头，之后又看了看生日蛋糕。
0:58:22|0:58:28|[阿威]放下太阳伞说到：
0:59:18|0:59:32|[Leslie Guan]举起一杯红酒向[大福]说道：后者则是非常的不甘心，[司机华]的手机响了，只不过他此时正躺在沙发上熟睡没有听见，草莓注意到之后从客厅慢慢走过来拿起了手机。
1:0:0|1:0:24|草莓看完了[李艳]发来的所有短信，回头看了看熟睡的[司机华]，然后再次扭头看着手机里的短信，陷入了沉思当中，第二天一大早，强烈的阳光洒向[司机华]所住的小楼，和[李艳]当初面试时所弹的一样的曲子从楼内飘了出来，[司机华]瞪大眼睛挪动步子来到自己家的客厅，
1:0:24|1:0:30|逐渐走到钢琴旁时，他的表情由震惊变成了喜悦。
1:0:30|1:0:36|镜头慢慢拉近，一个小小的人坐在钢琴前流畅地演奏着，她就是草莓。
1:0:37|1:0:54|司机华开心地蹲到她身边，草莓看到后说道：不好意思把你吵醒了，[司机华]开心地表示并没有，然后说这个闹钟他非常喜欢，随后一把揽过草莓的头抱在怀中。
1:0:55|1:1:18|[李艳]看着墙上的装饰鱼，然后吃了一口冰棍，手机响了，她把冰棍塞进嘴里后，拿起来看了看[司机华]，问他现在最想要的东西是什么，走在路上，[司机华]收到了回复，现在最想要一台空调，[李艳]吹着电扇，吃着冰棍说道：[司机华]写道自己可以送她一个，
1:1:26|1:1:32|[李艳]开心地冲墙上的装饰说道：咬了两口冰棍后又听到手机响了。
1:1:35|1:1:48|[司机华]说草莓很想看[李艳]的演奏会，他们两个可不可以来深圳找她，[李艳]看到这儿脸上的笑容突然消失了，她又咬了一口冰棍后，合上手机盯着天花板。
1:1:52|1:2:6|久久没有回复，[阿威]拿着泡面回头找了找，然后将东西递了出去，买家正是寿司师傅。
1:2:44|1:2:58|[司机华]瞥了一眼寿司师傅后说道：听到[司机华]骂自己多管闲事，寿司师傅扭头就走，此时[司机华]又吐槽对方是大爷，然后搬着空调走了。
1:3:0|1:3:14|画面一转，[叮当]正拿着喷漆在墙面上画着图案，眼看着就要画完了，一个警察走了过来，[叮当]拿起喷漆就冲警察脸上喷了过去，
1:3:21|1:3:36|城市墙壁上到处都是[叮当]画好的图案，基本上都是可爱的心形。随后她骑着摩托车到海岸边上，停在这儿，她双手作喇叭状，向远方喊着，夜晚她骑着摩托车到门口。
1:3:46|1:3:59|[叮当]笑着转过身准备骑上车，突然她直直地向前倒去，[阿威]急忙跑上前去查看，随后[叮当]被送往了医院，[阿威]则是坐在她床边守护着，
1:4:0|1:4:7|此时，[叮当]睁开眼睛醒过来，随后将手慢慢抬起放在脖子上。[阿威]将钥匙递了过去，
1:4:8|1:4:49|看到钥匙后[叮当]抬手把它拿了过来，[阿威]抿了抿嘴低下头看着[叮当]说道：[阿威]没有正面回答，看到对方一脸严肃，[叮当]深吸一口气，再次说道：[叮当]慢慢抬起手摸了摸他的脸颊，安慰道：这句安慰并没有让[阿威]放松下来，反而皱紧了眉头，再次看向[叮当]。
1:4:49|1:5:17|夜深了，人们都进入梦乡，但几位主人公都不约而同地失眠了，[李艳]坐在窗户边，拿着扇子扇了风，看了看手机再次放下，然后呆呆地望着天空，[司机华]则倚靠在自家窗户上看了看手机，同样眺望着远方，[Wasabi]在饭店看着用萝卜雕好的[Wasabi]的名字陷入了沉思。
1:5:17|1:5:24|[Wasabi]则靠在窗户边，窗户上还差一个便利贴就能拼成完整的心形。
1:5:24|1:5:29|[小方]蹲在自行车旁看了看焊接上去的轿车标志，狠下心敲掉了。
