0:3:33|0:3:40|[程勇]开着一辆印有王子神油广告的破旧面包车，停在了他父亲住的敬老院门前，
0:28:8|0:28:40|[吕受益]在面包车上给病人提货。提完货上面拉上面包车门，从旁边拿出一沓人民币数起来，他专心数钱，没有察觉到有人靠近面包车。面包车被人从外面打开，一个染着[黄毛]的地痞一样的小伙子站在他面前，两个人大眼瞪小眼，[黄毛]二话不说从旁边黑袋子里拿了几盒药，
0:28:42|0:29:4|[吕受益]拉住他的手，[黄毛]使劲甩开。推拉撕扯间，两个人倒在车下，[黄毛]更快一步地拿起药走。[黄毛]站住，回头走到[吕受益]跟前，[吕受益]慌张地看着[黄毛]，以为他要动手，谁知[黄毛]捡起地上的一盒药，给[吕受益]做了一个挑衅的表情。
0:29:17|0:29:28|[程勇]和[吕受益]到宰猪场找到[黄毛]，[程勇]拿着一个手臂粗的棍子追着[黄毛]，[吕受益]跟在后面，[黄毛]跳到猪圈里，[程勇]下不去脚，就把棍子抡过去打到[黄毛]头上，
0:29:30|0:29:57|这场追逐延续到大街上，[黄毛]踹倒行人，抢过他的自行车要逃走。[程勇]二人上面包车紧随其后。[黄毛]驶向马路加速，[程勇]鸣笛紧追，[黄毛]驶入小巷子，想甩掉[程勇]，然料，[程勇]跟着过来，
0:30:20|0:30:35|[程勇]和[吕受益]下车徒步追[黄毛]，[程勇]到[黄毛]跟前就是一脚，[黄毛]被扑倒，[程勇]把他死死的摁在地上，[吕受益]压着他的腿，[黄毛]难以反抗，[程勇]恶狠狠的问道：
0:30:37|0:30:59|[黄毛]带两人来到一个阴暗潮湿的房子里，[程勇]和[吕受益]发现其实药是[黄毛]抢给一个小姑娘吃的，[程勇]看着周围的一切，嫌弃的眼神里带有一丝怜悯，[程勇]插兜站着，[吕受益]把翻到的药盒递给[程勇]，[程勇]摇了摇药，瓶里没剩多少。[程勇]质问道
0:31:14|0:31:37|[程勇]不懈地切了一声，低头看见桌子上[黄毛]一家三口的照片，他把照片从玻璃垫板中抽出来，仔细端详。[黄毛]没有理会[程勇]的发问，只是那么静静地看着他。[程勇]放下照片。
0:31:42|0:32:1|第二天[程勇]给房东交了房租，保健品的店门终于被打开，这一次[程勇]还带了其他人来这里
0:32:13|0:32:31|[刘牧师]被[程勇]叫来负责跟药商沟通。一番交谈后，[程勇]成为代理商，泰国药商开始一箱箱药走私运送到中国，[程勇]也在这场生意中赚到了一张张钞票，
0:33:4|0:33:51|由[程勇]、[吕受益]、[刘思慧]、[刘牧师]和[黄毛]组成的5人卖药组也由此成立，大家在这场合作中互相换取自己想要的东西。[程勇]、李胜义和[黄毛]来到码头验货提货。三人用面包车把印度格列宁运送到保健品店，病人们得到消息，来[程勇]这儿排起长队购买格列宁。[刘牧师]也在教堂组织起病友购买印度格列宁，之前组织起来的各个病友群主也替[程勇]在各大医院卖货。
0:33:51|0:34:55|由于印度格列宁的药价远远低于政府，[程勇]一行人在这场生意里赚得盆满钵满，大家在他的保健品店里清算着收入，[程勇]也就在那儿摆起了老板款，印度格列宁的知名度越来越高，他们的生意也越来越好，从上海各地送来的买药钱堆积在这一间小小的店铺里，5个人开心地在店里手舞足蹈，[程勇]父亲的医药费也有了着落，[程勇]那颗为父亲悬着的心终于放下了，父亲被推入手术室里。这一箱箱药挤满了[程勇]的店铺，平时出入两个人都能撞个满怀，
0:35:37|0:35:57|生意做得风生水起，危险也在皎然而止。[曹斌]在警察局给受伤的手擦药。[曹斌]简单擦了擦，就赶紧起身。
0:37:17|0:37:28|在店里清算分成后分给其他人
0:37:44|0:37:51|[黄毛]面无表情没有说话，从一旁的沙发上拿起衣服作势就要离开
0:37:58|0:38:16|[程勇]靠在皮椅上盯[黄毛]一眼，[吕受益]冲[黄毛]喊道。[刘思慧]把[黄毛]拉到[程勇]面前，快快拿起桌上的药，递给他。[程勇]似笑非笑。
0:38:20|0:39:1|[黄毛]不好意思地说。于是五个人来到第一次见到[刘思慧]的酒吧。大家兴致正浓时，酒吧负责人突然过来。[刘思慧]面露不满，但没反抗，[程勇]介意的看了看
0:39:22|0:39:32|[刘思慧]看了看[程勇]坐回位置，负责人面露不满地扯了扯领带也坐过来，
0:39:42|0:39:49|[程勇]说完大家笑起来，
0:39:59|0:41:4|[程勇]从包里取出钞票，一沓一沓甩在桌子上，负责人愣住，[程勇]接着甩钱，[刘思慧]感激的看了[程勇]一眼，负责人舔了舔嘴巴，看着[程勇]，负责人转身到台上抱着钢管扭起了妖娆的舞姿，[程勇]和[刘思慧]在台下指着他大笑，[刘思慧]在台下大声欢呼也[吕受益]和凌律师捧腹大笑的看着台上跳脱衣舞的男人 ，[黄毛]在台下抱着酒瓶喝酒，[刘思慧]大声喊叫发泄主词，喊着喊着眼眶淋漓的泪水，[程勇]若有所思的看着[刘思慧]，
0:41:25|0:41:39|陈勇执意要[刘思慧]回去，两个人来到[刘思慧]家里，[程勇]对着黑屏的电视整理头发，[刘思慧]推开门，进来[程勇]立刻站起来，假装什么事都没干。
0:41:39|0:41:59|[刘思慧]关了房间里的灯递给[程勇]一杯水，[程勇]拿着水杯不知所措地看着[刘思慧]出去，嘴角微微有点笑意的端起水杯喝水，结果水烫得他吐了出来。
0:42:2|0:42:14|随后他把水杯放在床头柜上，用自己的胳膊肘压了压床上，紧接着他开始手舞足蹈的哼着歌脱衣服，
0:42:16|0:42:49|正当他拖到只剩下白色背心时，[刘思慧]的女儿在门口出现了，他急忙把扔出去的衣服捡回来，尴尬的扯过床上的被子，小女儿在门口面无表情的看着他，[程勇]把衣服穿好，看着墙上[刘思慧]母女的合照，这时候[刘思慧]穿着性感的真丝内衣推门而入，[刘思慧]脱掉睡裙，
0:43:18|0:43:36|[刘思慧]想要脱掉[程勇]的短袖，但是[程勇]表现出抗拒。[程勇]把[刘思慧]推到一边的床上，整理好自己的衣服，[刘思慧]随后起身对[程勇]说，
0:43:56|0:44:16|[程勇]说完拿起自己的外套推门，走出卧室。[刘思慧]跟上去[程勇]关门走了，留下[刘思慧]一个人，
0:44:41|0:44:57|[程勇]并不知道危机来临，和[黄毛]、[吕受益]在店里打牌，三个人你看着我，我看着你。[程勇]面露算计。
0:46:37|0:46:47|[程勇]一行人在会场左右环视举手的人，卖假药的张院士跳着走下台。
0:47:27|0:47:43|张院士在掌声中深深鞠躬，[程勇]一脸嫌弃，张院士又轻快地跳上台，这时他旁边的助手拍了拍他，跟他说了几句话。
0:49:23|0:50:5|[黄毛]看见骗子动手，踩着桌子跨过人群，一脚踹到骗子，其他人在台下惊呆了，几个保安开始围攻[黄毛]，[刘思慧]见状扎起头发，拎着椅子冲到前面，用椅子砸向保安，保安被[刘思慧]砸趴下，[程勇]和[吕受益]也加入其中，[程勇]顺手拿起玻璃瓶砸向拽[刘思慧]头发的保安，会场一片混乱，[程勇]一行人和对方激烈地扭打，所有人都拿起手上能拿到的东西摔打对方。[吕受益]把纸箱子扣在保安脑袋上，保安和[吕受益]争夺人形立牌，保安被他甩在地上，桌上被垒成小山状的假药也被[吕受益]推翻。
0:50:5|0:50:34|会场买药的病友立刻向前哄抢地上的假格列宁。[吕受益]用没有脑袋的人形立牌挡住自己，[黄毛]一个人对打一群保安也不落下风，[黄毛]摔在地上，[程勇]立刻跑过去相助。[程勇]一拳打到保安脸上，拉走地上的[黄毛]。5个人被假药团伙围在中央，卖假药的张院士满嘴是血地扶着腰从地上爬起来，恶狠狠的指着[程勇]。
0:50:44|0:50:52|打斗更加激烈，一群人在会场拳脚相加，[程勇]追着假药贩子满场跑。
0:51:2|0:51:10|[吕受益]仰着流鼻血的头，屈膝走到桌子旁边签字，紧接着[程勇]拢了拢衣服，接过[吕受益]递过来的笔上前签字。
0:51:26|0:51:33|事毕，[程勇]送[吕受益]回家。[程勇]低头准备走，[吕受益]突然从车窗冒出来。
0:51:36|0:51:45|[程勇]跟着[吕受益]到家里做客，一家三口的照片立在堆满药的桌子上，旋转床头铃下，木质的婴儿床，躺着一个熟睡的婴儿。
0:52:31|0:52:41|晚餐时间，[吕太太]给自己斟满酒，她朝[程勇]端起酒杯，谢。
0:52:47|0:52:53|吕太太还一饮而尽，[程勇]也把杯中的酒饮尽，
0:53:16|0:53:30|晚上回家，[程勇]翻起了自己跟儿子的合影，脸上洋溢着幸福的笑容，一阵敲门声，打破了[程勇]的回忆，[程勇]向门口走着，问着
0:53:41|0:53:57|[程勇]打开门，发现是假药贩子张院士，他立刻把卷拉门拉下来，张院士推上去，[程勇]在门口张望，怕别人看到，张院士拿起柜子上的保健油，
0:54:8|0:54:16|他把保健油装进裤兜，从另外一个兜里掏出一瓶格列宁放在茶几上，
0:55:4|0:55:36|张院士紧紧的盯着[程勇]，张院士后退两步，张院是慢悠悠地拿着药凑到[程勇]耳边，[程勇]撇开脑袋走到门口示意他走，张院士笑嘻嘻地吹着口哨离开，
0:55:41|0:55:57|[程勇]面色严肃地关起门，隔天[吕受益]黄毛来店里送货两人，刚把药搬进店里就来了电话，
0:56:5|0:56:9|几名民警气势汹汹地从警车上下来，直冲[程勇]店里，
0:56:21|0:56:46|黄毛站着没动，[程勇]赶紧把他拽下去蹲着，民警翻箱倒柜的检查，[程勇]他们紧张地看着警察没有放过任何一个角落，犄角旮旯的都翻出来看看。正当一无所获时，有个警察喊道，为首的警察听到喊声朝里屋走去，[程勇]面色不自然地说
0:57:4|0:57:12|警察走后与[吕受益]黄毛来到垃圾堆旁边搬药箱，[程勇]透过窗户看着正在搬药箱的他们。
0:57:21|0:57:51|[程勇]拿着电话面色不善，一直没有吭声，夜色降临，[程勇]一个人待着，他一根一根烟抽着，深沉的夜色照应着他阴霾的心情，他神色严肃地思索着。燃烧的烟头在夜色中闪烁，雨夜中的小巷子透着人间烟火气。
0:58:37|0:58:45|大家突然凝滞住了，静静的看着[程勇]
0:59:44|0:59:54|[程勇]盯着[黄毛]换了个坐姿，
1:0:10|1:0:16|[程勇]皱着眉头，他紧紧的盯着[黄毛]，
1:0:48|1:1:30|其他人眼含泪水不敢出声，[黄毛]拿起啤酒沾满酒，[程勇]双手抱胸看着大家，[黄毛]端起满满一杯酒，站起来盯着[程勇]，[程勇]盯着他，他拧了抿嘴，说完这句话，[黄毛]一饮而尽，[程勇]紧紧的盯着[黄毛]不眨眼，喝完[黄毛]用力把杯子摔在桌子上，碎片砸碎了他的手，血在啤酒瓶碎渣里蔓延，[黄毛]没有理会，径直离开店里，
1:1:35|1:2:15|大家都默不作声，[程勇]看向[刘思慧]，[刘思慧]拿过一旁的杯子，她拿着杯子一饮而尽，没有再看[程勇]一眼，随后带着外套离开，消失在夜色雨幕当中。压抑的气氛里，[刘牧师]也站起来，他缓缓地站起来，缓慢的行动力透露出伤感，他朝[程勇]鞠了一躬，
1:2:17|1:2:33|说完这句，他转身离开，[吕受益]拉住他的手，但是没能阻止他离开，[吕受益]的脸上写满了难过和不舍，脸上的眼镜也没能掩饰住他眼里的无奈，[程勇]不屑的翻了一个白眼，面色难看，
1:2:35|1:2:44|热闹的火锅局就只剩下两个人，[吕受益]酝酿着不知道该怎么说，他换了一副笑嘻嘻的表情看着[程勇]
1:2:48|1:3:31|[程勇]神色冷酷的咬牙说道，[吕受益]的笑呆住成一副滑稽的表情，几乎在一瞬间[吕受益]哭了出来，但他没有让更失态难过的表情出现在[程勇]面前，他收拾东西几乎慌张地离开店里，他在门口穿上外套，[程勇]点燃一支烟开始吞云吐雾。临走时，[吕受益]回头看了一眼，带着不舍和不相信，然而[程勇]并没有理他，[吕兽医]戴着口罩，最后一个离开了
1:3:44|1:4:8|店里热气腾腾的火锅，就只剩下[程勇]一个人，来往撑伞的人各有各的心事，雨中的城市夜色格外安静，打湿的玻璃窗户模糊了城市的夜景，
1:4:51|1:4:59|[程勇]新开了一家纺织厂，日渐富足，这天[吕太太]突然来了，时隔一年[程勇]还是一眼认出她了，
1:6:0|1:6:45|[程勇]毅向前的后视镜照映出这个女人的绝望，[程勇]面色凝重，看不出他的情绪，深夜KTV里歌舞升平，只有[程勇]一个人一根烟一根烟抽着，他时不时的配合大家鼓鼓掌，但是他紧锁的眉头却从未松开。
1:6:45|1:7:52|晚上回到家，[程勇]在电脑前搜索印度格列宁。看到搜索内容，他眉头紧锁，走私被抓，案件查获，主犯逃脱，生产仿制药，印度格列宁不靠谱，他点开一条法律在线关于印度盗版格列宁被查获的新闻，里面标题写着主犯[张长林]正在被抓捕中。[程勇]神色复杂的看着电脑屏幕上[张长林]的通缉照片，黑白的照片正是当初见到的那副面孔，亮起的电脑屏幕倒映出[程勇]沉默的背影。画面转到医院，在太太的轻声呼唤中，[吕受益]虚弱地睁开眼睛，他转过头看见[程勇]坐在旁边看着他，[吕受益]插着氧气瓶，眼下青紫，脸色惨白，他戴着线团帽子掩饰着他剑秃的头顶，他和[程勇]相互注视着，他突然嗤笑一下，
1:7:54|1:8:7|[吕受益]低下头没说话，转身指了指床头柜上的橘子。[吕受益]朝[程勇]示意，[程勇]没说话，看着他。[吕受益]低下头，
1:8:10|1:8:39|[吕受益]说完，[程勇]别开眼睛不忍直视他，[吕受益]也就跟着[程勇]不说话。[程勇]和吕太太准备出去，出去前，[程勇]回头看了一眼，[吕受益]给嘴巴上咬了一个毛巾，[吕受益]示意[程勇]出去，不要看了，[程勇]面色不忍的走出房间。
1:8:39|1:9:20|透过病房玻璃，[程勇]看到[吕受益]右下腹部的伤口血肉模糊，[吕受益]，一只手朝上痛苦地呻吟着，[吕受益]痛苦的叫声让[程勇]在病房外坐不住了，[吕太太]则是一副早已习惯的绝望表情，[程勇]紧锁的眉头昭示着他的内心。
1:9:20|1:9:39|[程勇]离开医院，路上穿过隧道，隧道白晃晃的灯照着[程勇]，他面色晦暗地开车前行，[程勇]驾车来到老刘的教堂，老刘诧异地转过身，[程勇]在门口看着他，
1:10:21|1:11:2|[吕受益]面色绝望的被送入CT机里，夜幕降临，月亮挂在天上，[吕受益]侧身躺在病床上，稀疏的头发清楚地看到头皮，他虚弱的躺着，忽然好像看到什么？他颤颤巍巍的起身，他甚至比他身上的被子还要单薄，他扶着腰上的伤口往前走，他走两步歇一下，扶着桌子大声喘气，转过身，看到躺在地上的妻子和儿子，咧开嘴笑了起来。
1:11:15|1:12:1|[程勇]到了印度，在药店买了印度格列宁，他背好包准备往街上走去，他面色凝重又疑惑的看向大街上，他用手帕捂住嘴唇，挡住路上的烟往前走着，迎面有一尊狮婆神像被车推过来，[程勇]看着这尊神像若有所思，他静静的走着，紧接着后面又跟着家里神像。街上烟雾弥漫，大家都用手帕捂住口鼻，烟雾缭绕里代表着死亡和重生的湿婆神像和家里神像，也预示着[程勇]内心的抉择。
1:12:46|1:12:52|一群穿着病号服的病人在医院的卫生间外张望着
1:12:54|1:13:12|[吕受益]的遗像在桌子正中间放着，两旁放着烛台和两只菊花，[程勇]蹲在地上烧纸，[吕太太]低头坐在沙发上，[程勇]从包里取出一个白色信封递给[吕太太]。
1:13:14|1:13:45|老刘和[刘思慧]在旁边默不作声，[程勇]不知所措的表情里写满了难过，沉闷了一会儿揣着白色信封和包走出去了，门口戴着口罩的病友挤满了楼道，排着长队正准备一个一个进去。[程勇]看着这些人脸上写满了悲伤，他低下头从人群中挤过去，
1:13:47|1:14:7|穿梭过人群，看着这一双双等待被救赎的眼睛，[程勇]低下头不敢直视，可这一双双望向他的眼睛，让他如芒刺背，他一个一个人挤过去，终于走过了这条长长的队伍。
1:14:18|1:14:41|走到楼梯口，他听见抽泣声，回头发现[黄毛]在楼梯口边吃橘子边流眼泪，[程勇]紧紧地盯着[黄毛]，虽然头上的黄头发盖住了部分眼睛，但是[黄毛]眼里的倔强和悔恨却没有被掩盖，[程勇]恍惚地看着他，转身离开了。
1:15:11|1:15:39|[程勇]抽着烟想着药商在印度天台对自己说的话，但是不要担心我目前还可以提供你需要的货，药商把手放在胸前，向他承诺着。药商和[程勇]相互注视着，
1:15:41|1:15:56|晚上[程勇]推开门看着熟睡的儿子，把儿子枕边未合上的书放在床头，伸手给儿子把被子盖紧，拉灭了灯。
1:15:56|1:16:43|他静静地在黑暗中看着熟睡的儿子。养猪场已宰好的猪倒挂着，[程勇]来到这儿，看到[黄毛]正在吃盒饭，他走上前。[黄毛]停口看着他，[黄毛]没有吭声，接着把盒饭里的食物往嘴里塞，吃完把盒饭扔在一旁的垃圾桶，他站起来走向[程勇]，走到他面前把脸凑过去说。接着他就走开了，留下[程勇]一个人站在原地不知所措，[程勇]随后把病友召集起来，
1:17:14|1:17:49|[刘思慧]诧异的回头，[程勇]一个人把一箱箱药品搬上车，转身接着去搬，下一箱钢板上，回头时他忽然愣住了，[黄毛]站在厢车门口，他走过去接过[程勇]手中的药箱，[程勇]吐了口气，如释重负，他望着[黄毛]，接着和[黄毛]一起一箱一箱的搬，夕阳照耀着海面，远处的航船船在海上漂泊着，
1:17:50|1:17:57|[黄毛]抱膝坐在一个石桩子上，[程勇]走过来
1:18:20|1:19:17|[黄毛]第一次露出有大白牙的笑容，傻傻的看着[程勇]。[程勇]朝[黄毛]看过去，[黄毛]别过脸，[程勇]盯着[黄毛]没有说话，随后收回目光，两个人离开海边，在夕阳下慢慢的慢慢的往回走，[程勇]二人停在码头的货车被一个保安掀开挡布查看，[黄某]走过来拍了拍保安的肩膀
1:19:19|1:19:42|[黄毛]挑衅的看着保安，[程勇]拉着[黄毛]开车离开，保安翻了个白眼，
1:21:5|1:21:31|曹斌带队查到一家白血病互助会，[黄毛]柱的破棚子也被曹斌带人找到，警察开始全面搜索假药流向，日夜兼程的查出一切可能的源头，警察在[黄毛]柱的破棚子柜子里找到印度格列宁，也在白血病互助会病人的身上搜到印度格列宁。
1:21:36|1:21:49|警方没收了所有的假药，带着这些病人到警察局，[黄毛]也被警察带走了，
1:21:58|1:22:6|所有人被曹斌集合在一个屋子里，曹斌开始给大家做思想工作。
1:22:39|1:22:57|曹斌说完并没有人应声，大家就这么静静坐着，每个人都不说话，一位奶奶站起来了，奶奶卸下口罩朝曹斌走过来，曹斌应声走进奶奶，
1:24:15|1:24:30|曹斌紧锁眉头，看着正在哭泣的奶奶，奶奶上前握住他的手，看着他掉眼泪，曹斌跑到厕所用水冲了冲脸，
1:24:30|1:24:50|下属问道，曹斌关上水龙头，叹了口气。下属点了点头走出厕所，曹斌缓缓抬头看着镜子中的自己，
1:25:7|1:25:12|局长看了看周围放低声音朝曹斌走进，
1:25:22|1:25:36|曹斌站着没有理会局长那句让开，甚至连眼睛都固执的不动，他还是不情愿的让了一点点路。
1:25:52|1:26:17|[程勇]关掉电视上瑞士医药代表的采访，他把烟头插在烟灰缸里，出门发动汽车，刚坐上汽车，刚准备走，就看见轿车前站着一个人，这个人朝他走过来敲了敲他的车门，
1:26:20|1:26:50|他放下车窗，那个人露出脸，是[张长林]，[程勇]回到房间，从保险柜里取出一沓钱，说完[程勇]走到办公桌旁边，点上一根烟抽上
1:27:15|1:27:48|张长林嗤笑一声，他拿着装钱的塑料袋离开[程勇]的纺织厂，深夜里，张长林一个人在宾馆开瓶啤酒，吃着盒饭，门外遭到拒绝的宾馆服务员看向旁边的[曹斌]和警察。[曹斌]冲他点了点头。
1:27:48|1:28:29|[曹斌]听到声响立刻踹开房间的门，警察们持枪闯入屋子里空荡荡窗户，大开，警察立刻追捕跑下楼的张长林，[曹斌]和那堆警察分头行动，自己开车去追，小巷里张长林一瘸一拐地走着就走了，张长林弄倒水果摊拦住警察，眼见张长林就要躲开追踪，就在这一时
1:28:30|1:28:43|[曹斌]的车过来撞到张长林，张长林面无表情的坐在审讯室，张长林愣了愣
1:28:50|1:29:0|审讯的警察给旁边同事示意，同事从兜里掏出烟盒，抽出一根走到他面前递给他，张长林双手戴着手铐笨拙地接过烟，
1:29:3|1:29:9|警察给他点燃后，张长林靠在椅子上享受着这根在审讯室里的香烟，
1:30:22|1:30:30|局长在办公室被张长林气得摔走，到了深夜，[曹斌]还在警察局里翻阅案件
1:30:34|1:30:52|[曹斌]点着烟，在烟雾缭绕的办公室里翻找着案件报告，他一页一页仔细翻阅，一张一张仔细检查，眉头紧锁，并不能解开案件的谜题。
1:30:54|1:31:2|他翻着翻着，翻到一个报告，报告里的审讯记录引起了他的注意，他看了看审讯记录，
1:31:6|1:31:21|记录最后的签字确认上写着[程勇]两个字，
1:32:25|1:32:38|[曹斌]静静的看着正在抽雪茄的[程勇]，看了一会儿，他转过头去。
1:32:50|1:33:3|曹斌用探究的眼神看了[程勇]一眼，转身离开，黄昏时刻[程勇]开着货车顶着[黄毛]，[黄毛]一上车[程勇]惊讶得说不出话来，原来[黄毛]把头发理干净了，
