0:1:28|0:1:34|驾驶员下了车径直冲向俱乐部入口。
0:17:11|0:17:17|突然站台等车的乘客们齐刷刷地看向同一边。
0:17:28|0:17:33|[路小星]虽身处黑暗，但依旧通过声音辨别身边每一个人的动作。
0:17:37|0:17:42|时间逐渐流逝，虽然暴雨还在持续，但车站的人都陆续打到车。
0:17:42|0:17:50|留下来的人越来越少，到最后只剩下[路小星]和一位穿着性感，手里夹着一根香烟的女孩留在站台。
0:18:2|0:18:10|出租车很快开了过来，稳稳停在女孩面前，女孩皱眉抬头看了看，还是淋雨跑到副驾位置拉开车门坐了进去。。
0:18:10|0:18:17|车站最后一个人也离开了，只剩[路小星]一人孤零零地站在那里。
0:18:17|0:18:23|[路小星]沉默了一阵，也试探地伸出手想要打到出租车，她的手僵在半空许久。
0:18:23|0:18:30|才尝试着转了转方向，摆动着做出打车的手势，但这对失明的[路小星]来说还是很具挑战。
0:18:30|0:18:39|她有点不自信地放下手，但极端的暴雨天气逼得她不得不再次伸手打车，手很快被淋湿，却没有拦下出租车。
0:18:39|0:18:46|[路小星]失落地放下手臂，此时一辆轿车向[路小星]开过来，刺眼的前灯让[路小星]感受到它的存在。
0:18:46|0:18:51|[路小星]脑海中浮现出一辆出租车停到面前的画面。
0:19:0|0:19:8|在小心上车后，男人驾驶轿车离开车站，外面的雨丝毫没有停下的迹象，反而下得更大了。
0:19:29|0:19:35|在男人扭下旋钮那一刻，暖气飞速通过层层设备从副驾驶一出，向[路小星]扑去。
0:19:35|0:19:39|而失去视觉的[路小星]嗅觉变得异常灵敏。
0:19:46|0:19:49|[路小星]摸着后座车门找到按钮，将车窗降下去一半。
0:19:49|0:19:54|她脑海中再次浮现出坐在出租车后座降下车窗的画面。
0:19:56|0:20:4|男人从驾驶座替[路小星]关上车窗，并通过车内后视镜悄悄观察[路小星]，他眼神里透着一丝诡谲。
0:20:10|0:20:18|男人拿出一瓶咖啡，伸出右手递向后座，[路小星]不好意思双手试探着摸到男人的手腕，顺着他的手拿到咖啡。
0:20:19|0:20:25|[路小星]一手握着咖啡，一手撑到座椅上，在触摸到座椅后，她愣了一下，又反复摸了好几遍。
0:20:29|0:20:34|男人有些诧异，忍不住向后伸出右手在[路小星]面前晃了好几下。
0:20:37|0:20:42|男人急忙收回右手，像是松了一口气，[路小星]双手抱紧咖啡，也没有再说话。
0:20:42|0:20:47|男人又偷撇了[路小星]一眼。
0:21:2|0:21:13|只见一个女人撞碎挡风玻璃，并翻过车顶滚到马路上，男人下了车弓着腰撑住膝盖，在女人身边看了许久，然后俯下身将女人上半身拖了起来。
0:21:13|0:21:32|[路小星]被刚才的急刹车撞到脑袋，扶着额头好半天才回过神，她簇着眉下意识抬头，眼神里是抑制不住的慌乱，[路小星]摸索座位，把刚掉出来的钥匙、防狼喷雾等物品往包里塞，不巧的是她并没有发现日记本掉在副驾车座下，随后[路小星]将包挎到身上。
0:21:32|0:21:40|锁车门找到开关，并打开车门下了车，外面的雨依旧很大，[路小星]一手护住脑袋，一手关上车门。
0:21:40|0:21:47|此时男人的半个身子刚从后备箱里挪出，男人立刻合上后备箱。
0:21:56|0:22:1|[路小星]甩开男人的手，从口袋里掏出手机准备打电话。
0:22:3|0:22:10|[路小星]急忙趴在地上双手摸索寻找手机，男人在远处看到驶来一辆车，立刻俯身去拽[路小星]。
0:22:12|0:22:27|男人粗暴地将[路小星]拽起来，准备往后座里塞，情急之下[路小星]一把抓住男人手腕，反手将他扣在车上，男人一时间竟没能挣脱，但随着后车越来越近，男人慌了，他猛力将[路小星]推倒在地上，立刻打开车门坐进驾驶座，驾车逃离现场。
0:22:27|0:22:35|[路小星]挣扎起身继续[鲁力]寻找手机，她在地上来回摸了好久，终于找到了，[路小星]急忙拿起手机准备报警。
0:22:36|0:22:44|汽车径直驶来，灯光刺得人睁不开眼，一个醉汉醉醺醺地坐在沙发上傻笑着。
0:23:15|0:23:23|年轻警官心不在焉地看了一眼耍酒疯的醉汉。
0:23:23|0:23:25|又假装正经地转过身来。
0:23:47|0:23:55|[路小星]并不清楚周围发生的一切迷茫地转着头，这时背后一位老警察站了起来，伸了个懒腰走向醉汉。
0:24:32|0:24:38|老警官一瘸一拐地走到年轻警官身边，不耐烦地摘了他的眼镜框，
0:24:57|0:25:3|他拍了一下年轻警官脑袋，示意他继续翻报告，自己坐在[路小星]面前。
0:25:30|0:25:42|老警官一脸诧异，惊奇地看向[路小星]，[路小星]不再理会老警官。她甩开被抓住的手腕，反手搭上年轻警官的胳膊，警官不敢乱动，小心地带她向门口走去。
0:25:42|0:25:49|老警官坐在椅子上，一脸审视地目送[路小星]离开办公室后，才艰难地抱着膝盖将腿翘起来。
0:25:49|0:25:51|皱着眉头不断揉着膝关节。
0:25:52|0:26:15|黄色灯泡忽明忽暗，处处透露着诡异的气息，一个女孩躺在床上缓缓睁开双眼，迷茫盯着天花板，他她脸上有几处擦伤和撞伤，但血迹已经凝固在脸侧，女孩下意识看向四周，发现左侧也有一张单人床，那床上也躺着一个女孩，那人的手腕脚腕被捆在床上，她睛半睁似乎没了气息，
0:26:37|0:26:42|男人怜惜地凑向女孩，一手成爪用力按住女孩头部，表情更温柔了。
0:26:44|0:26:53|女孩惊恐地挣扎着，但幅度越来越小，很快不再动弹，他旁边放着小心的日记本，本子上清楚地写着您若拾到，恳请联系8个字。
0:26:56|0:27:5|男人拿起一把精巧的手术刀，顺着女孩脸上画好的线切了进去，鲜血涌出，溅到男人脸上，男人丝毫不在意，反而十分享受。
0:27:7|0:27:24|温柔地俯下身，毫不犹豫朝女孩钻去，男人边钻边看向身后墙面，只见墙面投影出一张巨大照片，照片上是一个身着白衣的女孩面容姣好，脸部微圆，很是可爱，幻灯片不断变换，都是同一个女孩的模样。
0:27:24|0:27:31|男人的目光充满痴迷和眷恋，一天一个穿黑色帆布鞋的人出现在[路小星]家走廊里。
0:27:53|0:27:58|[路小星]走出卫生间，摸索着墙面上的门禁电话接了起来。
0:28:13|0:28:22|老警官的话让[梁聪]猝起眉头，[鲁力]趴在地上，面无表情地看了一眼撅嘴逗自己的小警官，十分不屑地把头转了过去。
0:29:36|0:29:42|[鲁力]急忙打开一个本子。
0:30:9|0:30:13|[鲁力]不由自主地抬起左手腕。
0:30:23|0:30:31|鲁警官转了转眼珠，又摸摸鼻子，若有所思地点了点头。
0:30:54|0:31:2|又一个晴天，在一处空旷的马路上，一群轮滑少年飞驰而过，大家纷纷展示技能。
0:31:2|0:31:12|有的人从防护带上一跃而过，有的人跳起来做个360度转身，一个戴鸭身帽的男孩越过一片空地，又突然潇洒地折了回来，他站在一幅告示前。
0:31:12|0:31:20|仔细阅读上面的内容，告示上表示4月11号晚上发生一起交通事故，需要社会提供有价值的线索。
0:31:44|0:31:51|年轻警官奄奄地托着下巴下意识地看向鲁警官。
0:32:2|0:32:8|年轻警官尴尬地舔舔嘴唇，鲁警官继续转过来看幻灯片，
0:32:29|0:32:37|那位鸭舌帽男孩坐在[鲁力]对面，不耐烦地扫了[路小星]一眼。[鲁力]挑着眉头叹了口气，男孩似乎对这样的不信任习以为常，翻了个白眼。
0:32:37|0:32:45|他要瞅瞅[路小星]，伸出一根手指在[路小星]面前晃来晃去，发现[路小星]毫无反应后动作更加肆无忌惮。
0:33:29|0:33:34|[路小星]坐直身子不再理会男孩，男孩百无聊赖地四处打量着。
0:33:34|0:33:42|突然盯着[路小星]桌上手机看了看，又掏出自己手机放在一起对比。
0:33:45|0:33:58|[路小星]面无表情地拿起手机，打开摄像头，调成自拍模式聚到男生面前，男孩大方地看向手机屏幕，还专门凑到镜头前，自恋地顺了顺刘海。
0:35:8|0:35:18|男孩手机响起，熟悉的铃声，让[路小星]不由得侧过身子。
0:35:18|0:35:27|男孩笑嘻嘻地打完电话后，脸上又挂起之前那副痞痞的嘴脸。
0:35:47|0:35:55|男孩勉强转过头，算是给了回应，然后直勾勾地走出办公室，此时一位女警捧着文件夹走了进来。
0:36:1|0:36:9|女警抬头看了眼[路小星]，愣住了。
0:36:19|0:36:23|[鲁力]正仔细看着文件，高亚男男冲[路小星]笑了笑，走出办公室。
0:36:23|0:36:29|这时[鲁力]才抬头看了看她们二人，晚上一个女孩走出夜店。
0:36:31|0:36:37|女孩身姿曼妙，踩着10公分高跟鞋，手里夹着一根香烟，她走下楼梯向远处挥挥手。
0:36:37|0:36:40|一辆轿车稳稳地停到她面前。
0:36:42|0:36:49|女孩曲着身子靠在窗边会心一笑，优雅地打开车门坐了进去，而司机依然是那个肇事男人。
0:36:49|0:36:55|女孩将手中香烟丢出窗外，系上安全带，随后男人扬起嘴角开车离开夜店，周围没有任何人发现异常。
0:36:57|0:37:4|[路小星]回到家后再次拉开储藏室的门，她将两个大纸箱重新搬出来，堆在客厅地板上。
0:37:4|0:37:11|然后静静跪坐在一旁摩梭纸箱盖，像是在为自己打气一般，深呼吸一口打开纸箱。
0:37:11|0:37:15|犯罪心理学等刑侦书籍还整齐地摆放在里面。
0:37:30|0:37:36|[路小星]手机突然响起，屏幕来电显示却是未知，她毫无觉察地接起电话。
0:37:36|0:37:44|轿车里一只药品被丢在座椅边，[路小星]的日记本被握在男人手中。
0:37:48|0:38:0|男人面无表情挂掉电话，翻起手机照片细细查看，照片里的女孩正是刚坐上他车的那位，男人似笑非笑看向副驾，只见那女孩早已昏睡过去。
0:38:0|0:38:4|随后他坦然地将手机丢出车外，驾驶轿车扬长而去。
0:38:4|0:38:16|随后而来的车辆从手机上碾了过去，手机霎时变得四分五裂，这条路上来往行驶车辆不在少数，很快手机就被碾得找不到踪迹，而此时的警局依旧灯火通明，
0:39:14|0:39:27|[路小星]心知没错，只能点点头，而[梁聪]趴在一旁睡得正安稳。之后他们坐进车里听了一天录音了，[鲁力]递给[路小星]一个汉堡。
0:39:29|0:39:37|[鲁力]附和点头，自己打开汉堡的包装纸袋大咬一口，[梁聪]坐在后座盯着[鲁力]手中汉堡，口水都快流出来了。
0:39:38|0:39:47|[鲁力]逗乐似的，把汉堡递到[梁聪]嘴边又抽了回来。
0:39:47|0:39:57|[梁聪]像是听懂了一般，闷闷不乐地趴在座椅上，[鲁力]吃完汉堡后驾驶轿车离开路边送[路小星]回家。
0:39:57|0:40:4|另一边[林冲]踩着轮滑，停到那块告示面前，不屑地翻了个白眼。
0:40:13|0:40:20|男人回想起那天驾车逃逸途中与打伞站在路边的[林冲]恰好擦肩而过，彼此都扫了对方一眼。
0:40:22|0:40:28|[林冲]发泄了半天像是不解气，又掏出手机拨给[鲁力]。
0:40:40|0:40:43|[林冲]倔强地挂了电话，看着屏幕十分不满。
0:40:43|0:40:46|随后揣起手机踩着轮滑离开告示牌。
0:40:46|0:40:53|男人一直坐在车里观察[林冲]，在看到[林冲]离开后，他也启动车子悄悄跟在[林冲]身后。
0:41:7|0:41:13|[鲁力]掩饰地眨了几下眼睛，[路小星]并不意外，只是轻轻叹了口气。
0:41:54|0:42:6|[鲁力]心虚地看了[路小星]一眼，尴尬地伸出手扇了扇周围，又急忙降下车窗散去味道随着车窗降下，熟悉的声音再次响起，[路小星]静静听着。
0:42:6|0:42:12|神色却凝重起来，她回想起那个男人的车上降下车窗时也发出了同样的声音。
0:42:13|0:42:21|男人从驾驶座替[路小星]关上窗户后，那个奇怪的声音便消失了。
0:42:44|0:42:50|但那辆出租车上，[鲁力]有些诧异，忍不住看了[路小星]好几眼。
0:43:2|0:43:12|[路小星]再次回想那天车子撞到女孩砸碎挡风玻璃的声音，只是这次画面从出租车变成高尔夫6，而此时这辆高尔夫6跟着[林冲]来到一处小喷泉。
0:43:12|0:43:19|他将车子停在一边熄火灭灯，而[林冲]依旧毫无察觉，边滑边接电话。
0:43:20|0:43:28|男人死死盯着[林冲]动向轻轻关掉手札，只见手闸边还放着一只精巧的音乐盒，男人穿着干练还戴着棒球帽。
0:43:28|0:43:39|下车后他将围脖拉高，只露出一双眼睛，[鲁力]抱怨地挂了电话。
0:43:46|0:43:50|[鲁力]焦急地看向前方找准时机猛打方向盘。
0:43:50|0:43:58|掉头往回走，此刻[林冲]依旧慢悠悠的划着轮滑往前走。
0:44:12|0:44:19|[林冲]挂了电话，继续双手插兜向前滑着，男人熟练地掏出一副黑色皮手套，戴上后继续紧跟在他身后，
0:44:26|0:44:47|[林冲]毫无察觉地哼歌，而男人警惕地向后看了看，在确认这条路没人过来后加快步伐向[林冲]逼去，[林冲]慢悠悠地往前滑了几步，猛的感觉身后有些不对劲。他的脑袋微不可查地向后转了一点，停下脚步，突然[林冲]毫不避讳地扭过半张脸，直接逼停了身后男人，男人一时间没敢上前，[林冲]若无其事转过身去。
0:44:47|0:44:56|迅速向前冲去，男人很快反应过来也撒腿向前追去，[林冲]急速转过一个弯道，男人拐进巷道后却停了下来，他四处张望了一下。
0:44:56|0:44:59|扶起墙边一辆摩托车也骑了上去。
0:45:1|0:45:18|男人再次紧追到[林冲]身后，而[林冲]拐进一个两米宽的小巷子，拼命向前滑着，他皱着眉头向后看了一眼，发现摩托车越来越近，车头灯光将前路照得十分清楚，眼看就到了头，在最后一刹那[林冲]180度急转，再次面对摩托车。
0:45:18|0:45:41|他停顿了一秒，清晰看到男人凶狠的双目，随后再次急转，潇洒从楼梯扶手上滑了下去，男人猛地刹车，面色凶狠地盯着[林冲]的身影，他再次发动摩托车从面前楼梯上骑了下去，摩托车急速转弯再次跟了上来，只见[林冲]越过一个花坛，滑进一条只有一米宽的小巷子，而摩托车天生的速度优势让他很快就出现在[林冲]
0:45:41|0:46:5|身后，[林冲]冲出脚下后，越下几个台阶，这次摩托车没有丝毫犹豫，紧跟其后，直接[林冲]又拐了个弯，直接滑进一处工地，他弓腰旋转，从脚手架上穿了过去又一跃而起，跨过一个施工大坑后，挑衅地向后看了一眼，悠然滑走，男人停在路边，他看了[林冲]一眼后拐弯骑向另一个巷道，[林冲]看他走远后才松了口气。
0:46:7|0:46:13|[林冲]不解又生气地看了眼摩托车离去的方向，边往前滑边掏出手机，面色不悦地盯着屏幕。
0:46:15|0:46:34|[林冲]不耐烦地放下手机滑向十字路口，他没有注意到身侧正停着那辆高尔夫六，汽车大灯突然亮起照着[林冲]一起双眼，只见汽车骤然加速，将[林冲]撞飞在路边，[林冲]摔在地上，鲜血从头下渗了出来，男人急速倒车再次停到[林冲]面前，他脚下不停点着油门，
0:46:34|0:46:41|脸上是掩饰不住凛冽狠绝，他正准备踩下油门，不料前面出现几个男生。
0:47:12|0:47:16|星站在路边听着动静，并不知道那个男人就站在她身侧。
0:47:18|0:47:27|[鲁力]回到车上，[路小星]摸索着重新坐回副驾驶，两辆救护车向前开去，[鲁力]的车紧随其后，周围的人四散而去，只有男人双手插兜。
0:47:27|0:47:34|站在原地一动不动，过了许久他才往前走了两步，冷静抬头，看向救护车离去的方向。
0:47:34|0:47:42|[林冲]头部已被包扎好，正躺在床上打吊瓶，只是依旧处于昏迷中，[路小星]站在窗外焦急等待着。
0:48:7|0:48:13|此时[路小星]正坐在医院大厅椅子上，[鲁力]则端着两罐咖啡走过来。
0:48:15|0:48:21|[鲁力]细心地为[路小星]拉开易拉罐拉环，并坐到她对面。
0:48:30|0:48:38|[路小星]直起身子，仔细嗅着身后推过的小推车，她猛然回头面向远去的推车，再次陷入回忆。
0:48:38|0:48:44|那晚男人打开旋钮，开启车内暖风。
0:49:6|0:49:13|[鲁力]紧皱眉头一脸凝重，他思索向椅背靠去并附和点头。
0:50:6|0:50:17|[鲁力]急忙接过手机，边掏自己的手机边向旁边大门走去，他走出大门后严肃地看着[路小星]的屏幕，立刻用自己的手机拨出去一个电话。
0:50:20|0:50:22|[路小星]坐在椅子上，面色有些沉重。
0:50:22|0:50:30|转眼间到了第二天，[林冲]躺在病床上，仿佛感受到什么奇怪的触感，皱着眉头睁开眼睛。
0:50:30|0:50:35|只见[梁聪]舔着他的脚趾，[林冲]吓得缩回脚趾坐起身来。
0:51:26|0:51:33|[林冲]背对[路小星]坐在病床另一侧，释怀地叹了口气，他拿起脚边轮滑鞋抱在怀中，轻抚去上面的灰尘。
0:51:55|0:52:3|面对[鲁力]的敷衍点头，[林冲]无语地翻了个白眼，面对[林冲]的耿耿于怀，[鲁力]有些尴尬。
0:52:18|0:52:23|[鲁力]挠头的手愤懑地指向[林冲]，[林冲]则嘲笑地背过身子。
0:52:28|0:52:34|[梁聪]有些不满地看向[鲁力]，[鲁力]急忙摸了摸[梁聪]脑袋。
0:54:0|0:54:4|[鲁力]皱着眉头看看[路小星]，又沉默地看向窗外。
0:54:4|0:54:16|花洒的水源源不断向外喷出，[路小星]呆坐在浴缸里，无神地凝视前方，警报器突然响起，[路小星]呆滞地从浴缸边上，取下警报器并关上花洒。
0:54:16|0:54:25|她不知道自己的行动都有什么意义，到底是添乱还是自以为是的帮忙呢，她闭上眼，耳边再次回想起[林冲]愤怒的话语。
0:54:44|0:54:51|[路小星]无力地抬起胳膊，难堪地捂住双眼，而她双臂手腕处深深浅浅划了无数道伤口。
0:54:51|0:54:58|[路小星]坐在水中紧紧抱着双臂，似乎只有这样才能给自己一点微不足道的安全感。
0:54:58|0:55:1|桌上手机屏幕突然亮起，显示依旧是未知。
0:55:1|0:55:12|来电[路小星]穿着浴袍，小心地跨出浴室，摸索着走到桌边，拿起手机她吸了口气将手机举到耳边。
0:56:33|0:56:41|男人贪婪地盯着日记本把手机扣在桌上，[路小星]早已泪流满面，她绝望地放下手机，一时间难以接受。
0:56:41|0:56:48|车内手机响起，来电显示为[路小星]，而此时[鲁力]正和[镜框]站在车外一处案发地讨论案情。
0:57:14|0:57:20|他仰着头怎么也不肯上前。
0:57:27|0:57:32|[林冲]给手机充上电，屏幕上显示的大段消息，让他忍不住蹙起眉头。
0:57:32|0:57:44|几十条消息都来自[路小星]，内容几乎都是有危险，让他现在不要出院，话音刚落，[路小星]带着[梁聪]来到病房，[林冲]难以置信地回过头[林冲]。
0:58:19|0:58:28|[林冲]挣开后头也不回地走了，他的几个伙伴也侧着身子从[路小星]旁边窜了过去。
0:58:28|0:58:33|[路小星]缓缓放下手，殊不知不远处角落里那个男人已经盯上了她。
0:58:41|0:58:58|[林冲]台演顺着伙伴的视线望去，马路对面小心牵着[梁聪]缓步登上一辆公交车，[林冲]不屑地低下头，突然警觉得直起身子，只见那个男人紧跟在[路小星]身后上了同一辆公交车，[林冲]皱没起身不确定地向前走了两步。
