0:1:29|0:1:38|[孙悟空]啃了口手上的脆桃，把桃子甩了出去，桃子高速旋转着击中李天王，
0:15:27|0:15:36|[江流儿]顺着桃树向上爬，钻进一个树干旁的石洞里，他回头捡跑掉的鞋子，却被山妖一爪子抓破手背。
0:15:36|0:15:44|看着洞口张牙舞爪却钻不进来的山妖，[江流儿]忙不迭地穿上鞋子，跑向山洞深处。
0:15:44|0:15:49|[江流儿]背着小女孩，在山洞里深一脚浅一脚地走着。
0:15:49|0:15:56|他手背上的血滴在地上，亮起一圈血光，在山洞里扩散开来。
0:15:59|0:16:8|[江流儿]突然一脚踩空滑了下去，他哆哆嗦嗦地站起来，眯着眼看向前方，又向前走了两步。
0:16:8|0:16:19|面前是一个散发耀眼冷光的巨大石柱，石柱的表面凹凸不平，还被四周的铁链禁锢着。
0:16:19|0:16:33|洞中的石壁上都是佛像，[江流儿]贴到一朵石头花，他倒退几步，[江流儿]撞到石柱上突出来的掌印，整个石柱上都是错落的掌印，他用手对上那个掌印。
0:16:33|0:16:41|一声闷响让[江流儿]缩回了手，他扭头朝前走去。
0:16:41|0:16:55|那个掌印上出现了一条裂缝，裂缝逐渐向上蔓延，扩散到整个石柱上，[江流儿]双手合十，叩拜佛像，却不知身后的石柱即将崩裂。
0:16:55|0:17:4|裂纹飞速伸展到四周的佛像上，一根铁链断裂甩下来，[江流儿]躺倒，躲过一劫，石柱瞬间炸裂。
0:17:10|0:17:24|石块不断地坍塌下来，[江流儿]抱着小女孩躲到一旁，却很快被石头埋了起来，一切归于寂静。山洞中弥漫着灰尘，遍地都是石块和碎石。
0:17:24|0:17:40|[江流儿]缓缓爬起来，他吐着唾沫，发现了面前的小女孩，他赶忙把装着小女孩的竹篓从石块里抬出来。[江流儿]扭头一看，几只山妖从山洞的裂缝里爬了进来。
0:17:40|0:17:47|他拽起竹篓就跑，女山妖急忙追了上去。
0:17:47|0:17:58|[江流儿]跑到石柱炸裂的地方，跳上铁链，向上攀爬。铁链在空中荡着，眼看就要撞上后面追下来的山妖，石堆里突然立起一块石板，
0:17:58|0:18:5|山妖结实地撞在了石板向后倒去，翻滚三圈，才倒地不起。
0:18:5|0:18:8|石堆中猛然冒出一只毛手，
0:18:8|0:18:19|毛手抓住石块，撑起身子，[孙悟空]穿着破烂的衣衫爬出了石堆。他活动了一下颈椎，注意到四周的山妖，
0:18:23|0:18:36|[孙悟空]看着扑上来的山妖，迅速侧身一躲，山妖又撞上了岩石。[孙悟空]发现自己的双手还锁着铁链，瞬间傻眼。
0:18:36|0:18:37|女山妖飞速冲了过来，
0:18:38|0:18:48|[孙悟空]踢飞身上的石块，女山妖被砸得口水横飞。[孙悟空]跳起来在空中急速旋转，他甩着铁链，挥向周围的山妖，
0:18:48|0:18:53|铁链扬起石子，山妖们都被打飞到石壁上。
0:18:53|0:19:7|[孙悟空]呲牙咧嘴地看着四周，又转头紧盯着[江流儿]，[江流儿]抓紧铁链，害怕地看着他，鼻涕都流了下来，[孙悟空]被[江流儿]的鼻涕吸引了注意力。
0:19:7|0:19:16|[江流儿]发觉鼻涕已经淌到嘴上，赶紧吸了回去，小女孩从背篓里爬出来，拍了拍[孙悟空]的猴头。
0:19:17|0:19:22|[孙悟空]转身离开，扬手收回铁链，却被铁链打到脸。
0:19:22|0:19:29|[江流儿]的鼻涕掉下去，刚好掉到山妖的嘴里，山妖竟伸舌舔了一圈嘴巴。
0:19:29|0:19:34|[江流儿]赶忙背着小女孩，一路小跑，离开了山洞。
0:19:34|0:19:46|[孙悟空]在树林里四处跳跃着，仿佛重获新生，他在树干上滑行着，抓紧树枝在空中绕圈，又瞬间弹射出去，飞向丛林中最高的树。
0:19:56|0:20:5|他得意洋洋地瞭望着整个山谷的风景，看着远处光芒万丈的太阳，还助跑了几步，冲向天空。
0:20:5|0:20:9|[孙悟空]右手的法印突然发光，
0:20:9|0:20:20|他从空中掉了下来。[孙悟空]一路翻滚着，摔到一片池塘边，
0:20:20|0:20:29|他按住发着光的右手，抡起一块石头就砸向右手的法印，法印丝毫未动。
0:20:29|0:20:33|[孙悟空]气急，疯狂用右手砸着岩石，火星四溅。
0:20:33|0:20:43|[江流儿]听到声响，躲在不远处暗中观察[孙悟空]。[孙悟空]看到[法明]上的倒影，发现身后就是如来佛祖的石像，
0:20:43|0:20:50|他冷笑着站了起来。
0:21:19|0:21:24|[江流儿]赶忙跟上去，却不知[孙悟空]去了哪个方向。
0:21:24|0:21:31|一只嘴叼樱桃的土地公公给他使了个眼色，[江流儿]转身行礼。
0:21:32|0:21:44|土地公公看着[江流儿]离去的背影，用脚丈量了一下土地，瞬间起跳，遁入地狱，身后冒起一团白烟。[江流儿]追了上来。
0:21:46|0:21:53|他吃力地翻过长满青苔的树桶，[孙悟空]见状，急忙躲到大树背后，他正偷笑。
0:21:53|0:22:2|[孙悟空]看向[江流儿]，[江流儿]背着小女孩，头上多出两小辫。
0:22:3|0:22:9|[江流儿]和[孙悟空]并肩走着，抓着背绳，问道，
0:22:15|0:22:24|[孙悟空]快速跳上身后的小山头。[江流儿]看向四周，
0:22:27|0:22:33|[孙悟空]吃惊地看着四周的路。
0:23:1|0:23:8|[孙悟空]听得怡然自得，双手抱在脑后。
0:23:40|0:23:49|[孙悟空]心态崩溃，一拳砸倒身旁的大树。
0:24:8|0:24:15|二人身后突然传来山石滚落的声音，紧接着便是一阵地动山摇。
0:24:15|0:24:28|[孙悟空]紧盯着身后的树林，握紧了拳头。一个巨大无比的石头人腾空而出，
0:24:29|0:24:33|他一声怒吼响彻山谷，惊起一群林鸟。
0:25:10|0:25:23|[山神]从天而降，拦在他面前，平地起跳，对他重拳出击。[孙悟空]灵巧地跳跃着，却被[山神]一拳打进巨石里，[山神]用抡拳砸了过来。
0:25:23|0:25:28|[孙悟空]跳到[山神]头上，一个炫踢让他滚出老远。
0:25:28|0:25:37|[孙悟空]握拳暗喜，[法明]却猛然发光，他吃痛地趴在地上。峡谷突然落下一块巨石，险些砸中[江流儿]，
0:25:38|0:25:47|他跑到[孙悟空]身旁的岩石后面躲起来。地上的石子滚动着，都汇聚到[山神]的右拳上。
0:25:47|0:25:59|[山神]掀飞刚落下来的巨石，[孙悟空]看着遮天蔽日的巨石一脸懵，幸好及时闪开，[孙悟空]一个倒翻，躲开[山神]的左拳。
0:26:0|0:26:9|他在半空被[山神]打飞，一下滚出几十米远。[孙悟空]抓住身旁的岩石，站起身子，抖去身上的灰。
0:26:12|0:26:23|[山神]扒开挡路的石头，像一头饥饿已久的猛兽般朝[孙悟空]跑来。[孙悟空]赶忙在峡谷的岩石间左右蹦跳，又跃回地面，四肢并用地
0:26:23|0:26:30|向前奔跑。前方就是悬崖，[孙悟空]一跃而下，
0:26:30|0:26:35|他用铁链勾住悬崖边的粗树枝，拽断树枝后腾空弹起。
0:26:35|0:26:49|[孙悟空]坐在[山神]的背上，[山神]突然暴躁起来，他转身跑向一旁的陡崖，用脊背猛砸向石壁，[孙悟空]敏捷地跳开，[山神]追上来，一把把他推到了悬崖边，
0:26:49|0:26:57|[孙悟空]用双手顶住[山神]的右拳。[江流儿]看到[山神]背后随风飘扬的符咒，
0:26:57|0:27:9|他卸下背上装着小女孩的竹篓，叮嘱道，[江流儿]一路小跑，跳上[山神]的背脊，伸手努力去够近在咫尺的符咒。
0:27:9|0:27:16|[山神]发觉身上多了个小玩意儿，便扭身去看，[孙悟空]见机会来了，立马松开双手，
0:27:17|0:27:28|[山神]和[江流儿]一同坠下悬崖。[孙悟空]正要走，却被铁链拉了下去，[山神]拽着[孙悟空]的铁链向上攀爬，[孙悟空]仅靠一根藤条
0:27:28|0:27:35|挂在悬崖边。[山神]突然不安地扭动身子，[江流儿]顺着他的背爬上来。
0:27:37|0:27:44|[江流儿]举着刚撕下来的符咒，[山神]全身剧烈颤抖起来。
0:27:47|0:27:56|[山神]爆裂成无数块碎石，坠入了深渊，[江流儿]也坠下深崖。地势崎岖的山谷里，
0:27:56|0:28:8|风雪交加，寒风呼啸。山体隧道通向一个巨大无比的岩洞，四只鼻青脸肿的山妖，趴在穿石而出的巨大树根上，站在他们面前
0:28:8|0:28:15|的正是妖王[混沌]。
0:28:30|0:28:37|[混沌]的衣袖一挥，两只山妖在石壁上的倒影变成了一男一女。
0:28:38|0:28:51|[江流儿]咳嗽着醒来，双手抓住面前不明生物的两颗尖牙，他睁开眼睛，被面前的大口吓得飞了出去，原来是篝火上烘烤的大鱼。
0:29:21|0:29:36|[江流儿]顺势靠在了巨石上，[孙悟空]痛得倒吸一口气，他赶紧扯下一块鱼肉咀嚼，分散注意力，发现[江流儿]看着他，便把手中的肉递过去。
0:29:58|0:30:7|[孙悟空]的脚肿了一倍。[江流儿]踢飞脚边的石子，石子在湖面弹跳着飞远，他又踢飞了一颗，那石子，
0:30:7|0:30:15|竟盘向[孙悟空]，[孙悟空]伸手一夹，巨石又砸住了他的脚。
0:30:17|0:30:24|[江流儿]一拳砸向巨石，[孙悟空]疼得瞬间弹起，只能趴在石头上颤抖地问道，
0:30:34|0:30:46|小女孩爬上烤鱼的肚子，[江流儿]踩倒了勾住藤蔓的树杈，巨石落地，[孙悟空]被弹向空中又重重落下，挂在树干上。
0:30:54|0:31:5|突然，[江流儿]的身后闪过了一道身影，他闻声扭身，小心翼翼地从树干下穿过，发现了一座建在石台上的寺庙。
0:31:7|0:31:11|[孙悟空]痛苦地侧身捂住耳朵。[江流儿]推开寺门，
0:31:11|0:31:24|寺庙里蛛网密布，他好奇地走进去，小脚踩起地上的尘土，光透过屋顶的空隙照亮空中的烟尘，寺里色彩鲜艳的神像张牙舞爪地
0:31:24|0:31:34|看着地面，好像在盯着突然闯入的[江流儿]。[江流儿]敬畏地看着头顶的神像，不小心踢倒了地上的烛台，
0:31:34|0:31:42|他捡起烛台，朝面前的贡台走去。贡台上是一尊单手施礼的弥勒佛，[江流儿]把烛台放在佛像旁，
0:31:42|0:31:54|看到贡台上都是灰，便鼓气吹了吹，于是灰尘满天飞，佛像突然有了异动，弥勒佛夺门而出。
0:32:2|0:32:9|弥勒佛的眼睛滴溜溜地转，干脆将计就计，念起咒来，[孙悟空]赶紧站起身与他周旋。
0:32:14|0:32:21|弥勒佛念咒后毫无动静，突然他怀中烤鱼的眼珠子蹦了出去，小女孩猛然冒出来，
0:32:21|0:32:29|弥勒佛吓得摔倒，小女孩掉在他身上笑得更欢了。[江流儿]凑过去，却发现弥勒佛
0:32:29|0:32:40|变成了猪鼻子，紧接着他脑瓜上又弹出了猪耳朵，彻底地变成了一只穿小马甲的猪妖，他看到烤鱼立马扑过去，狼吞虎咽起来。
0:33:5|0:33:14|悟空一脸嫌弃地看着天蓬元帅[猪八戒]，[猪八戒]原地起跳，猛拍膝盖，落地后摆好架势，放话道，
0:33:16|0:33:31|刚走到悟空面前，就被悟空两指插住鼻孔，悟空勾住他的鼻子，抡了半圈转向大树，[猪八戒]的记忆瞬间被唤醒，历史总是惊人的相似。
0:33:31|0:33:40|当年，他变成李天王被悟空打下凡间，掉进山村的猪圈里，变成了一只小乳猪，任由大猪拱来拱去。
0:33:57|0:34:12|悟空看着手上的鼻涕，[猪八戒]惊恐地捂住鼻子，见悟空离开，他来回看了几眼，[猪八戒]大喊，[江流儿]瞪大眼看着他，场面一度非常尴尬。
0:35:4|0:35:15|尖耳圆脸的肥猫在树林里奔跑着，[江流儿]背着小女孩呼哧呼哧地跟在它后面，肥猫虽然圆滚滚的，但跑起来却让[江流儿]追得够呛。
0:35:15|0:35:24|它不时回头看一眼[江流儿]，在一处草丛边突然急转弯，肥猫累得吐舌喘气，但它又迅速恢复了嗅探状态。
0:35:24|0:35:34|它疾跑几步，在一处树根旁抬腿撒尿，却看到了前面悟空的背影，肥猫一个机灵，尿洒在了[江流儿]的脚边。
0:35:34|0:35:41|肥猫想开溜，却被[江流儿]一把拽了回来。
0:35:46|0:35:51|[江流儿]手中竟是个树杈子。
0:36:26|0:36:32|凭空多出一个眼神怪异的[江流儿]，[孙悟空]不忍直视地捂眼摇头。
0:36:32|0:36:38|[江流儿]戳了戳这位新同伴的大肚皮。
0:36:39|0:36:47|大肚[江流儿]一鼓气变成了[猪八戒]，[江流儿]被他弹飞，一路滚到了悬崖边。
0:36:49|0:36:55|他突然察觉不对劲，害怕地看向身后，一条白龙正在半空中看着他。
0:36:58|0:37:11|这条龙盘踞在山顶，长着马头、鹿角、鱼龙、蛇身，[孙悟空]见龙朝[江流儿]俯冲下来，猛扑过去，推开龙头，白龙被打得翻滚数圈。
0:37:12|0:37:20|白龙缓慢地撑起身子，围着[孙悟空]绕了个圈，才居高临下地看着[孙悟空]，霸气无双。
0:37:20|0:37:28|[江流儿]和[猪八戒]跑来，[孙悟空]急忙呵止，白龙紧盯着[孙悟空]，突然一声龙啸，
0:37:28|0:37:34|一条鱿鱼腿拍到了[孙悟空]的脸上，一只海星黏住了[猪八戒]的头。白龙把头扭向了[江流儿]，
0:37:37|0:37:49|正帮[猪八戒]拉扯海星的[江流儿]立马一动不动。白龙的巨爪击破了地面，碎石纷飞，它又死盯了[孙悟空]一会儿，蓦然转身，飞向了山谷。
0:37:57|0:38:7|[江流儿]害怕地用胳膊挡住脸，泪水奔涌而出，[孙悟空]见状，立刻转向[猪八戒]。
0:38:25|0:38:32|说话间，白龙冲出谷底，在半空中盘旋一圈后，像鱼儿游水般飞出山谷。
0:38:38|0:38:42|[孙悟空]撂下[猪八戒]，去跟着[江流儿]。
0:38:42|0:38:50|[猪八戒]一脸不屑地坐着运气，[江流儿]背着小女孩爬上海边的山头，远远看着。
0:41:5|0:41:9|[法明]迎着夕阳，拖着紧咬自己不放的鳄鱼，艰难前行。
0:41:9|0:41:26|[孙悟空]一行人走出树林，[江流儿]踢着正步，突然发现前面有户人家，便一路小跑，[猪八戒]庆幸有吃的了，也跟了上去，[孙悟空]站在原地，悄悄转向来时的路，啃了一口手里的桃子。
0:41:46|0:41:53|梳着飞仙髻的[老板娘]掀起厨房的门帘，走向了大门，她捋了捋头发，拖了拖胸。
0:42:6|0:42:12|[猪八戒]急忙冲进厨房，店小二赶紧一头扎进水缸，[猪八戒]抬起屁股就坐在了缸口。
0:42:16|0:42:37|[孙悟空]跳到门板上，把刚要说话的[老板娘]压了下去，他跳上方桌，拿走茶壶，一跃坐上二楼的围栏，他伸手一接，正好让茶壶盖落在了茶壶上。[猪八戒]一脸舒爽地走出厨房，看到墙上挂的辣椒又跑了过去。厨房的水缸里，店小二头顶着一坨大便爬了出来。
0:42:37|0:42:44|[江流儿]闻声问道，店小二掀开了门帘走了出来，[江流儿]问，
0:43:22|0:43:30|[孙悟空]从楼上跳下来，站在[老板娘]面前，一旁的[猪八戒]吃辣椒被辣得满地打滚，直舔地砖。
0:43:54|0:44:4|[猪八戒]盯着[老板娘]，眼都直了，[孙悟空]故意把茶壶丢给[猪八戒]。
0:44:8|0:44:10|[孙悟空]踩着[猪八戒]的背，跳上二楼。
0:44:10|0:44:22|见[江流儿]走开，[老板娘]不怀好意地看向小女孩，突然[孙悟空]挡住她的视线。
0:44:22|0:44:32|[老板娘]退出客房，[猪八戒]见她出来，赶紧收腹让路，[老板娘]爬下梯子，撞到了店小二。
0:44:39|0:44:45|[猪八戒]对着小女孩做各种鬼脸，小女孩却仍然狂哭不止，[猪八戒]眉头一皱，
0:44:45|0:44:54|伸长了舌头去舔自己的鼻孔，却被[孙悟空]一把拽走。[江流儿]拿出布偶，
0:44:59|0:45:16|小女孩笑着进入梦乡，[猪八戒]和[江流儿]都打起了哈欠，[孙悟空]啃了口桃子，一跃跳上了客房的窗口。一只眼睛透过木门上的洞偷看屋内，有苍蝇飞进来，[孙悟空]扔出陶壶击中了它，也击中了门外偷看的店小二。
0:45:23|0:45:33|店小二倒吊在二楼的围栏上，[老板娘]很是嫌弃。[老板娘]走到院子里，蹑手蹑脚地来到另一个木屋门口，木屋高耸，
0:45:33|0:45:39|屋顶堆着厚厚的干草。客房里，[孙悟空]双手枕在脑后，靠在窗口上发呆。
0:45:39|0:45:46|床上的[江流儿]翻了个身，睁开了眼睛，看到窗子上[孙悟空]无聊地抖着腿。
0:46:28|0:46:36|[江流儿]垂头丧气地坐在床边。
0:46:38|0:46:42|[猪八戒]顿时犯馋，贪婪地舔舔嘴巴。
0:46:53|0:47:2|[孙悟空]正说着扬起手，看到手腕上的法印，瞬间安静了下来。
0:47:28|0:47:37|床上的[江流儿]已经酣然入睡，他温柔地收起目光，又来回看了看自己的法印，无奈望天。
0:47:41|0:47:47|客房的门悄然打开又合上，窗口的[孙悟空]双手抱臂低着头，
0:47:47|0:47:57|似乎陷入了沉睡。[猪八戒]匍匐着退出房间，他快速蠕动到楼梯口，一只猪蹄刚踩上梯子就踩断了横杆，
0:47:58|0:48:3|跌坐在地，竖起耳朵，看了下四周，便欢快地跑开了。
0:48:3|0:48:9|不料，店小二拿着钉耙站在暗处。[猪八戒]挤进厨房，鼻子四处嗅着，
0:48:9|0:48:20|他来到靠墙放的几个瓶瓶罐罐跟前，挨个打开盖子查看，终于发现中间的罐子里还有些栗子。
0:48:20|0:48:24|他伸出舌头，卷走栗子，却卡在了瓶口。
0:48:24|0:48:38|店小二在他的身后举起了钉耙，[猪八戒]突然看到[老板娘]经过窗外，他一急猛地拔出舌头，把店小二撞晕在地，[老板娘]推开门，厨房四下无人。
0:48:38|0:48:46|她快步走进屋里，门后的[猪八戒]准备趁机开溜，[老板娘]猛回头，[猪八戒]已经变成了店小二。
0:48:48|0:48:55|[老板娘]关上门，真正的店小二倒了下来，[老板娘]狐疑地看着[猪八戒]。
0:49:0|0:49:9|[老板娘]走向客堂，[猪八戒]想溜走。[猪八戒]赶忙挡在店小二身前，完美模仿他吐舌的姿势。
0:49:12|0:49:18|[老板娘]要拉走[猪八戒]，却抓住了店小二的手，她头也不回的拖着人朝前走。
0:49:18|0:49:23|[猪八戒]本想溜走，却扭头跟了上去，他一脚踹走店小二，坐在[老板娘]旁边。
0:49:45|0:49:52|[猪八戒]捂着嘴走向了门外，他刚掀起门帘就被[老板娘]拽回去。
0:49:55|0:50:2|[猪八戒]甩开[老板娘]要走，又被她拉回来了。
0:50:2|0:50:10|[老板娘]捧着[猪八戒]的脸，那张人脸变成了猪脸。
0:50:11|0:50:32|门外飞来了一只猴脚，一脚把[老板娘]踹出了客栈大门，[孙悟空]正要走上前，却发现地面上都是月光，他望向上面，屋顶已经掀开，[混沌]站在了客栈中央的木杆上，一个巨大的漩涡笼罩天空。
0:50:32|0:50:39|客栈四周浮现多个阵法，数十只山妖被传送过来，朝[孙悟空]爬去。[江流儿]走出客房，
